MONTH	BOROUGH	COMMUNITYDISTRICT	REFUSETONSCOLLECTED	PAPERTONSCOLLECTED	MGPTONSCOLLECTED	BOROUGH_ID
2013 / 10	Queens	13	5189.25	505.94	573.44	4
2013 / 10	Brooklyn	7	3341.37	414.57	319.11	3
2013 / 10	Bronx	2	1545.83	72.33	92.12	2
2013 / 10	Queens	10	3785.36	375.29	343.98	4
2013 / 10	Manhattan	2	2167.47	446.13	294.68	1
2013 / 10	Bronx	12	3690.27	339.09	381.15	2
2013 / 10	Brooklyn	15	4670.1	617.78	379.51	3
2013 / 10	Bronx	8	2416.36	335.21	270.49	2
2013 / 10	Queens	3	4729.29	370.45	357.43	4
2013 / 10	Queens	9	4031.75	414.4	377.57	4
2013 / 10	Manhattan	5	1356.06	256.67	163.21	1
2013 / 10	Queens	6	2883.71	418.39	276.38	4
2013 / 10	Brooklyn	8	2651.51	240.25	207.81	3
2013 / 10	Brooklyn	16	1839.83	94.26	105.03	3
2013 / 10	Brooklyn	13	2191.43	164.62	147.91	3
2013 / 10	Brooklyn	11	4870.32	626.3	397.65	3
2013 / 10	Manhattan	8	5832.8	1111.11	668.05	1
2013 / 10	Staten Island	3	5681.46	821.65	601.06	5
2013 / 10	Manhattan	12	5063.32	443.34	414.31	1
2013 / 10	Queens	14	3255.07	220.39	165.16	4
2013 / 10	Brooklyn	2	2408.17	426.28	293.19	3
2013 / 10	Queens	5	4941.91	651.23	546.79	4
2013 / 10	Brooklyn	5	4247.57	234.25	289.23	3
2013 / 10	Bronx	9	4042.62	171.44	226.48	2
2013 / 10	Manhattan	4	2408.54	414.43	321.44	1
2013 / 10	Queens	12	6399	452.02	543.95	4
2013 / 10	Bronx	4	4218.79	177.56	191.3	2
2013 / 10	Brooklyn	10	3384.94	540.34	343.71	3
2013 / 10	Manhattan	10	2847.49	217.68	171.79	1
2013 / 10	Bronx	6	2160.35	109.9	146.37	2
2013 / 10	Queens	8	3704.22	477.25	313.5	4
2013 / 10	Brooklyn	4	3156.12	179.2	234.07	3
2013 / 10	Manhattan	9	2559.65	239.93	184.55	1
2013 / 10	Brooklyn	18	5316.75	572.54	445.09	3
2013 / 10	Staten Island	1	5068.19	605.01	548.49	5
2013 / 10	Brooklyn	17	4218.46	306.46	323.28	3
2013 / 10	Queens	11	3113.11	518.16	331.55	4
2013 / 10	Queens	1	4149.84	542.43	455.86	4
2013 / 10	Bronx	7	3615.58	223.36	276.67	2
2013 / 10	Brooklyn	14	4865.72	441.8	279.2	3
2013 / 10	Queens	2	2855.76	373.25	277.52	4
2013 / 10	Manhattan	11	2254.85	195.46	149.17	1
2013 / 10	Queens	4	4239.15	333.31	282.51	4
2013 / 10	Bronx	1	1950.46	88.26	96.22	2
2013 / 10	Brooklyn	12	6177.63	665.36	346.53	3
2013 / 10	Brooklyn	1	5065.44	502.56	379.69	3
2013 / 10	Manhattan	7	5482.51	1032.68	626.64	1
2013 / 10	Bronx	10	2415.1	313.52	270.15	2
2013 / 10	Bronx	5	3410.39	165.06	225.75	2
2013 / 10	Brooklyn	9	3135.23	222.51	163.78	3
2013 / 10	Queens	7	6621.43	818.04	513.05	4
2013 / 10	Bronx	11	2919.25	274.68	246.56	2
2013 / 10	Brooklyn	3	4033.28	258.41	228.66	3
2013 / 10	Brooklyn	6	2310.19	569.71	359.4	3
2013 / 10	Manhattan	3	3102.04	320.67	256.21	1
2013 / 10	Staten Island	2	4319.37	578.45	436.62	5
2013 / 10	Manhattan	1	1364.36	352.27	195.61	1
2013 / 10	Manhattan	6	3059.12	510.1	356.7	1
2013 / 10	Bronx	3	1853.1	98.8	103.44	2
2014 / 01	Brooklyn	3	3698.77	271.84	246.66	3
2014 / 01	Bronx	7	3485.3	248.1	318.97	2
2014 / 01	Brooklyn	9	2872.09	250.67	198.23	3
2014 / 01	Manhattan	10	2771.1	238.17	204.25	1
2014 / 01	Bronx	11	2691.63	303.67	277.91	2
2014 / 01	Manhattan	2	2123.79	434.66	316.28	1
2014 / 01	Brooklyn	6	2241.11	612.81	419.17	3
2014 / 01	Queens	3	4311.45	410.24	420.49	4
2014 / 01	Bronx	2	1528.9	91.08	109.4	2
2014 / 01	Brooklyn	1	4727.04	520.13	434.56	3
2014 / 01	Bronx	12	3346.55	369.08	446.89	2
2014 / 01	Queens	12	5371.91	472.38	620.06	4
2014 / 01	Manhattan	5	1301.63	245.91	174.49	1
2014 / 01	Bronx	10	2217.51	355.74	311.15	2
2014 / 01	Brooklyn	15	4138.63	622.87	430.58	3
2014 / 01	Queens	5	4407.69	695.29	630.51	4
2014 / 01	Brooklyn	16	1783.89	108.15	119.36	3
2014 / 01	Queens	14	2716.01	223.54	183.2	4
2014 / 01	Manhattan	11	2153.02	217.2	173.6	1
2014 / 01	Queens	11	2492.49	531.09	362.18	4
2014 / 01	Queens	10	3087.86	399.26	408.73	4
2014 / 01	Queens	13	4140.14	520.4	624.72	4
2014 / 01	Bronx	3	1826.94	120.32	117.28	2
2014 / 01	Brooklyn	12	5718.81	708.1	367.34	3
2014 / 01	Brooklyn	13	1988.92	174.21	168.12	3
2014 / 01	Manhattan	7	5211.44	1068.26	755.58	1
2014 / 01	Brooklyn	10	3131.35	568.49	393.39	3
2014 / 01	Staten Island	3	4951.78	959.83	715.94	5
2014 / 01	Queens	6	2617.33	437.4	332.21	4
2014 / 01	Queens	2	2665.38	390.71	325.22	4
2014 / 01	Manhattan	12	4906.04	488.9	494.45	1
2014 / 01	Brooklyn	5	4009.91	254.16	328.86	3
2014 / 01	Brooklyn	8	2468.72	240.36	228.1	3
2014 / 01	Manhattan	8	5494.3	1178.47	781.76	1
2014 / 01	Bronx	5	3326.21	171.76	233.24	2
2014 / 01	Bronx	1	1883.9	82.88	94.42	2
2014 / 01	Manhattan	1	1299.19	386.36	228.14	1
2014 / 01	Manhattan	3	2971.85	357.66	307.73	1
2014 / 01	Bronx	4	4044.98	175.97	201.85	2
2014 / 01	Brooklyn	4	2892.5	204.02	264.51	3
2014 / 01	Queens	8	3237.96	485.78	357.42	4
2014 / 01	Queens	7	5734.7	864.12	573.84	4
2014 / 01	Brooklyn	18	4569.48	582.89	510.27	3
2014 / 01	Manhattan	9	2364.08	281.34	227.51	1
2014 / 01	Brooklyn	11	4560.65	691.49	478.45	3
2014 / 01	Staten Island	1	4311.69	675.1	636.73	5
2014 / 01	Brooklyn	14	4530.37	456.12	320.7	3
2014 / 01	Brooklyn	7	3166.47	435.18	365.71	3
2014 / 01	Queens	4	3992.94	376.9	339.17	4
2014 / 01	Bronx	8	2349.99	329.24	295.21	2
