t4m,love,278,man,229,time,209,guy,206,send,148,cd,136,pic,134,real,130,woman,121,men,120
w4w,love,1915,woman,1543,fun,1282,pic,1269,time,1259,men,1145,send,1127,women,1098,girl,1039,female,960
mm4ww,asian,4,help,3,relationship,3,faam,3,baggage,3,relationships,2,meetupcom,2,females,2,males,2,search,2
m4w,woman,28074,love,26863,good,23590,time,20432,fun,20190,life,15794,relationship,14830,guy,14107,man,13952,meet,13691
w4m,love,2474,man,1960,good,1642,time,1498,single,1356,life,1355,send,1257,fun,1228,relationship,1167,meet,1057
ww4ww,virginity,1,life,1,selling,1,descent,1,hymen,1,33,1,house,1,price,1,work,1,celebrating,1
mw4ww,blow,3,job,3,good,2,mind,1,girl,1,lesson,1,subject,1,technique,1,girls,1,class,1
ww4mm,dating,8,speed,6,love,4,palm,4,west,4,beach,4,event,2,hoping,2,tired,2,4246,2
w4mw,couple,19,love,11,long,9,sexy,8,open,8,brown,7,good,7,fun,7,woman,6,bbw,6
msr,love,169,time,132,woman,128,man,117,guy,107,open,87,white,85,life,82,long,81,good,80
m4t,love,466,relationship,391,guy,326,girl,296,time,289,seeking,286,meet,284,good,281,send,276,fun,270
w4mm,woman,5,men,3,love,3,sharing,3,friends,3,find,2,easy,2,good,2,seeking,2,day,2
m4m,guy,35267,cock,28735,host,27298,send,23767,guys,22426,clean,22333,pic,21033,stats,20848,top,20394,suck,18649
mw4m,couple,59,man,32,relationship,31,meet,25,time,25,seeking,24,send,23,male,23,find,23,bi,23
t4mw,couple,12,reply,7,sexy,7,include,6,4,5,seeking,5,t4mw,5,fun,5,photo,4,t,4
t4w,love,35,woman,34,meet,13,dress,13,fun,12,women,11,open,11,cd,11,female,11,likes,10
t4t,love,38,sissy,30,cd,26,fem,24,dress,22,seeking,22,meet,19,dating,18,friendship,17,kind,17
ww4mw,kik,4,join,3,chat,2,code,1,scan,1,app,1,connections,1,ready,1,discussions,1,w4m,1
t4mm,love,10,guys,7,good,6,men,5,block,5,day,4,man,4,week,4,pic,4,walked,4
mw4t,sissy,64,maid,60,girl,37,training,24,couple,22,good,18,enjoy,15,time,15,seeking,13,sex,11
t4ww,maid,5,level,2,uniformed,2,organizing,2,uniform,2,told,2,hours,2,housekeeping,2,serve,2,work,2
mw4w,couple,374,fun,278,woman,259,love,205,relationship,202,time,187,female,165,well,131,free,129,open,127
mw4mm,going,2,double,2,stroke,2,guys,2,transplants,1,follow,1,cold,1,enjoyed,1,cocks,1,22,1
mm4w,fun,11,seek,9,sexy,8,safe,7,fantasy,7,meet,7,comfortable,7,brown,6,times,6,feel,6
m4mw,couple,333,clean,104,good,90,fun,89,relationship,87,open,83,guy,80,seeking,80,male,77,bi,77
mw4mw,couple,85,relationship,32,fun,31,meet,27,friends,27,time,26,bi,24,enjoy,23,cuckold,22,play,22
stp,friends,8411,friend,7542,good,6808,time,6406,love,6367,fun,5644,meet,5081,guy,4869,work,4682,interested,4587
m4mm,masajes,12,en,12,de,12,group,8,por,8,solo,8,quieres,8,profesionales,8,men,5,seriasmayores,4
mm4m,daddy,11,boy,10,lbs,6,cut,6,inches,6,regular,6,versatile,6,tall,6,top,4,located,3
m4ww,male,22,women,21,family,18,ladies,15,time,14,play,13,older,13,man,12,fun,12,female,12
