url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://lasvegas.craigslist.org/w4m/5483037069.html,lasvegas,,2016-03-08 18:56,2016-03-08 20:20,msr,w4m,Looking for an older man with a big knobbed or long cock to deepthroat,"
Staying alone at Luxor desiring an older man who has an unusually large cock to kiss and orally pleasure. I am a deepthroat expert and have a very long and probing tongue. Send a pic of what I will be serving for quick response. I prefer to host.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4m/5483082148.html,lasvegas,,2016-03-08 19:45,2016-03-08 20:07,msr,w4m,Vanilla in my men not my life,"
What is going to take to meet someone special, unique? I'd should be easier in town the size of Las Vegas, right? Yet the men I meet are narcissistic and just little boys in men's bodies, I am not looking for perfection, because that's impossible and even boring too. So here we go, my ""wish list' as it were: Must be a white guy, yup that's a must, as is no smokers, no drugs of any kind including pot, sorry I am old fashioned. Gotta have a job, ( really do I have to ask this out loud) single and single only and someone that lives in Las Vegas, not visiting here. Please I don't have a problem with a few inconspicuous tattoo's but, inked , sleeved or covered is not my type..Not into the biker, bearded kind of man, I am a college educated sane woman, long time resident and I like to talk politics, sports, music, and business, not looking for a party-animal or bar fly. Please don't be short, I am not. I am not looking for a hookup, or one night stand or a FWB relationship, so be a gentleman with your responses I am looking for men between 39-50, I don't care how active you are, if you're in 50's it won't work anymore than someone under 39, I don't care how mature you may be, I am not looking to be a mom to anyone, I have my kid and he's enough ( not looking to have anymore)
I am DWF, professional and educated with a great job. I bring a lot to the table, I don't want nor need your money, I have my own, what I want is to share some great time, movies, music concerts, great dinners out. I am a loving, compassionate, passionate funny woman who wants to have fun in this crazy town.

If you're interested, please send me a brief description and even a face picture, which I will reply with the same. Please include more than just, your age and basic info and a picture, in other words, say something interesting, if you answer every ad with a cut and paste way, please don't answer me, I want unique not Vanilla and ordinary
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4m/5477176085.html,lasvegas,,2016-03-04 20:51,2016-03-08 09:08,msr,w4m,Gordita busca latino,"
Tengo 22 años, soy soltera, nunca e estado casada o tenido hijos. Soy bilingüe, inglés y español. 

Sobre mi, me gusta ver películas, ir al parque, jugar videojuegos, y escribir y leer. Vivo con mis padres y estoy buscando trabajo ahora que ya termine el colegio. 

Estoy buscando a alguien que no sea mayor de 30. No voy a mandar foto si tú no mandas. Y no voy a responder si tú no me dices nada sobre ti. Así voy a saber quién es de verdad y quien nada más quiere gastar tiempo.
",22,big,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/w4m/5481778736.html,lasvegas,,2016-03-08 05:20,2016-03-08 05:20,msr,w4m,Looking for my partner in crime,"
I'm looking for my partner in crime. And by that I don't mean lets go on some crazy crime spree. I need a guy who's going to be my best friend and also a lover. Someone who will stand by my side through the good and the bad as I do the same. About me.... I'm 25, single with no kids. I work full time and own two vehicles. I love to enjoy life and live it to the fullest. I have a long list of hobbies including the outdoors, dive bars, tattoos, off roading, and pretty much anything to do with motor sports. I prefer white guys and typically that's all I date. Please be somewhat around my age.
",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4m/5481659872.html,lasvegas,,2016-03-08 00:17,2016-03-08 00:17,msr,w4m,Seeking submissive,"
BBW Dominant woman seeks submissive for eventual LTR. Been involved in the Lifestyle for over 25 years and am seeking someone for a LT FLR. I am what is considered a sensualist, not a sadist. Tell me about your experiences and what you are seeking. And please...I am not seeking playmates or married men. If you are incapable of love or commitment please move along. Your pic gets mine. I am not into facial hair or sissy boys. Any e-mails without pics or e-mails with nothing but a pic will go unanswered and immediately deleted. This is non-negotiable. My pic isn't posted for employment reasons. If you have captured MY interest I will respond in kind. Please be clean shaved and within an hour of Las Vegas. I am 58.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4m/5481460790.html,lasvegas,,2016-03-07 18:59,2016-03-07 19:16,msr,w4m,LTR with the right man,"
I am looking for a long term relationship now. I am 49 and been in the Vegas area just over 7 months. I enjoy going to the festivals, faires, and am looking to explore other things in the area. I like playing card games, staying in to watch a movie or going out for a walk. I am in no rush and am not looking for a man I can live with but the man I can't live without. Send a picture with you response and I will return one. I may bet busy at the end of the week as my daughter is coming into town but figure this will give us time to get to know each other better. Drop an email and lets see how it goes.
",49,,Tattoos,,,,,,,,,,," 5'2"" (157cm)",,,,,,,,,,,,,never,widowed,,
http://lasvegas.craigslist.org/w4m/5480987191.html,lasvegas,,2016-03-07 13:21,2016-03-07 14:52,msr,w4m,Seeking a special kind of man,"
Ok, so i know this is a long shot, but i figured id at least try. Im looking for a tall handsome white man who is looking to settle down and start a family. I love men in uniform so its a big plus if you are a paramedic, firefighter, police officer, or military man. As long as you're faithful and want to have a couple of kids...and get married someday. I will definitely send a couple of face and body pics after you send me a couple of recent pics of yourself....and please no nudes and dont request any from me cause im not looking for a hookup.....im looking for my forever love....my life long partner. Well i hope to hear from you.
",25,average,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/w4m/5481003302.html,lasvegas,,2016-03-07 13:30,2016-03-07 13:43,msr,w4m,BBW looking for love,"
I am a plus size Caucasian woman looking for long term that leads to marriage and a family. If you are not single, Move on. I am a non smoker and a non drinker as well. Don't mind if you drink if you're not a heavy drinker. Prefer a man that doesn't smoke or do drugs though. Also a man around my age as well. I am a woman of faith and my family and friends are very important to me. I enjoy all kinds of things from sports to the outdoors, concerts, movies and more. Not looking for just a hookup, just not my thing at all. Tell me about yourself, age and photo if you have it. On the subject line put your favorite holiday. Look forward to hearing from you.
",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4m/5455358922.html,lasvegas,,2016-02-19 11:21,2016-03-07 12:19,msr,w4m,Plus size seeks true love,"
I'm confused honestly, you tell people what you want, you even post On craiglist in the long term section and you still find guys that want just sex. I don't know how many times I have to tell people that I prefer a Latino . Someone who is LOOKING FOR LOVE NOT SEX. I just want to meet someone who actually wants something more than sex. If that's all you want please don't waste either of our times . I know what I want and if you don't meet the criteria of Latino, single under 40, a good job, own car and SINGLE, then please don't message me . If you do email me a picture and everything there is to know about you
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4m/5473751960.html,lasvegas,,2016-03-02 15:20,2016-03-07 08:42,msr,w4m,any christain men in sin city,"
Stable attractive white woman. 5'7"" 135 lbs. Blonde. Green eyes. Looking for someone like myself. Stable. Independent, balanced, have a home, new car. Good job. All that's missing is my soul mate. Please be serious. Cause I am. Christain, Athletic, no drugs, Light drinker. Non smoker. Healthy eatting, . No younger kids. Looking for someone that has the time for a relationship, travel, hang out...
",52,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,divorced,,
