url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://lasvegas.craigslist.org/w4w/5468738661.html,lasvegas,,2016-02-28 11:34,2016-03-08 19:24,msr,w4w,im coming to vegas s4f,"
Hey ladies single stud here looking for someone to hang with/play with while im in vegas must be 420 friendly able to host being that im visiting from portland 
Show me around ladies 

Please be clean and disease free proof is a plus ill have mine js
Please send atleast 2 pics a head shot/body shot

Ill be in vegas april 2-5th only srry ladies
",27,curvy,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/w4w/5472549900.html,lasvegas,,2016-03-01 21:07,2016-03-08 19:03,msr,w4w,I'm looking for a bbw fem,"
I'm a BY female my name is Felicia looking for fem female that likes to go out and have fun you must be willing to meet up have your own place like Bbw I'm 420 friendly don't want no three some u must be single .u must have pictures and voice verified.Pisces and Gemini strongly applied.
",41,curvy,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/w4w/5482768126.html,lasvegas,,2016-03-08 15:15,2016-03-08 16:08,msr,w4w,Child of Nature,"
Product of the 60/70's
Very young for my age, drawn to youth, tho I get along with everyone. A child of Nature, I am 420 friendly. 
I'd like to say evening
Anyone what to chat and make a friend?
I am very laid back.
FEMALE Only, pic for pic.
FEMALE ONLY!
PIC FOR PIC,
",60,curvy,,,,,,,,,,,," 5'2"" (157cm)",,,,,,,,,,,,,,divorced,,
http://lasvegas.craigslist.org/w4w/5479170397.html,lasvegas,,2016-03-06 10:11,2016-03-08 15:40,msr,w4w,Couple seeking woman for oral,"
Hi! We are a 40 year old white couple looking for a woman to share him with orally. I'm 5-8 120 great ass, he is 5-8 185 and 7"" cut. Long time fantasy of ours. If interested send us a note!
J&J
",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5468021833.html,lasvegas,,2016-02-27 19:41,2016-03-08 10:34,msr,w4w,sub seeking DOMINANT (F4F),"
Me:
Attractive
Obedient
Intelligent
Witty

Please reply with a picture, name and age for response.

No men or BBW

Please be experienced (More than physical)

Fun and Obedient sub patiently waiting. :)
",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5470259270.html,lasvegas,,2016-02-29 11:50,2016-03-08 09:47,msr,w4w,cute crossdresser for open minded girls?,"
Hey there! Sorry if this isnt the best place to post this...im a 25m crossdresser looking for open minded gals! Id love to be friends first and see where it goes from there. Ive been told im very passable! I love to cook, shop, play music, hike and go on adventures. If youre interested or wanna know more, send a little about urself and a pic! :)
",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5481988471.html,lasvegas,,2016-03-08 07:52,2016-03-08 09:29,msr,w4w,No strings?,"
I've been working on a project for a year. Its about to pop off in 20 days. I haven't dated, gone out, nothing, in over a year. I have been putting in 100-120 work weeks, 7 days a week for a year.

I blew off all my friends, and ended up loosing all of them. I was just so focused on the prize. In twenty days everything will change for me, but until then, I have to wait. 

Wait to see what the world will do with my project. If they like it, I will be screaming rich. If they dont.. well... I will have to go back to my 9-5 career. 

So waiting to find out if you are going to be rich is one of the most nerve wracking things in the world. I am way stressed. What I need and what I want and what I will end up getting is probably three different things.

What I need is someone to do exactly what I ask them to do to my body, and nothing more.

What I want is someone to talk to, or fuck, depending on the stress levels. And I want access night or day. 

What I will end up getting? Its Craigs list... I will end up getting idiots who dont send photos, write single lines and think that I am going to send a photo before I get one, or guys who send photos of their dicks... as if a dick could talk. *sigh*

My perfect guy? He sends a photo and a phone number. He tells me when he is free. He's single, and probably has his own company. He's my equal, not my better. He's NOT unemployed!!!! He smokes, but not cigs. He likes nipples... a lot. He does massage. And when it comes to sex...he likes a woman whose inner muscles dance when he slides in. And he goes home when we are done. He's over 30 and under 50, and doesn't need Viagra. If things work out, he has no baggage, because if my company hits... I will be doing a great deal of travel. 

I am not looking to be someone's sugar momma.... but... I there is a 50/50 shot that I am gonna be dusted in the white stuff in a month. 

How brave are you?
",,curvy,,,,,,,,,,,," 5'3"" (160cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/w4w/5481911549.html,lasvegas,,2016-03-08 07:06,2016-03-08 07:54,msr,w4w,Friend with benefits,"
Im a BBW fem looking for a chill laid back BBW fem either white or Hispanic under 4. Nothing personal it's just what I'm into. I want to build a fun hands-on friendship. I'm bi and I do have a BF but I'm trying to satisfy a need of mine. I am into girls I know what I want and I would rather not have someone who is unsure of their feelings. I am completely genuine and I don't want to play games. It is preferred that you would let the BF join sometimes but not mandatory. I want us to have fun, enjoy each other, and have great communication. I am 420 friendly I can host I have a car and a career. I feel like the only thing I'm missing is a friendship that fulfills my needs. The only reason I'm doing it through here is I don't have a lot of time to go searching. Hit me up im easygoing we can exchange pictures and go from there.
",24,big,,,,,,,,,,,," 5'3"" (160cm)",,,,,,,,,,,,,,partnered,,
http://lasvegas.craigslist.org/w4w/5481697014.html,lasvegas,,2016-03-08 02:47,2016-03-08 03:08,msr,w4w,Workout partner,"
I work out on the regular, 5 days a week at Las Vegas Athletic Club. Usually at the Sw location. Looking for someone who wants to join me... and go from there

Please only serious women
👭
",28,fit,,,,,,,"Black, White",Hazel brown,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/w4w/5481673238.html,lasvegas,,2016-03-08 01:10,2016-03-08 02:03,msr,w4w,Are you horney babe? ;),"
Hey there, I'm looking for a discreet fwb to have fun with. Please be dd free/pussy shaved! Lets have fun together and pleasure each other. 
I'm a latina, single, long black hair, outgoing and freaky! PLEASE BE REAL NO FLAKES, SEND A PIC FOR PIC AND BE READY TO VOICE VERIFY. HOPE TO HEAR FROM YOU!
NO MEN!
",21,average,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/w4w/5481634170.html,lasvegas,,2016-03-07 22:58,2016-03-07 23:06,msr,w4w,Bored,"
Bored horny playing with my toys lookin for somebody to talk to a bit lol I'm 24 single black no kids none of that extra stuff your picture will get mine lets snap chat and some more lol
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5481555216.html,lasvegas,,2016-03-07 20:41,2016-03-07 20:41,msr,w4w,"Dom, Switch , sub 3 way couples seeking","
Poly/Ds threesome couple seeking sub females and one sub male. We are a 3 way Ds couple looking to add to our poly household. We are a 40 Male Dom/Sadist/ Daddy, 28 Female Switch, 43 Female sub. We are thick not Barbie and Ken but we are very experienced in the poly / Ds lifestyle. 

He is long hair biker type Dominant / Sadist / Daddy to the switch and Dom / Sadist to the sub. We are seeking two sub females. A brunette and a red head who are Bi sexual and are interested in living in a poly household. Please be over 28, insatiable, love to serve both male and females, fun, and a bit geeky like us. Height and weight are not important as we are open to bbw, slim, athletic we are more interested in your personality fitting in then what you look like. We all love large breasts but again your personality is more important. 

We are also seeking a male sub 28 to 50 who is straight. There will be discipline from the male Dom but no sexual interaction. You will be sub to the female switch, and protector to the female subs. If you are interested please attach a photo and tell us a bit about yourself and your experience in the poly or Ds lifestyle. We are looking for someone to be committed to the family as there will be no sexual interactions outside of our poly family unless Master arranges it.
",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5458700417.html,lasvegas,,2016-02-21 18:01,2016-03-07 19:17,msr,w4w,NO PHONIES,"
If you are not a phony this is for you. Im straight forward, blunt, goofy but handle my business when needed, down to earth, humble and GROWN. I dont play games, I can hold a conversation with out mentioning anything inappropriate(which is hard for some people). I am not a complicated person, not childish and I hate wasting my time and others. Im looking for a GROWN woman similar too me, that want too get too know eachother and hangout when possible. Im a Stud, mid 20's and AA. If interested hmu.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5444318472.html,lasvegas,,2016-02-11 19:18,2016-03-07 18:49,msr,w4w,girlfriend type,"
girlfriend without the commitment, texting and calling eachother babe, and telli g each other i love you...and more

no men
pic 4 pic
",21,average,,,,,,,,,,,," 5'2"" (157cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/w4w/5481403135.html,lasvegas,,2016-03-07 18:07,2016-03-07 18:26,msr,w4w,Just trying to see ...,"
I wanna meet a cool laid back type of chick ... I do drive drink and go to school

your picture will get mine I need somebody who's fun and NOT shallow

I'm 24 please be 21-28 

I'm a size 24 so be my size or smaller ... 

I prefer black girls or white girls no men or studs let's see if I can get a date !!

I wanna get to know somebody before hand !!!

Hopefully we can vibe and maybe make something outta of it ...
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5470520706.html,lasvegas,,2016-02-29 14:21,2016-03-07 16:09,msr,w4w,Fem DOM wanted for fem sub,"
Hi! I'm Hope. I'm very laid back, real, intelligent, charming (I think LOL), attractive and most importantly obedient. But I'm also not afraid of a challenge. Intrigue me. I'm looking for a female Dominant who understands BDSM and its complexity. 

Please reply with a picture, name and age for response.

No men or BBW

Please be experienced (More than physical)

Fun and Obedient sub patiently waiting. :)
",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5470339661.html,lasvegas,,2016-02-29 12:35,2016-03-07 14:34,msr,w4w,Really bored. ....,"
I'm looking for the right girl (girls) to have some fun nsa I'm clean ddf and shaved smelling good all the time and I'm looking for the same I'm 28 and look at my pics to see how do I look. For me to respond is simple reply with your picture g rated is perfectly fine and tell me something about you and what are you looking to do. And a way to contact you 😘😘😘😘😘😘 w4w
",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5466316453.html,lasvegas,,2016-02-26 15:48,2016-03-07 14:34,msr,w4w,hard to find but not impossible lol,"
Hola soy una mujer casada y con hijos latina de 24 bi y busco chicas para pasarla bien de vez en cuando. Por favor se limpia y libre de enfermedades. Yo puedo poner el lugar. Estoy abierta a todas las mujeres solo que sean menor de 35. Por favor manda tu foto y tu informacion y como contactarte.

kik? Number? 


Hi I'm married latina and have kids looking to have fun with other girl. I'm clean ddf and shaved and expect the same. I have experience in this so we can have some fun for sure. Please send your pic and something about you.
Any race no one over 32 and no bbw. w4w

NO PICTURE=NO RESPONSE
Si hablas espanol mejor
",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5466316949.html,lasvegas,,2016-02-26 15:48,2016-03-07 14:34,msr,w4w,Hello hola,"
Hi craigslist here latina woman 24 married bisexual very clean ddf and shaved with experience. Looking for the same around my age w4w be ready to voice verify. I don't mind if you are married too
",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5477885977.html,lasvegas,,2016-03-05 10:44,2016-03-07 14:34,msr,w4w,Ready to days of fun,"
Hi ladies I'm a white 26 year young lady looking to have fun once in a while.

Very simple send me face and body pic with a description about you, what you do, and what you think I need to know to pick you up and if you are comfortable to give me your number or kik is better cuz I do voice verify. 

As of for me just watch at the pics have a nice day


w4w
",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5481017367.html,lasvegas,,2016-03-07 13:38,2016-03-07 14:07,msr,w4w,Looking for a partner,"
I'm looking for a Hispanic feminine female, age and size is not really important to me, I hope to find her on this site. I enjoying going to the casino, movies and out to a nice dinner so I'm looking for someone who also enjoys the same. I'm living in Glendale, AZ right now but originally from Albuquerque, NM and would love to meet someone in Las Vegas. I'll be going out there at the end of April.
",50,heavy,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,single,,♑ capricorn
http://lasvegas.craigslist.org/w4w/5480881596.html,lasvegas,,2016-03-07 12:21,2016-03-07 13:55,msr,w4w,I keep looking,"
Hey. 

So I'm going to try this. Please don't flag this. 

I'm looking for the girl that can help make me happy. One that is good with kids and animals. 
One that is between the age of 18-28. 

One that has a sense of humor. That I can be friends with as well as be intimate. 

I am 23. Bi sexual. A single mom. And have a kinky side. 

If ur not interested so far please move on. 

I am only interested in girls that are no taller then 5'6. And weigh no more then 150 lbs. As well as please no black girls. Not my prefence
",23,curvy,,,,,,,,,,,," 5'1"" (154cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/w4w/5480698163.html,lasvegas,,2016-03-07 10:43,2016-03-07 11:27,msr,w4w,Friendship-Long distance correspondance,"
Bonjour!

I'm a 30 yr old female (who looks 20) from Montreal, Canada. Looking to correspond with cool, fun easygoing non-judgmental people. My purpose is strictly platonic as in '' FRIENDLY/ NO SEXUAL ENCOUNTERS'', for those who might ask.

ABOUT ME :

-My mother's tongue is French but I'm fluent in English and two other languages.
- LESBIAN, considered as a Lipstick lesbian/ Femme/ Girly girl ( I personnally don't believe in labels but hey -I don't mind those who do lol)

Few things about me:

-Well-mannered, educated, love to dress up.
-HAPPILY committed to a serious relationship 
- HARD-WORKER but loves to party whenever I can
-I DON'T do chemical drugs but I drink socially and know damn well how to handle it responsibly too!
-NON-JUDGMENTAL and super open-minded but I do like to hang out with people that I can share similar interests with and have meaningful conversations with.
-I grew up in the 90's so I'm old school. I do NOT worship Cyrus, Bieber, Gaga, Minaj and other so-called artists/singers. 
I'm very creative and enjoy real good music and art.
- Love to travel and I do travel regularly. I'll be in Vegas by the end of April for the Dinah shore events which would be a first for me. (yay!)

Basically looking for:

- A long distance correspondance (texting, phone, skype..ect) that could lead to an interesting friendship.
-Preferably people residing in Vegas ( but really not mandatory) and that I could possibly meet and hang with when I'll be in town.

-I LOVE all races and skin tones, all styles with swaggggg ;)
-PICS are appreciated. (fair request as I posted mine)

No straight men. TRANSGENDERS are most welcome :)

oh! and... no men who think they're lesbians inside! Whatever that means. Jeez...

à bientôt!
",,average,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5458598399.html,lasvegas,,2016-02-21 16:32,2016-03-07 09:14,msr,w4w,☆★Where the koo katz at☆★,"
Hello beautiful souls, I would love to meet some new people. I'm not into the drama, mind games nor bs so leave that at the front door. If you are looking for the same things hit me up. I don't bite unless you want me to nah j/k lol. If this soundz like you drop me a line or two and attached a pix...Really just looking for koo people to kick it with....
7zero2 real3 women5 only4 4two six1
ME:I'm a med. BBW 

Black stud FEMALE

Independent



U:Curvy to BBW ok

Race: OPEN TO ALL RACES

MUST KEEP 100 AT ALL TIMES


NO MEN,NO MEN, ND MUST I SAY IT AGAIN NO MEN!!!

",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/w4w/5480445949.html,lasvegas,,2016-03-07 08:33,2016-03-07 08:33,msr,w4w,looking for bff with benefits,"
Hello, I wanna introduce my self, I'm married with kid. It's been a while since I had a relationship with another women. My husband is ok with it. I'm 42, doesn't smoke, 5'2"", 142 lbs. Filipino. Age and ethnicity doesn't matter. Women only pls.
",42,fit,,,,,,,,,,,," 5'2"" (157cm)",,,,,,,,,,,,,,married,,
