url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://minneapolis.craigslist.org/dak/stp/5490579632.html,minneapolis,dak,2016-03-14 11:07,2016-03-14 11:07,stp,m4w,Creative seeking Creative,"
Anyone want to push the boundaries of the absurd and create worlds with words? How about spending mornings drawing together. We could make a movie. The possibilities are as expansive as our imaginations! I am just looking to expand my circle of friends and I would like to surround myself with creative people that I can bounce ideas off of and they can bounce ideas off of me. If you are interested, put ""I'm in!"" in the subject line. Any age works as long as you have an imagination. I am in my early 40's
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/stp/5483189942.html,minneapolis,hnp,2016-03-09 00:27,2016-03-14 11:05,stp,m4w,Is There anybody out there?,"
Simply said...I work alot and I don't get a chance to go out to meet new people alot.
SWM who is looking for new friends to email or text with.
Please no drama. Please be NOT married.

Who am I?
35 SWM. I have a full time Job. I have my own house. I own my Own Car. I have
my life in order. I enjoy going to dinner or a night out for drinks.
If you Love music we will get along just fine.

Name your favorite band in your reply
",35,thin,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/stp/5490506447.html,minneapolis,hnp,2016-03-14 10:27,2016-03-14 10:39,stp,m4w,Secrets,"
Ive posted this a few times and have had some very interesting conversations. I love talking/chatting with new people so let's share some intimate secrets through email. No pic required, just raw secrets that you cannot share with your BFF, BF or Hubby. Looking to share with women only, no men. Put ""shhh"" in the subject line to weed out spam.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/wsh/stp/5458008485.html,minneapolis,wsh,2016-02-21 11:39,2016-03-14 10:30,stp,m4m,ANYTIME FITNESS gym buddy,"
Hey guys looking for someone around my age preferably under 30 years old who works out at ANYTIME FITNESS. Be normal and be open to working out and socializing with others. I don't care if your bi/gay/straight. I'm not looking for sex so please don't message me if that's what your looking for. Open to skinny average or a few extra pounds types. Send your pic and ill sendmine.
",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/stp/5490386732.html,minneapolis,hnp,2016-03-14 09:13,2016-03-14 10:06,stp,m4w,Daytime chatting,"
Looking for someone to get a woman's point of view on things, willing to discuss anything, hopefully a long term pen pal, not looking to meet, just friendly banter. Please be over 30. Thank you for reading this and I hope to hear from you!
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/ram/stp/5490437136.html,minneapolis,ram,2016-03-14 09:46,2016-03-14 09:57,stp,m4w,The best post you will read all day or free drinks on me.,"
Hello and Happy Monday.. 

I promise to make this the best post you read all day or I will admit defeat and buy you a few drinks. 

Here stands a happily married Black male aged a lovely 33 years. 

Love the wife and have no intentions of leaving her.

However we have opposite schedules and she happens to travel a ton for work...

How is this a problem? 

It is patio/bar season and I have no one to sit outside and enjoy a Long Island with... 

Not looking for an affair or anything other than a smart, witty person who enjoys girly drinks with umbrellas... 

And as I said with the offer of best post of the day or drinks on me.. How can you lose? 

Lets chat... 

:)

",33,athletic,,,,,,,Black,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,married,,
http://minneapolis.craigslist.org/hnp/stp/5490332673.html,minneapolis,hnp,2016-03-14 08:33,2016-03-14 09:49,stp,m4w,who needs a massage,"
i love to give massages i can host or travel im a 34 yr white male. athletic tone. if interested send a message im open to whatever
",34,athletic,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/ank/stp/5448996388.html,minneapolis,ank,2016-02-15 11:53,2016-03-14 09:34,stp,m4w,"Chat, email, pass the time","
Married and bored. Looking for something exciting. Let's chat. Open for anything. Trade pics or whatever. I'm 34 cute and fun.
",34,athletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/wsh/stp/5474461775.html,minneapolis,wsh,2016-03-03 09:18,2016-03-14 09:34,stp,m4w,Snapchat truth or dare,"
Super bored on this Thursday morning, March 3rd. Just looking to pass the time and maybe meet some cool ppl! So I figured we could play truth or dare over snapchat, you can either email me your snap name or just send me a snap directly for a faster response- basskiller1988

Look forward to hearing from you :)
",,athletic,,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/stp/5490301508.html,minneapolis,hnp,2016-03-14 08:06,2016-03-14 09:25,stp,w4m,New Friend,"
I'm looking for a friend to text and then possibly hang out with if we click. I'm into the outdoors yet can be inside and read a nice book curled up to the fire. Looking between the ages of 18-25 strictly. If you're as lonely as I am, email me and lets chat. 

Hope to hear from you soon.
",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
