condition: ,media type: ,age: ,status : ,body : ,zodiac :,body art: ,diet: ,body art : 
,,48,married,curvy,,,,,
,,,,thin,,,,,
,,,,thin,,,,,
,,48,partnered,thin,,,,,
,,50,single,curvy,,,,,
,,32,,,,,,,
,,28,single,,,,,,
,,,,,,,,,
,,33,,average,,,,,
,,40,single,athletic,,,,,
,,26,,,,,,,
,,26,single,curvy,,,,Tattoos & Piercings,
,,25,single,curvy,,,,,
,,,,,,,,,
,,26,,,,,,,
,,20,single,curvy,,,,,
,,20,,,,,,,
,,33,,average,,,,,
,,29,single,average,,,,,
,,23,,,,,,,
,,29,,,,,,,
,,25,,,,,,,
,,35,,,,,,,
,,,,,,,,,
,,45,single,average,,,,,
,,46,,average,,,,,
,,,,athletic,,,,,
,,25,partnered,big,,,,,
,,,separated,,,,,,
,,23,single,thin,,,,,
,,27,,,,,,,
,,,,,,,,,
,,,partnered,average,,,,,
,,32,married,average,,,,,
,,25,single,curvy,,,,,
,,33,married,average,,,,,
,,23,,athletic,,,,,
,,,,,,,,,
,,,,,,,,,
,,50,single,average,,,,,
,,30,partnered,average,,,,,
,,18,single,athletic,,,,,
,,50,married,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,single,athletic,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,single,average,,,,,
,,,separated,hwp,,,,,
,,,,athletic,,,,,
,,,single,curvy,,,,,
,,,,,,,,,
,,,single,,,,,,
,,,,,,,,,
,,21,,,,,,,
,,23,single,skinny,,,,,
,,,single,average,,,,,
,,27,single,curvy,,,,,
,,34,married,heavy,,,,,
,,28,partnered,curvy,,,,,
,,45,,average,,,,,
,,28,single,heavy,,,,,
,,22,,average,,,,,
,,28,single,curvy,,,,,
,,28,single,curvy,,,,,
,,21,,,,,,,
,,49,,,,,,,
,,28,,skinny,,,,,
,,34,partnered,curvy,,,,,
,,,,,,,,,
,,23,single,,,,,"tattoos,piercings",
,,,,,,,,,
,,44,married,average,,,,,
,,47,,,,,,,
,,52,single,curvy,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,32,,,,,,,
,,20,,,,,,,
,,22,,,,,,,
,,,,,,,,,
,,22,,,,,,,
,,21,single,average,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,28,single,average,,,,,
,,20,,,,,,,
,,48,partnered,curvy,,,,,
,,39,partnered,big,,,,,
,,,,,,,,,
,,33,single,athletic,,,,,
,,22,,,,,,,
,,47,,,,,,,
,,27,,curvy,,,,,
,,18,single,,,,,,
,,,,,,,,,
,,51,,curvy,,,,,
,,,,,,,,,
,,41,,curvy,,,,,
,,35,,,,,,,
