url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://chicago.craigslist.org/chc/m4m/5483089149.html,chicago,chc,2016-03-08 21:53,2016-03-08 21:53,msr,m4m,Fem bottom for daddy,"
twenty6, 5foot8, one8five lbs chubby fem asian bottom looking for a daddy to use my boy pussy. you must be disease free, older and heavier in build. Looking for now!
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/wcl/m4m/5481552402.html,chicago,wcl,2016-03-07 22:38,2016-03-08 21:52,msr,m4m,Swallowing sexy str8 jock cock to the balls or fuck my bitch booty now,"
Very smooth bi bottom with a hairless silky smooth bubble booty. I am out walking in my dark neighborhood now and looking for a hot college stud or BBC boy with a huge cock to come fuck my hot sexy ass rough or get blown and swallowed. I deepthroat over 10 inches to the balls and I swallow. Ready now and in Plainfield near Menards. Send bod pix for where to find me.
",45,athletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4m/5483087986.html,chicago,chc,2016-03-08 21:51,2016-03-08 21:51,msr,m4m,I'm looking for a load on my face,"

I'm available tonight and looking to suck.

Me: Ddf neg fit HWP GL
You: inshape Ddf neg hung

I'm looking to travel or host

Looking if ad is posted
",35,fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/sox/m4m/5483067580.html,chicago,sox,2016-03-08 21:28,2016-03-08 21:51,msr,m4m,discreet cocksucker here,"
white guy here with my own place and im in the mood to suck and swallow a cock. anyone interested? just be clean sane and have a few pics to trade. Wouldn't mind finding a regular buddy who wants to stop by for a casual blow and go
",24,average,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4m/5483087171.html,chicago,chc,2016-03-08 21:50,2016-03-08 21:50,msr,m4m,Married or str8,"
Smooth Asian looking for friend with benefits to hang out with? Would love to watching movie, beer, smoke and cuddle. looking for now!!! 420 and popper ++
No drama, no games
Doesn't matter if u re bi,str8 or married
Send pic and stats pls
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4m/5483086009.html,chicago,chc,2016-03-08 21:49,2016-03-08 21:49,msr,m4m,curious Chub,"
Never been with a guy looking to experiment if interested email with favorite color in subject line so I know you're not spam. Must be in the city
",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/sox/m4m/5483085914.html,chicago,sox,2016-03-08 21:49,2016-03-08 21:49,msr,m4m,"suck me, suck you.....swap bjs..","
Looking to host and swap some hot oral and get each other off....I prefer younger (18-35) , smaller, smooth ( not into hairy bodies) decent shape guy. I'm a 55 yo wm, 6' 185 in good shape, fun, active and very healthy ub2... Pic included...PLEASE reply with a pic, stats ( age, height and weight) location and availability. Let me know, thanks 
",55,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,divorced,,
http://chicago.craigslist.org/chc/m4m/5483084380.html,chicago,chc,2016-03-08 21:47,2016-03-08 21:47,msr,m4m,Lets make it happen.,"
Any other athletic, clean, (25-50), normal dudes who are up for fun? Also Njoy giving erotic rub downs 
Lookin for , jo, oral, get naked, kissing, body contact, 69, up for rimmin, edging, ....
guy...IM 5'11"" 170..NR.
I like ethnic guys but open: blk++, Asian++ latino++ - looking to travel GeNtleman
",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4m/5482999207.html,chicago,chc,2016-03-08 20:20,2016-03-08 21:47,msr,m4m,Free Massage/Edging from Daddy,"
I did this once before and found a boy who really wanted to be rimmed and edged. It was an amazing experience for both of us, so I thought I'd try it again.

Looking for younger looking guys who like the idea of long erotic massage and/or edging sessions. I have a room, so Im interested in having you strip, shower and then lie back while I slide my hands over your back, your legs, your ass. Im not a pro - but have been doing erotic massage for a while.

34, tall and vgl/masc here. Total top but only play safe if that's what you're looking for. Open to mutual touching, nudity and more. Not looking for $$ (just a chance to make u cum harder than u ever have before). You should be younger and in decent shape. Smooth++, sensitive++, thin++++

Hosting in the loop Tues/Wednesday only. I can only do a few of these each day so please don't get mad if I'm already full!
",34,athletic,,,,,,,,,,,," 6'4"" (193cm)",,,,,,,,,,,,,,,,
http://chicago.craigslist.org/sox/m4m/5483082181.html,chicago,sox,2016-03-08 21:45,2016-03-08 21:45,msr,m4m,BB Top Dad ISO Young Son,"
Bout 8uc here. Im looking to unload n more. Top here, oral vers, love to rim. You should be under 30, HWP Latin bi daddy here for smooth or hairy hole or just oral. my stats and other pics for yours. Innercity only. Im just looking to host as well.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4m/5483081431.html,chicago,chc,2016-03-08 21:44,2016-03-08 21:44,msr,m4m,Jack each other,"
Whats up,

Looking for another chill bi guy to kick back and jack with. Just jacking each other, mutual release.

I'm 39, 5in, cut, nice cock. Chill and down to earth. I like mmf porn and edeging. I can't host but can travel. Say hey if interested.

",39,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/chc/m4m/5460355676.html,chicago,chc,2016-02-22 20:43,2016-03-08 21:44,msr,m4m,m2m fun before bed,"
i am in the mood to have some hot m2m fun , i am open for many things so if u are interested hit me back with Age and Stats just be clean ddf about me i am 42 y o 6 ft 160 lbs athletic and smooth body brown hair and eyes clean and ddf i can host or travel discreet here s hit me up lets talk and see if we can have some fun
",42,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4m/5483066925.html,chicago,chc,2016-03-08 21:28,2016-03-08 21:44,msr,m4m,***Looking to play Now****,"
Black man in Edgewater,6'2,265,well hung, attractive disease free,masculine,smooth all over, shaved head,easygoing and discreet. No racial hang ups. Love mutual oral,body contact, jacking and nipple play. Send stats and dick pic with first email. Looking to host, far north side lake front. Local guys only.


NO STATS AND PIC=NO RESPONSE
",53,,,,,,,,,,,,,,neg,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/chc/m4m/5483079893.html,chicago,chc,2016-03-08 21:42,2016-03-08 21:42,msr,m4m,Anon Fucking,"
Wanting to try this out. Have a fantasy for a guy to walk in find me ass up naked on the bed. 
Just looking to see if there are any hot tops who want to have some fun tonight. Neg and disease free U be too.. If u are interested send stats and pics.. Poppers +++ can travel to you for the same scene too
",29,athletic,,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/chc/m4m/5483067890.html,chicago,chc,2016-03-08 21:29,2016-03-08 21:42,msr,m4m,Craving for Latino uncut cock,"
Any worked out Latinos with uncut cock looking ?That would be hot to meet and have some fun,I can give you a great massage and suck you really good. I'm a very discreet bi european guy willing to taste huevos,chorrizo y leche!
",35,athletic,,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4m/5483078941.html,chicago,chc,2016-03-08 21:41,2016-03-08 21:41,msr,m4m,CUM PIG,"
47 wht bi poppered up cum pig seeking verbal hung feeders...........reply with stats and pics.........looking to travel. looking for now!!
",47,average,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/nch/m4m/5482991810.html,chicago,nch,2016-03-08 20:13,2016-03-08 21:41,msr,m4m,Fun with a Versatile Lean Muscular for the Night,"
Beautiful weather...biked most of day...

Travel to you....YOU HOST.

Am a Lean muscular gym goer. Six foot, one seventy. Have forty two chest and twenty eight waist . My age is fifty three. Very Fit Guy. Cut Nine and half by six. Real...no..BS. Fun...safe...cool..absolutely n diseases...Ever.

TOTALLY VERSATILE 

So...Strongly prefer staying night. Not cool to drag out of bed to travel home after play. The worst! Besides..sleep..cuddle..go more..morning too. Love ❤ morning sex.

You are 😊 In shape..muscular go to gym. As I a. Fifty three, very fit, you okay with age if younger. Age/race...no issue to me.

Pictures...Yep....No pics...no reply no meet.

REQUESTED PICTURES:
Front Body....or. Shirtless
Face (simply do not meet without face).

I have various pictures for reply, so good to go here.

All replies with requested pictures will get a reply.

Please do not reply without requested pictures, as I will delete.

Thank you.
",,fit,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/nch/m4m/5483078306.html,chicago,nch,2016-03-08 21:40,2016-03-08 21:40,msr,m4m,FUCK ME NOW...,"
LOOKING TO SUCK A NICE CLEAN YOUNG DICK,,, 
NOW.... NEAR IN GURNEE....O WAUKEGAN
I HOST STR8 O BI,,,,
CLEAN AND NEGATIVE BOTTOM HERE...
BOTTOM LOVE TO SUCK A DICK
",34,average,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/chc/m4m/5483078231.html,chicago,chc,2016-03-08 21:40,2016-03-08 21:40,msr,m4m,bttm jock boy looking for hot tops,"
Love to service a hot top. Ready to be used up now but can play later. Like it rough here when I'm horny and in heat for cock. 5' 8"" 140 fit & thin w/ abs. Tight ass and love a good long dicking session. I like to enjoy sex. Semi hairy here. Send a body pic and stats in email. Just seeing who's out there. Neg here and on prep. Masc. Discreet is cool. NSA is fine but would like a fwb. Prefer to host. Your face gets mine.
",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4m/5452054922.html,chicago,chc,2016-02-17 11:18,2016-03-08 21:40,msr,m4m,Relaxing massage,"
Deep tissue rub down swedish 
therapuetic and erotic.. available to host or travel.
lets have a fun relaxing time 
Location: Andersonville 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4m/5478002317.html,chicago,chc,2016-03-05 13:52,2016-03-08 21:39,msr,m4m,masc/blk,"
6 foot 3, 285, forty three yrs old. top type not focused on sex. 
NO pic... hmu if u ready to get to know somebody. I will only respond if you have as much description about you as I have here about me. Msg about pics will b ignored.
masc4masc
bru4bru

Hope to hear from the sane, the non-smoking bruh's who are not focused on their genitalia; I don't have sex with a person unless I'm with them monogamously (that oughta take care of most of y'all LOL).

Peace
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4m/5483053807.html,chicago,chc,2016-03-08 21:14,2016-03-08 21:36,msr,m4m,"SUCK MY COCK, boy","
looking for young boys
into pussy but curious to suck cock
come by and suck this cock the way I teach you

42 bi curious white 6/196

send pix, stats and age
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4m/5458016080.html,chicago,chc,2016-02-21 11:44,2016-03-08 21:35,msr,m4m,any serious feeders looking tonite??,"
are there any serious verbal top feeders looking for a hungry mouth tonite?? im 5'8"" 190# brn/brn 34w 6.5 cut/thick..........total cock cum and piss pig here. i love nasty popper play. i;m looking for hung mature tops who need a hot throat/mouth to unload in. please reply with stats and pics.......and be very clean and safe. im looking to travel. feed this hungry cocksucker. 
",48,hwp,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/nwc/m4m/5483046750.html,chicago,nwc,2016-03-08 21:06,2016-03-08 21:35,msr,m4m,Ready to Host Now,"
Bottom hosting at my hotel now and through the night. Walk in my room undress and let me play with your manhood. hit me up for details.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
