url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://chicago.craigslist.org/sox/m4w/5483044629.html,chicago,sox,2016-03-08 21:04,2016-03-08 21:35,msr,m4w,NEVER WORK EVER AGAIN,"
Healthy, very wealthy white man looking for a fun young woman who loves a great life. I will take care of the right woman very well. Must love the sun, great sex, hot showers, and travel. Nonsmoker only. Send me a few pics and lets see what can happen. Thanks
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4w/5483052390.html,chicago,chc,2016-03-08 21:12,2016-03-08 21:34,msr,m4w,SWM Film + TV Producer: ISO Very Curvy Black Female Friend,"
I'm a 6'1"", SWM film, radio and TV producer who is very much attracted to VERY CURVY black ladies.

I produce segments on jobs, careers and workplace instructional films and videos for a wide range of radio, film and TV outlets including WGN Radio.

I'm seeking a very unique lady to join me at special VIP events, art openings, musical performances and parties.

I am a perfect gentleman who was taught well by my wonderful mother about how to treat a woman right!

If there is chemistry, I am very much open to a long-term relationship as well.

I am a very creative, artistic, health and fitness conscious, Scorpio, Middle Eastern, Christian gentleman who is drug and disease free, never married and has no children. 

All my photos are fairly recent including the photo with my mom.

Additionally, I am a very free free spirit who loves the water (e.g. boating), exploring new venues and experiences, the outdoors, dancing and a wide range of music. 

If I sound interesting, PLEASE TELL ME ABOUT YOURSELF (e.g. where you live, what you do for a living, your age, ages of any children, etc.) and INCLUDE A FEW RECENT PHOTOS!
",,athletic,,Healthy,,,,Masters,,Dark Brown,,,Dark Brown," 6'1"" (185cm)",,,,,,,Business Owner,,,,,,,single,,♏ scorpio
http://chicago.craigslist.org/chc/m4w/5472908063.html,chicago,chc,2016-03-02 09:27,2016-03-08 21:34,msr,m4w,Professional Massage w/Table For Women only,"
Professional Massage for Women ONLY... Licensed and certified...Email me with questions or to set up an appointment. White Male (39) with incredible hands. Massage table, oil, lotion, clean linens & scented candles. Formerly of both the Bellagio and Personal Touch Massage Spa in Las Vegas. You can see my other ads here on CL in the beauty section. Dim lights, scented candles, ultra soft massage table with face cradle, warm hands, soothing unscented oils or lotion if you prefer, and soft relaxing music upon request are presented to you from a attractive male massage therapist (39). I schedule appointments with only a few women who wish to be pampered and wish to relax while enjoying the company of a delightful educated upscale masseur. This massage will fit your needs as you desire and at your pace. Hair removal also available. Outcall & limited incall available.
",39,average,,,,,,,,blue,,,," 5'9"" (175cm)",,,,,,,Massage Therapist,,,,,,,,,
http://chicago.craigslist.org/wcl/m4w/5468038608.html,chicago,wcl,2016-02-27 22:04,2016-03-08 21:34,msr,m4w,"Consistent, Casual, Fun.","
Just thought I'd try on here since its been a little while and figure I'd see whats on here. I just moved out, used to have a roommate but its nice having my own place. Basically I'm looking for something casual, consistent, and fun. Basically a friends with benefits but I prefer not to sleep around and prefer you not to either (no condoms is more fun). 6'2"" athletic, tatted, own place, 8.5"" and thick, clean, dont do drugs or smoke, and drink only socially. 

If any of this sounds interested tell me about yourself and send a picture in the reply. Please no guys either. If this is up I'm looking.
",26,athletic,,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,,,
http://chicago.craigslist.org/wcl/m4w/5483060147.html,chicago,wcl,2016-03-08 21:20,2016-03-08 21:32,msr,m4w,A fresh take on Dom/sub,"
I know there are a lot of women out there that either consider themselves submissive or would like to explore their submissive side, but get turned off by guys that just want to abuse you, humiliate you, share you or are just jerks about it. I take a different approach. I consider myself dominant and have been in relationships where it was a big part of things, but I also know it isn't a 24/7 thing and a woman should have a say in things. It is all about communication and figuring out what both want, can handle, expect and fantasize about. I don't want to strap you down the first date and I am not going to share you with my friends, but if we can think of it, we can do it. I have a sweet side and when I am a submissive woman that I get along with and care for, it comes out often.
If you fit this description, have an open mind, in shape or close to it and want to talk....respond
",40,athletic,,,,,,,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/chc/m4w/5440157908.html,chicago,chc,2016-02-09 08:22,2016-03-08 21:29,msr,m4w,Seeking Full Figured/BBW,"
Me: SWM, Good Looking(or so I've been told), 40's, Tall, HWP, Drug/Smoke & Disease Free. Have House, Car etc. Am Funny & Like Fun Activities & Adventures.

You: Single Female or Single Mother,Full Figured or Petite, Lives in Chicago or Close by, Looking to Date,seeking a L.T.R or Marriage, likes Fun Places,Events & Activities such as Music,Concerts,Movies,Amusement Parks,WaterParks,Camping,Photography,Comicon,Family Events & Activities & Quiet Evenings at Home.

*Tell Me about Yourself...Age,Interests,Location & Photo.
⭐No Photo=No Reply!

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/sox/m4w/5483068520.html,chicago,sox,2016-03-08 21:29,2016-03-08 21:29,msr,m4w,Married for new spark,"
Please write to me and share your story? Attached, partnered, married or just lonely - I'm open to all situations.

Tickle my fancy, tell me all about those secret dreams of missed love, passion and desire. Those romantic feelings stored deep within your heart waiting to escape and realized. Here's your chance. Write me and lets discover each other in 2016?

I'm a well grounded, simple, good looking man that seeks a like-minded female for an amazing, trusting, beautiful and romantic friendship. Lets talk about the many possibilities and adventures we could discover together? 

I assure you I'm classy, safe, sincere and will always be discreet. Please share your thoughts? Lets chat on gtalk, yahoo or kik?

I'm open-minded and flexible with most situations. Try me. Find me soon?
",55,hwp,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,married,,
http://chicago.craigslist.org/sox/m4w/5466557435.html,chicago,sox,2016-02-26 21:32,2016-03-08 21:27,msr,m4w,Big Dick Black Guy,"
In search of a good friend that I can chill with tonight or this weekend. Please contact me thru KIK at Jaysbigdick1 or just leave me your number with a pic thru my email. THAT IS THE ONLY WAY IM RESPONDING. Im waiting right now!!!!!
",28,athletic,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/chc/m4w/5482936441.html,chicago,chc,2016-03-08 19:25,2016-03-08 21:27,msr,m4w,FREE Massage TONIGHT before Midnight,"
Chicago Massage Guy is Here to Massage You.

I MASSAGE WOMEN

I am providing a new massage service for women. Please fill out the form below and e-mail it to me and lets set up an appointment. All services are free but you may tip if you like and a small out call fee may apply. Somewhat flexible with my schedule. All Appointments are done in my home but will consider out calls. I am very discrete and professional and will only do what you ask of me. I am in my 40's, white, almost 6 feet tall and 183 lbs. I look forward to servicing you and making you relaxed. I hope you will become a regular client. I do have training but not licensed.


First Name: __________________


A bit About yourself _______________________


E-mail: ________________________


Phone #: _____________________________


Location: ________________________(will consider out call)


Best time for appointment: _____________________________


LENGTH OF MASSAGE

_____ 15 Min
_____ 30 Min
_____ 60 Min
_____ 90 Min


TYPE OF MASSAGE (May choose more than one)

_____ Full Body Massage Deep Tissue
_____ Full Body Massage Soft Tissue
_____ Full Body Massage Sensual/Romantic Tissue
_____ Full Body Massage Combo (Best type)
_____ Body to Body Oil Massage

LOCATION OF MASSAGE (May choose more than one)

_____ Chair
_____ Bed
_____ Floor
_____ Couch
_____ Bubble Bath
_____ Shower
_____ Other _____________________________________________


EXTRA'S (May choose more than one)

_____ Hair Wash
_____ Vaginal Massage
_____ Breast Massage
_____ Oral Massage
_____ Kissing
_____ Other __________________________________________
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/m4w/5479146444.html,chicago,chc,2016-03-06 11:56,2016-03-08 21:27,msr,m4w,Looking for cruel greedy girl,"
Looking for a mean girl. She has to have a nice butt and be cruel. Nothing sexual. If that's you message me.
",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
