url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://chicago.craigslist.org/wcl/stp/5451421120.html,chicago,wcl,2016-02-16 21:21,2016-03-08 21:25,stp,m4w,Looking for a real female friend with a twist (no sex),"
OK, first off, I know this is a platonic section and I am not looking for sex. What I am looking for is a female, married or not, that wants to talk, hang out, text, try new places, etc. I also am looking for a woman that thinks being open and flirty can make a friendship better. I am not looking to hook up, but it would be fun to have a woman that I love spending time with and acknowledges that men and women always have a tension between them. Dress up sexy for a dinner date, comfortable cuddling during a movie, fun texts and being open about our regular life, but never really acting on it. No pressure to be yourself and playful. The main point is to find someone to spend free time with, but not putting limits on it.
I am single, white, tall, educated, employed, home owner, funny, easy going, etc
",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/wcl/stp/5482997928.html,chicago,wcl,2016-03-08 20:19,2016-03-08 21:04,stp,m4w,pampering you,"
white male offering free foot massage for well deserving women. full body massage upon request. pics appreciated
",46,average,,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/chc/stp/5463664969.html,chicago,chc,2016-02-25 00:41,2016-03-08 20:57,stp,m4w,Running buddy,"
I was wondering if anyone was looking for a running partner? I'm new to the city and game for anything..I hate running alone and guys can be really competitive. Last year I ran multiple marathons but I've taken most of this year off so Im very out of shape. If you're interested, email me with how much and often you run so we can see what a good starting point would be.
",26,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,,,
http://chicago.craigslist.org/chc/stp/5483027607.html,chicago,chc,2016-03-08 20:47,2016-03-08 20:47,stp,m4w,Looking for someone to text,"
I work in a financial institution in the loop and thought everything in my life was all well and good. 
Then I got a news from my manager that the company was downsizing and they might lay off a bunch of us.
It was like getting electrocuted. I couldn't feel anything for a while. It felt like I'm in a dream or something. 
I was scared and I panicked. I didn't know what to do. 
Later that night when I went to bed I couldn't stop thinking about it.
And I realized that I got too scared that the scare vanished of fear. 
Then I started thinking what I was doing with my life 
where are am I going?
What is the purpose of my life?

Then the thought went on...
why should I have a purpose in my life?
Why should I prove that I'm successful or I'm making any money to someone?
Why should I care about the society?
I felt that I should get out from this rat race which not taking me anywhere.
I woke up next morning and it all felt like the movie fight club 
Things that I own have ended up owning me. 
I live in a 1 bedroom apartment alone. 
Why do I need a 1 bedroom?
Why do I need that leather recliner?
I don't eat on the table then why the fuck do I have a dining table and chairs?
So I decided to let them all go. 
So I go back to work and realized they are not firing me. 
But I have decided to keep that fire in me to give everything I don't need or require. 
I've decided to move to a smaller apartment not because I can't afford my current one it's just because I don't need it. 
I was talking to my friends about this and they call me crazy for leaving the bigger place and moving to a smaller one similarly they find it stupid to move out of a place when it is not a necessity whereas me, on the other hand, realize that the biggest advantage of living in an apartment is the mobility it provides. So I wanted to utilize it to the fullest. 

If u would like to talk to someone about stuff like this, Platonic relationship. No picture exchange required. I was looking for more like a pen pal. I would like to see whether there is someone who actually is into talking. I'm a movie buff who loves to eat burgers and bike around. 

If you think we could make an interesting conversation shoot me a message. I don't know l whom I'm looking for but I know for sure that I'm not looking for any trump supporters. :(
",27,average,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,single,,
http://chicago.craigslist.org/chc/stp/5471205517.html,chicago,chc,2016-03-01 07:41,2016-03-08 20:47,stp,m4w,"Traveling, restless, just seeking pleasant chat","
The title sums it up fairly well. I'm looking at a dreary day a long day and I'd like to find some interesting email conversation. No creepy CL master plan here; I'd just like to exchange some emails with someone literate and amusing. Good spelling = preferred.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/nch/stp/5470658660.html,chicago,nch,2016-02-29 17:54,2016-03-08 20:46,stp,m4w,More than a friend,"
But less than a lover (I think). Married without a spark, and just looking for someone to email/im with. Maybe we'll meet up for a drink or lunch, maybe we'll never meet. I have no need to play it fast and have no ulterior motive. I'm not going to say it will never develop into anything physical, but I'll be fine if it doesn't. I'm just looking for a fun, mature, confident funny woman (with an edge) who is also looking for something safe, but outside their normal daily grind. We can talk about life, work, whatever. To be honest someone attached would be ideal also. Sorry for vagueness... I will know what I'm looking for when I find it, but email me and let's see where it goes.
",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/sox/stp/5482995343.html,chicago,sox,2016-03-08 20:16,2016-03-08 20:39,stp,m4w,Seeking a BBW,"
Hey, this may seem like a weird request, and I guess when you look at it it really is, but I ask that you bear with me. 

I am a 22 year old straight male crossdresser who also happens to be fat. I am looking for a bbw to not only be my friend, but also to help me with fashion and all that. If this interests you in any way please do not hesitate to contact me
",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/nch/stp/5483002041.html,chicago,nch,2016-03-08 20:23,2016-03-08 20:35,stp,m4w,Lets smoke and chill,"
Lets smoke some 420 and Hang out. Looking to make new friends. If interested shoot me an email.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/wcl/stp/5469186589.html,chicago,wcl,2016-02-28 19:01,2016-03-08 20:26,stp,m4w,Lights on or off?,"
I prefer on, that way I don't stub my toe walking to the bathroom........ or were you thinking something different ! On for that one too! 😉

I don't know, just kind of bored while I'm doing the boring things that routine makes you do. A chatty distraction always helps. There must be someone out there who was good grammar that can chat!
",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://chicago.craigslist.org/nwi/stp/5461740139.html,chicago,nwi,2016-02-23 17:55,2016-03-08 20:21,stp,,Read and lets see what happens,"


© craigslist - Map data © OpenStreetMap

(google map)

Her...
BBW
5'6""
42E tits
Pierced tongue
Shaved kitty

Him...
5'11""
Shaved head
Nips pierced
7.5-8"" member
Shaved below as well

We have done this before. We are clean. Please be as well. We like to meet for dinner/drinks in public and see how we mesh. If we hit it off we will plan from there. Please don't waste our time if you aren't 100% into it. Be at least 25. Send pics to see pics.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
