url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://dallas.craigslist.org/ndf/m4w/5443434257.html,dallas,ndf,2016-02-11 11:02,2016-02-28 16:46,msr,m4w,NSA friendship.,"
I am a straight, successful, well-educated, good-looking, guy that is looking for a nice, sweet woman. I have a busy schedule and I neither have time nor want a serious relationship. I have a car, a good job and I know how to treat a lady. I have morals and values. I am looking for a sweet, nice, young woman that wants to have a man's attention, but without the drama of a relationship. I don't care if you have a boyfriend or are married as long as there is no drama. I am healthy and disease free. I don't smoke but socially drink. I have a good job and make good money, I don't mind helping you with a bill here and there. I can tell you more if you are interested. Just drop me a line or two, tell me about yourself, attach some pics and put your name or the answer to the math ""60 + 9"" as subject in order to know that you are real. I am looking for the right woman to have a good time with.
",35,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,divorced,,
http://dallas.craigslist.org/dal/m4w/5442919809.html,dallas,dal,2016-02-10 22:41,2016-02-28 16:46,msr,m4w,How would you...,"
I am a single, good-looking, well-educated, professional man who is looking for a nice, young, pretty, sweet, lady. I am goal oriented, I have aspirations; and I have values and morals. I am looking for a woman who I'll call my woman and make her feel special; in return , she will call me her man. This woman has to be my best friend, my partner in crime and my lover in bed. 

I am a romantic, old fashioned guy that believes in chivalry. I like to hold hands, open doors and give unexpected kisses. I like to compliment my girl and tell her that she is the most beautiful woman I have ever seen. I like to show affection to my woman in public and in private. I'll always make sure that she knows how important she is to me because I am not afraid of showing affection and my feelings.

I come from a family that believes in love. My parents have been married for 35 years and my grandparents for 56.

Did you know that If you can make a woman feel like the absolute queen of the world when she is with you, she will never want to leave your side. She will be almost magnetically drawn to you by her need to feel that way.

It takes courage to find out how good you can be.

Take Risks and conquer your fears.

Please tell me about yourself, send me some pics and tell me how would you spend a romantic dinner with me in order to know that you are real and not a bot or scam. If you want me to reply to your message please tell me how would you spend a romantic dinner with me and send me some pics otherwise, your message will be deleted without reading it.
",35,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,,,
http://dallas.craigslist.org/ndf/m4w/5440887655.html,dallas,ndf,2016-02-09 15:15,2016-02-28 16:46,msr,m4w,Discreet fuck buddy is sought,"
I am a straight, successful, well-educated, good-looking, guy that is looking for a nice, sweet woman. I have a busy schedule and I neither have time nor want a serious relationship. I have a car, a good job and I know how to treat a lady. I have morals and values. I am looking for a sweet, nice, young woman that wants to have a man's attention, but without the drama of a relationship. I don't care if you have a boyfriend or are married as long as there is no drama. I am healthy and disease free. I don't smoke but socially drink. I have a good job and make good money, I don't mind helping you with a bill here and there. I can tell you more if you are interested. Just drop me a line or two, tell me about yourself, attach some pics and put your name or the answer to the math ""60 + 9"" as subject in order to know that you are real. I am looking for the right woman to have a good time with.
",36,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,divorced,,
http://dallas.craigslist.org/ndf/m4w/5457584641.html,dallas,ndf,2016-02-21 00:51,2016-02-28 16:46,msr,m4w,Professional DOM seeking SUB,"
I'll take charge of you, allowing you to fully express yourself. The secret to your submissive enjoyment is in allowing yourself to be enjoyed.You may feel as though you're independent in your everyday life, but you feel the need to relinquish control in private. By doing so, you give up all responsibility, giving you the freedom you crave, far from losing your independence, you'll gain much more you will become the uninhibited, naughty, sexy woman you've always wanted to be. I'm offering a very rewarding friendship based on equality, with the added bonus of exciting fantasy domination. I am Latin, with short brown hair and brown eyes. I'm 44, but I look 34. I am well-endowed, so your fulfillment is guaranteed. I'm 6' 0"", I weigh 220, I have an athletic build, and I'm clean-shaven. You must be healthy (not necessarily thin), a non-smoker, and disease-free, as I am. I'm a single, handsome, confident Dom, and I am seeking a truly submissive woman; it's okay if you're a new to this. If you're an interested submissive, whether you're experienced or inexperienced, your training begins when you reply to this post. If possible, please include the following: 1. your first name; 2. a description of yourself, including your height; 3. what turns you on about submission, and a specific fantasy; 4. your boundaries, and; 5. your photos.
",44,athletic,,,,,,,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,,,
http://dallas.craigslist.org/dal/m4w/5436356297.html,dallas,dal,2016-02-06 11:44,2016-02-28 16:46,msr,m4w,Attractive Professional for younger Sweet Girl!,"
Attractive professional seeking friendship and close relationship with a younger female. Not looking for anything too serious perhaps close friendship, nice dinners, conversation and intimate moments. Open to provide proverbial male shoulder and support. I am open to any race prefer females in their 20s or 30s. Please put your TV Show in the subject line and reply with a picture and your contact information. Let's get this party started !
",45,average,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,,,
http://dallas.craigslist.org/ndf/m4w/5457582574.html,dallas,ndf,2016-02-21 00:46,2016-02-28 16:45,msr,m4w,Seeking a Professional Woman,"
I am an attractive professional looking for a nice young professional woman in the Dallas or North Dallas area for ongoing friendship, romance and intimate moments. Please include your favorite designer in the subject line and send me your picture and contact information. 

Thanks 
",45,average,,,,,,,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,,,
http://dallas.craigslist.org/ndf/m4w/5461329458.html,dallas,ndf,2016-02-23 13:45,2016-02-28 16:45,msr,m4w,A glass of wine and...,"
I am looking for a nice woman who would like to have a glass of wine with me. Nothing serious, just two adults having nsa fun. I am new to Dallas and I am looking for a nice, young, pretty lady who would like to hang out with me. Casual dating.
I am a good-looking man who has a job, makes good money but would like to have female's company here and there.
If you are interested tell me about yourself, send me some pics and put red wine as subject to know that you are real.

",35,athletic,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,,,
http://dallas.craigslist.org/sdf/m4w/5465969594.html,dallas,sdf,2016-02-26 14:10,2016-02-28 16:45,msr,m4w,Any fun females in or around Corsicana?,"
i am new in town, 39 and looking to meet a fun female in or around corsicana. i prefer submissive women and BBW are ok. i am open to all races, i am just looking for some fun. please email me a pic and lets hook up
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/ndf/m4w/5431465037.html,dallas,ndf,2016-02-03 06:52,2016-02-28 16:45,msr,m4w,DOM for certain type of SUB,"
I am seeking for a particular woman that craves a Dominant. What I want, a woman that has a desire to serve, learn, submit, and understand the dynamics between a sub and Dom are actually loving in nature. A woman that wants to be pushed to new limits in every aspect of her life, to achieve success, and needs guidance. Interested ? Change the subject line with your favorite color and send me a message. For quick response let's kik
",,average,,,,,,Masters,,,,,," 6'1"" (185cm)",,,,,,English,,,,,,,,,,
http://dallas.craigslist.org/dal/m4w/5442891715.html,dallas,dal,2016-02-10 22:03,2016-02-28 16:45,msr,m4w,Seeking V Day Lover,"
I am an attractive professional who is seeking a discrete lover. I prefer someone under 45, white, Hispanic or Asian. Someone in decent shape new in town and preferably in medical field. I am open to all options :) and have a decent working schedule. Interested please change the subject with your fav tv show.
",,average,,,,,,Masters,,,,,," 6'1"" (185cm)",,,,,,English,,,,,,,,married,,
