url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://dallas.craigslist.org/ndf/msr/5465043414.html,dallas,ndf,2016-02-25 21:35,2016-02-28 16:55,msr,m4m,Rock out wit my Cock out,"
I am around I35 and 380 driving around with my cock out. I would like to pull up to someone else who has their cock out.. I want to see you stroking that thing up and down,, making it hard until you shoot cum.. I will be working on mine as you are beating yours. I don't mind showing off one bit.
",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/dal/msr/5468993366.html,dallas,dal,2016-02-28 16:28,2016-02-28 16:28,msr,m4t,Seeking relationship with sweet sissy,"
Not the typical craigslist post, but here it goes. I'm a man who would like to form a lasting friendship with a crossdresser/sissy. I'm not looking for a full time trans woman, but someone who enjoys the idea of taking on the feminine role in a relationship. A relationship where we can explore and satisfy our desires while getting to intimately know each other in and out of the bedroom.

I would describe myself as a gentle dom. I know what I like and enjoy being in control, but don't care for aggression, force or humiliation. In my experience, a sissy who is encouraged and rewarded is a better submissive parter.

Now that I've listed a few things I like, here are my stats: I'm 28, 6ft, 140lbs, white, hung, hairy and masculine. If you've read this far, you're potentially interested, but here's a possible deal-breaker for some. I test positive for hsv2(herpes). As I want a friendship built on honesty, I need to be up front about that. It's not a problem for me, and I'm otherwise 100% healthy.

If this caught your eye and you feel like we might be a good match, feel free to say hi. While I'm mainly looking for a real life relationship, I'd be open to an online/texting friend as well. 



",28,fit,,,,never,never,,,,,,," 6'0"" (182cm)",hsv-2,,,,,,,,,,,,never,single,,
http://dallas.craigslist.org/dal/msr/5460940132.html,dallas,dal,2016-02-23 10:20,2016-02-28 15:52,msr,m4t,New relationship,"
Hi all im 30 m in north dallas 5'6 brown hair and blue eyes. I am bi and versital. Would love to find a versital tgirl to have a fun relationship with. Just looking for fwb to start but wouldnt mind a real relationship if it happens. I am very very oral and love to give as much as get and will swallow every drop. I have only really tried being a top but want to try my hand at being bottom more. So i hope i hear from someone.
",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/ftw/msr/5441626767.html,dallas,ftw,2016-02-10 07:21,2016-02-28 15:27,msr,m4w,48 yo wm seeking young female,"
hwp and ddf...wife knows and approves....she will join.watch or leave us alone......

if you want a long term relationship with older male send pics and #
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/mdf/msr/5468842661.html,dallas,mdf,2016-02-28 14:43,2016-02-28 14:58,msr,m4m,BI WM MAKES A GREAT FWB,"
Versatile Masculine BI WM seeks mature, discreet in shape (HWP) WM OR Latino only (sorry, just my preference) for regular fun; Must be cut; hairy chest and crotch a +++ but not a deal breaker . Non-smoker, DDF, play safe only 

Me: 6'3"", 217 lbs, work out regularly at gym; brn/hazel 6"" cut, low hangers, multi-heavy shooter; Likes to have fun in and out of bed. Enjoy kissing, oral, body contact; massages , warm showers; maybe more depending on the connection; 

Please provide stats and location in first email. Being discreet- no pics exchanged

Please only be in the Arlington-Mansfield area and able to host.

Put ""FWB"" in Subject Line so I know you're real
",57,average,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/dal/msr/5426958655.html,dallas,dal,2016-01-30 23:58,2016-02-28 14:44,msr,mw4w,looking for nanny/companion,"
We are white married looking for a nanny with companionship. some one to live with us and help us out. want to know more email us. and please send a pic. be ready to send your cell quickly as soon as you know I not a spammer.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/dal/msr/5436739571.html,dallas,dal,2016-02-06 15:36,2016-02-28 14:44,msr,mw4w,looking for nanny/companion,"
We are white married looking for a nanny with companionship. some one to live with us and help us out. want to know more email us. and please send a pic. be ready to send your cell quickly as soon as you know I not a spammer.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/ftw/msr/5468829439.html,dallas,ftw,2016-02-28 14:34,2016-02-28 14:34,msr,m4m,serious relationship/marriage,"
Hi
I am searching for love. I want a meaningfull, loving, and trusting relationship. I am 5'7"" hispanic, 34 waist, i have tattoos, hiv neg, bottom guy. I like to go out and enjoy the day when i am able to. I like to hangout with friends and family. I like concerts, going to the movies, fishing, camping, happy hour, going out to eat, roadtrips, cookouts and pretty much up for anything with good company. I also like to stay in and relax. I would like to meet a guy who would enjoy doing some of these things and someone who can share his likes with me. Message me if you are interested. On first message i would like a to know a little about you and include a face pic. I will send u my pic in return.
",32,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://dallas.craigslist.org/dal/msr/5468800818.html,dallas,dal,2016-02-28 14:15,2016-02-28 14:15,msr,m4m,LTR oriented with like minded professional guy,"
Hi -
I am searching for an honest, cleancut professional guy who is LTR oriented between 33-45 give or take a few years on either side. Ideally, I want someone who is believes in communication and who is honest and doesn't play games. Love someone who is considerate and open minded and who doesn't mind someone like me who speaks their mind. I am 5'8 175llbs, dk brown/hazel, and I am a top (just stating for compatibility). I am 44, but look like in my early 30's people say. I enjoy movies, CNN/news, cars, watches, and I am always open to learn new things! Would love to travel more. If you are interested, please send me a message!
",44,average,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,single,,
http://dallas.craigslist.org/dal/msr/5468773007.html,dallas,dal,2016-02-28 13:56,2016-02-28 13:56,msr,m4t,"Seeking semi-casual relation with older, mature TG - m4t (Richardson)","
Hi,

I haven't had much luck finding precisely what I am looking for so I am going to post out in bullet point format who I am, who I need you to be, and what our relationship could be. The paragraph style version would be I want to be in a traditional old school relationship, but with a transgendered lady. And specifically mean a crossdresser, although if you have done light hormones that isn't a deal breaker. I do not mean to offend anyone, but that is what I am looking for, so if that isn't you please do not respond. I also want someone who at once can be someone I can look up to, but also someone who can look up to me. The duality of the male/female dynamic.

I know this might make me sound picky with all the criteria. But frankly, I would rather be alone than to just be with someone who falls way short of what I think would be compatible. I hope that is acceptable.

Who I am
-----------------------------
College educated
Have a bi-sexual female girlfriend who knows about this side of me and is ok with it as long as she knows what it going on
Self sufficient
Stable
ZERO interest in quick hook ups. I have to like a person before I get physical.
Non-violent (both in the physical sense and emotional sense)
Kind of a nerd (Computers, sci-fi, movie buff, etc)
Former athlete, yet sensitive 
Brown skinned, african american
Dry sense of humor
Late 30s
Disease free
Can not host at this time, but that will change in a few months.
If we get to know each other, I can give a better picture.

Who I'd like you to be (a passing score would be 80%)
---------------------------------------------
Older than me, 35-55
Discrete
Born and Raised in America
Non-racist
Prefer Caucasian or African-American
Mature
Stable, Homeowner, Self sufficient
Non-violent
You don't have to be college educated, but you must be smarter than the average person
Caring, loving, nurturing
Passable - although I am attracted to unpassable ladies as well, I am afraid for a long term relationship I must insist that you can at least walk through say, the mall, without getting the wrong sort of attention. Sorry.
Also have a dry sense of humor
If you are married, your wife must know about this part of you
Interested in a long term friendship...Not just about sex
Patient, laid back 
Confident
Honest
Did I already say caring?
Disease free

What our relationship could be
--------------------------------------
First and foremost friends
We can discuss a variety of things..movies, philosophy, sports, science
We can act like teenagers or adults. We can let loose, so to speak.
We can go to plays, concerts, or we can just hang out on the couch and watch a movie
We can laugh, we can cry, we can talk about anything that for whatever reason we hide from others.
Fantasy fulfillment. Do you have fantasies you have wanted to fulfil but hitherto have been unable? We could make our fantasies happen together
Discretion, I'll never tell anyone what we do unless you want to.


If any of this sounds interesting to you, please respond. We can be friends at the very least.
",38,big,,,,,,,,,,,," 5'11"" (180cm)",negative,,,,,,,introverted,,moderate/lean liberal,,,,single,,
