url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://dallas.craigslist.org/dal/stp/5466134500.html,dallas,dal,2016-02-26 15:48,2016-02-28 16:34,stp,m4m,Looking for a 420 bud to chill with I host.Str8 Bi Gay cool,"
Home chillin no real plans looking for a chill 420 bud to stop over and hang tonight I have a little to share and u are also welcome to bring yours.If you rather not smoke out that's cool I am also down to just hang and chill...str8 bi gay all cool no hang-ups here
6'4 235 average goof-ball here race no issue for me blk,mix,thug,latin all great tatts r kick ass +
please have a pic age 18-40 so if your are looking to get out your bored or want to get away from the g/f then come on over would be real cool to find a reg friend to hang out with
",45,average,,,,,,,,,,,," 6'4"" (193cm)",,,,,,,,,,,,,,single,,
http://dallas.craigslist.org/dal/stp/5468997452.html,dallas,dal,2016-02-28 16:30,2016-02-28 16:31,stp,w4m,Friends,"
Hello I'm a 36 year old Hispanic female just looking to make new friends. If your looking for the same thing send me a message!
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/mdf/stp/5468974289.html,dallas,mdf,2016-02-28 16:14,2016-02-28 16:14,stp,m4m,YouTube Prankster Friend Wanted,"
Hello. My name is Dylan and I am from The Colony/Frisco area. I'm a constantly bored 22 year old who works fulltime and has a very hard time finding like minded adventurous individuals who love going out and having unconventional fun. My biggest hobby is comedy, but more precisely, unscripted stuff like Sacha Baron Cohen, Sam Hyde, YouTube pranksters, etc. I bought a very very nice Panasonic HD camcorder but have failed to use it since I have no friends that are willing to make funny videos with me. I hope to discover somebody here on Craigslist who's into this hobby and would like to go to malls or stores to record some lulzy unscripted encounters with me. I would be the clown who goes up to the stranger, just be a willing/brave cameraman who can handle recording me. We can switch if you're ballsy enough too. Looking forward to hearing from somebody. Till then.
",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/dal/stp/5468920162.html,dallas,dal,2016-02-28 15:35,2016-02-28 16:07,stp,w4w,Exclusive Friendship,"
I'm a brown skinned DOMinant femme who is in a relationship, but looking to find an exclusive friendship. I don't have time to waste emailing for days before a meet up that may never become reality and I don't need drama either. Genuine friendship
",32,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,partnered,,
http://dallas.craigslist.org/dal/stp/5468907872.html,dallas,dal,2016-02-28 15:27,2016-02-28 16:06,stp,w4m,Seeking companion jobs/travel /dinners,"
If anyone knows who I can contact for this type of work,please contact me. I want legit info and names would be checked... I am not desperate. I will not send out my info until I know you are legit with name of business and number. thanks
",,athletic,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://dallas.craigslist.org/ftw/stp/5468960070.html,dallas,ftw,2016-02-28 16:03,2016-02-28 16:03,stp,m4w,Looking for a Lady for Company in Mansfield/Arlington/Ft Worth,"
39 Year old Guy Just Got into Mansfield for business. Will be here a few days. I would like to meet a Lady of any age for company, Dinner, a drink or coffee and just talk. I love good company and intelligent conversations and I am a good listener. I am friendly, Decent and can be Humorous. Email me. I have no expectations. Just be Yourself and Real.
",39,thin,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,,,
http://dallas.craigslist.org/mdf/stp/5458413855.html,dallas,mdf,2016-02-21 16:09,2016-02-28 16:02,stp,w4w,friends?,"
Would love to make a good friend in the Keller area only. I'm into running, working out, coffee, shopping, movies, etc. Only seeking a friend.
",30,athletic,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,married,,
http://dallas.craigslist.org/ftw/stp/5459150664.html,dallas,ftw,2016-02-22 08:44,2016-02-28 15:44,stp,m4w,Workout partner,"
Looking for someone to be my workout partner you can be single or taken doesn't matter. No DRAMA wanted. Located in Fort Worth and have a 24 hour membership. Lift weights, run, swim, or sauna. Someone to help motivate each other. If this sounds like you send a pic and the location of the 24 hour fitness. Maybe can lead more to just work out partners maybe fwb
",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/ndf/stp/5457766208.html,dallas,ndf,2016-02-21 08:34,2016-02-28 15:38,stp,m4w,"Married, Looking To Flirt","
Things haven't been great at home lately. I miss flirting and feeling wanted by a woman. If you are in the same boat lets chat! I'm free to chat all day, have the house to myself.
",30,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,,,
http://dallas.craigslist.org/ftw/stp/5468876462.html,dallas,ftw,2016-02-28 15:05,2016-02-28 15:36,stp,m4w,Communication,"
Looking for a female to chat with on any topic desire, real communication is what I'm afer. Email /text would be appreciated but could lead to voice. No scammers /spammers. Let's chat about relationships, hobbies, interest, world in general.
",,average,,,,,,,,,,,,,,,,,,,,,,,,,,single,,
