url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://dallas.craigslist.org/dal/w4w/5468930992.html,dallas,dal,2016-02-28 15:43,2016-02-28 16:42,msr,w4w,Friends??..Lets hang out.,"
Hi there..

About me:
AA, lightskin, large bbw, single, 33, no kids. I live alone. I work & have my own everything. I am looking for someone that likes to go out for a night on the town, or attend different events with or likes bars, differents restaurants and all that good stuff.

Let's get our nails done, go to the mall or shopping, comedy shows Bath && Body Works, go for Maui Margaritas at Cheddars. Bar?? Chill at my place or yours in leggings && oversized t-shirts, order in && watch movies. I am straight but your Race/size/sexual orientation doesn't matter. I'm just looking for someone to hang out with or that wants to get out on the weekend and go somewhere.
",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/dal/w4w/5468900388.html,dallas,dal,2016-02-28 15:22,2016-02-28 15:59,msr,w4w,AA BI Fem lookin for BI fwb,"
I'm 29 AA DDF thick 38F bi fem looking for a DDF Fwb. Im attracted to curvy women as Im curvy myself. Someone who I can hang out with and someone I can be freaky with. Please be able to host maybe this can happen tonight. im not looking for a pillow princess. No men... No couples.. No pic no response please put your favorite thing to do with a woman in the subject line. The thicker the better but please be HWP.
",,curvy,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,,,
http://dallas.craigslist.org/dal/w4w/5468926965.html,dallas,dal,2016-02-28 15:40,2016-02-28 15:40,msr,w4w,Young Light Skin AA Female Looking for Female Friend!,"
I've tried this before and I'm giving this another try... I'm 23 yrs old and looking for a fun female acquaintance! 

Someone who is between the age 21-30 yrs old.. Who lives in the Dallas area. Height and weight proportioned in size. Mature and not with games! 

I'm 5'9 135 lbs size 3-4. Attractive and sweet. If interested please feel free to respond with your favorite color in subject line and picture for a response... 

I look forward to hearing from the perfect one soon. ;)
",23,thin,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,single,,
http://dallas.craigslist.org/ndf/w4w/5468807428.html,dallas,ndf,2016-02-28 14:19,2016-02-28 15:27,msr,w4w,Looking for the Butch of my dreams...,"
The butch of my dreams.... - is a hopeless romantic at heart - actively pursues me - knows how to say my name in a way that sends shivers down my spine - leads when we dance - lets me fall asleep in her arms - is proud to be with me and it shows - puts her jacket around my shoulders when the night air gets cold - is really good at flirting with me and only me - sends me flowers for no special reason - makes my eyes light up when she walks across the room toward me - knows how to make love to me in the most gentle, tender way but also knows how to ravish me, take me, and possess me - tells me I look pretty when I most need to hear it - is not afraid to put her arm around me or hold my hand in public - is fiercely protective and will use every ounce of her strength to protect me should the need arise - treats me with the respect a lady deserves - realizes that love takes time - is attentive to my needs - knows how to work out differences in a non-confrontational manner - hungers for my caresses, kisses, and nurturing love - is not afraid to show me her softer side - is my rock in hard times - likes my playful, silly side and knows how to have fun with me - is not afraid to admit that she is wrong or say I'm sorry - holds me close when I cry or when I am hurting - finds sexual pleasure in watching how I respond to her touch and in how incredibly wet she makes me - appreciates my softness and knows how to lose herself in my touch - loves to watch me get ready in the morning - knows how to drive me crazy with many different types of kisses - the ones where our lips barely touch, the ones where she slowly runs her tongue across my bottom lip, the ones that are fierce and possessive and take my breath away - makes me feel sexy with the way she talks to me, the way she gazes across the table at me, and the way she pauses to take me in with her eyes before making love to me - takes care of me in ways that I don't even know I need taking care of - looks amazingly hot in a nice pair of boxer shorts - is confident but not arrogant - loves it when I grab on to her belt loops and pull her into me - let's me touch her in ways that she's never dreamed of letting anyone touch her - is breathless and awed when she first sees me in sexy lingerie - loves the feeling of being inside me - shows me her vulnerable side - has learned how to trust and how to be trustworthy - knows how to just be with me without having to fix it when I am feeling upset - knows I will never intentionally do anything to injure her butch pride - likes to watch me get ""femmed-up"" for her - makes all my sexual fantasies come true and then some - can see in my eyes how proud I am of her - keeps every card and note I've ever sent her - if you've made it this far, put the color pink in the subject line so I know you're serious- knows how much I need to be a ""bad girl"" from time to time - knows that I want her to take the lead - let's me know just how special I am to her - smiles to herself when I take her hand in mine when we drive in the car, sit in the movies, or look up at the stars from the porch swing - supports and encourages me in my dreams, goals, and aspirations - has old-fashioned values - is not threatened by my intelligence - is comfortable with her masculine side but knows I love her because she is a woman - feels no need to be overly jealous or possessive - makes me feel wanted, needed, and desired both inside the bedroom and out - takes special care of me when I am sick - spoils me rotten, on occasion - loves to snuggle in close and find that perfect fit when we sleep together - is proud of me for the things I have worked hard for in life - make me feel safe and secure - wants me to be her wife - takes me out for nights on the town but also enjoys our quiet times at home together - knows how to be my ""daddy"" when I feel like her ""little girl"" - is patient with my nervous first attempts to learn what pleases her in bed - is secure enough in our relationship to handle our times apart - savors my body, imperfections and all - knows that she has the power to make me beg and sometimes makes me do just that - is strong, inside and out - is not afraid to come to me when she needs comfort - knows I want to satisfy her in all the ways she wants and needs me to - knows how to use my body for her own sexual pleasure - would never think of raising a hand to me in anger - knows that we can face anything together with honesty and never feels the need to lie to me - remembers the exact date we met - knows when I need to be pulled over her lap for a spanking - makes ordinary things magical - is creatively erotic - is kind to all living creatures - is not afraid to say I love you and would not let a day go by without saying it - knows how much I love to watch her when she does those ""butch jobs"" around the house - doesn't always have to be right - works hard for a living and knows how much I respect her for that - knows how much she needs me in her life, even if she won't admit it to anyone but me - allows me to massage away her aches and pains at the end of a hard day - loves to let me sit on her lap - carries herself with confidence and pride - wants to spend the rest of her life growing old with me by her side - makes me want to be the best possible femme I can be for her..

Hi, I'm a 45 yr old single femme. I'm looking for Butch only. Please be between the ages of 35 & 50yrs old and white or Latino. Please be serious, send a pic and have something to say. I took the time to write this, so I think you can write more than just a sentence.
",45,curvy,,,,,,,,Brown,,,Blonde," 5'4"" (162cm)",,,,,,,,,,,,,,single,,
http://dallas.craigslist.org/sdf/w4w/5468760494.html,dallas,sdf,2016-02-28 13:48,2016-02-28 15:24,msr,w4w,women for women--,"
hwp
white
.petite.small breast.tight.
spinner-
Do you fit this description. Lets please talk about plans.
Opportunity
",55,thin,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,single,,
http://dallas.craigslist.org/ftw/w4w/5461590667.html,dallas,ftw,2016-02-23 16:15,2016-02-28 14:51,msr,w4w,other older moms,"
Hi i am a 42 yr old white female i have a 22 yr old stepson who i can't stop thinking about i came home early about three months ago he didn't know i was home i walk in and was thinking no one was home started to pick up around the house has i walked over to his bedroom door it was open a little bit i could see in and oh my god that was huge i never would have dreamed that he could be so big his hand didn't fit around it that good he was very thick and uncut more dick than my husband could think of ever having now all i can think about is how i want to taste him and feel him pushing inside of me any other moms ever been where i am right now please help tell me what should i do
",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/dal/w4w/5468629767.html,dallas,dal,2016-02-28 12:24,2016-02-28 13:02,msr,w4w,Lets grind 💦😋,"


Looking for someone to chill , watch movies cuddle flirt kiss & more :) AA perfered or mixed . Bbw welcome (; 18+ must be able to host 😘💦
",19,curvy,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://dallas.craigslist.org/ftw/w4w/5465367904.html,dallas,ftw,2016-02-26 08:24,2016-02-28 12:58,msr,w4w,Are you my submissive pet,"
This is for woman only no men or little boys

I am a very dominant woman that is looking for a new submissive pet. 
You must be able to follow orders and enjoy being tied. 
Respond with your favorite bondage fantasy and a picture. 
Don't wai this position will be filled fast I am only looking for one

Kik romperroom60
",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/ndf/w4w/5464340876.html,dallas,ndf,2016-02-25 13:02,2016-02-28 12:30,msr,w4w,"Licking, sucking, and grinding: that's it!","
Sexy, AA female, late 30's, seeking NSA immediate girl on girl fun. No men or couples. I'm just feeling a bit freaky and would like to satisfy this periodic urge for something soft... I love thick, voluptuous, CURVY women. AA women preferred. This doesn't have to be complicated... Please respond with more than a one liner and a photo. Your photo gets mine. XOXO
",,average,,,,,,,,,,,,,,,,,,,,,,,,,,partnered,,
http://dallas.craigslist.org/dal/w4w/5452848514.html,dallas,dal,2016-02-17 19:14,2016-02-28 12:27,msr,w4w,Need A Female In My Life,"
Sometimes you just want someone to come home to.. Someone you can cuddle and chill with.. Someone you can talk to and get your head rubbed by.... A real connection...

Im a SINGLE female from Dallas, TX looking for friends possibly more. I like women who like women.

You: 

*Must have a job
*Must have your own spot
*Must have something to offer
*At LEAST 23 or OLDER

Me:

*Employed
*Own car
*Own spot
*College educated

**IM NOT A TRICK SO IF YOU LOOKING FOR SOMEONE TO TAKE CARE OF YOU IM NOT THE ONE**


If you're serious about meeting someone new, hit me up... Please include a picture, phone number, and change the subject line to DALLAS or I'll delete it before I look at it....
",27,average,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,single,,
http://dallas.craigslist.org/ndf/w4w/5468600862.html,dallas,ndf,2016-02-28 12:05,2016-02-28 12:21,msr,w4w,Looking for strap play??,"
Me:
32 yrs old
African-American
Athletic build
Masculine
Disease free and tested regularly
Will not be getting penetrated

Looking for:
Femme or stud
Hwp
Disease free
African-American with some exceptions
Loves to get penetrated

Looking for a regular person
Send pic when replying
",32,average,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://dallas.craigslist.org/dal/w4w/5468599662.html,dallas,dal,2016-02-28 12:04,2016-02-28 12:04,msr,w4w,Masculine AA looking for Stud or Ftm,"
I am a masculine African American boi who is looking for an individual who identifies as a stud,dom,etc. . I'm looking to develop a friendship and maybe date if we hit it off. I have pics to send once you email me with a couple sentences about yourself and your picture. I prefer someone of color, but I'm not going to eliminate others. Please be 25 or older. #s4s #ftm
",32,athletic,tattoos,,,rarely,never,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,never,single,,
http://dallas.craigslist.org/dal/w4w/5460597105.html,dallas,dal,2016-02-23 04:15,2016-02-28 11:35,msr,w4w,Long Distance Love? S4S,"
As the title implies, I'm not in TX. I reside in Connecticut but I'm not into the females out here so why not try something new? I don't mind texting, FT, snapchat, whatever. Let's build a connection and see where it takes us.

First thing's first, I'm polyamorous. I believe in open, honest relationships and I love seeing my partners love freely. This does not mean that I'm looking to be a third in your relationship, or that I'm looking to add someone to mine. This means that I'm aware that people are not property and should be allowed to love as they please. I understand that this lifestyle isn't for everyone, so keep that in mind before replying. I'm in my mid 20's, tattooed, pierced and gauged. Chubby so if you're not into that, feel free to stop reading now. Gender fluid but more on the stud side. About 5'2, black hair & dark brown eyes. I'm funny, sarcastic, humble and easy to talk to. I have the attention span of a two year old and I'm a kid at heart. Museums and art galleries are my happy place. Take me to the zoo or the aquarium and you've pretty much lost me, I can be there for hours. I'm a hopeless romantic with a dirty mind, just about anything can be turned into an inappropriate joke.

I'm looking for someone smart, funny and honest with a good head on their shoulders. I prefer chubby girls but I'm not too focused on looks. If you'd like to get to know someone new feel free to send a message. Your pic gets mine.

No fems, bi women or men, you'd be wasting your time.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/dal/w4w/5457031453.html,dallas,dal,2016-02-20 15:10,2016-02-28 10:59,msr,w4w,Edgefest tickets,"

I have edge fest tickets. They are VIP..... I'm looking for someone funloving, sweet and attractive who loves music. I'm in my late thirties, love music of all kinds and like to dance and party (within moderation). 


This concert is at the Toyota stadium in frisco on sat April 30th.....


I also like edm and other festivals. If we hit it off maybe we can go to Euphoria and Something Wonderful. 


I'm not looking for a casual hookup/sex or whatever. Friends is cool for right now. I think it would be nice to go get drinks, or lunch or something to decide if we will be happy hanging out with eachother for an entire day. 


I'm moderately fit/active and femme. I wear make up, sometimes dresses and heels. If lipstick on your friend offends- I'm not your girl. I like pretty girls-- soft butch to high femme. 


I tend to look at the person. Not their style or outward trappings. Just be a nice person. There are enough assholes in the world that you don't need one in your inner circle (you know?) If you got drama.. I don't care because everyone does actually. Just be a decent person. And be single please. 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dallas.craigslist.org/dal/w4w/5468403677.html,dallas,dal,2016-02-28 09:46,2016-02-28 10:34,msr,w4w,Lick me good please,"
I have been craving a woman's touch and I want my fat pussy to be licked good. I'm very shy but I want to find someone to make me moan. So if that is you let's talk. I'm on Kik
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
