url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://denver.craigslist.com/msr/5431613377.html,denver,,2016-02-03 08:10,2016-02-26 07:48,msr,m4w,do you live close to Harvey Park?,"
I'm looking a companion who lives near Harvey Park. Single? perfect. Married? don't bring your drama but I'll be discreet
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.com/msr/5438722679.html,denver,,2016-02-08 08:40,2016-02-26 07:17,msr,m4w,To Cali on the Magic Bus!!!,"
I am leaving for Cali sometime around the middle of March in my Retro RV... AKA ""The Magic Bus"". It has been retro fitted with all the latest greatest bells and whistles, new system, newer engine, new awning, new patchwork curtains, so it is ready to roll... 

Meanwhile, I am in search of an open minded-free spirit who will enjoy the freedom of the road, as much as she would love promoting the tour myself and my business partners have put together. I will simply say it is wrapped around Cannabis and Music Festivals. Along the way, we will be enjoying the great outdoors of course, everything from hiking, paddle boarding, disc golfing, skinny dipping, and maybe even some candy flipping will be in the mix.....

As much as I am in the mood for some stimulating company, it would be nice to share some colorful chemistry together throughout the adventures. I am bold and so I will admit I am a gentle- man with strong firm guiding hands and I really am only interested in a mesmerizing muse, who knows how to put her tight lil body to good use...

I am open to meeting up now.... if we hit it off well, (which we ill need to if we are going on this trip together...) I am open to sharing my space until we leave in March for this tour, not a requirement, I am just throwing it out there, in case it helps.... All I ask in return for her friendship and company is some help with day to day duties of being on the road... and promoting all of our ""sweet stuff"" as the opportunities present themselves....

I have plenty of pics to share...and am in great shape....I am only interested in someone who is in similar health.... 420 friendly of course.... non smoker, and I would prefer her not to be either...but not necessarily a deal breaker...
",44,fit,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,single,,
http://denver.craigslist.com/msr/5439661725.html,denver,,2016-02-08 17:50,2016-02-26 06:43,msr,m4t,Looking for that special girl,"
I have just moved to the area not very long ago at all, yes, new to Colorado. I thought what better time would there be to see about fulfilling a fantasy that I have had for quite a number of years now. I have wanted to meet and spend some time with a transexual M2F. I find it so very sensual and erotic to imagine being with that special woman and as I am getting to know her find that there is the special package. I am kind and thoughtful. I am polite. I know how to respect boundaries and can carry on a conversation. And I can be a very good friend. I am 5'9"" at 165 pounds with graying hair and mustache. I am told that I am good looking and do not really act my age, probably because I have stayed active and have exercised all my life. Now, for the issue. I am also married and so, as much as I hate to say this, things should be discrete. I hope that doesn't make me too big of an asshole in your eyes. Perhaps you might enjoy the possibility of an affair?If you would enjoy meeting a caring mature man, please send me a message. Pictures would be nice also. Your picture will get mine. Thank you for your time in reading this.
",59,athletic,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,,,
http://denver.craigslist.com/msr/5465219929.html,denver,,2016-02-26 03:22,2016-02-26 04:07,msr,t4m,Looking for a cool guy to get to know,"
Hi guys I'm a newbie cross dresser looking to chat with a cool guy. I'm not entirely comfortable with being in public dressed but I can assure you that I'm very passable. I'm looking for a guy who 
is tall because I'm 6'2, very nice body, older than 23, and most importantly drug and disease free if it leads to that. If you're sending an email please include a picture, or you will be ignored. All photos are me! I am in a relationship so I would like to keep things as discreet as possible.

Love muscles!!!
Kik vsholic13
",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.com/msr/5465175006.html,denver,,2016-02-26 00:22,2016-02-26 01:10,msr,m4w,Cuddle buddies,"
It would be much nicer to go to bed with someone to stay warm with. 30 year old guy here not wanting to sleep alone, that's it.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.com/msr/5465182402.html,denver,,2016-02-26 00:47,2016-02-26 00:47,msr,m4w,New poly guy looking to date,"
Hi there, I am a poly guy in a relationship looking to date on my own or possibly add a 3rd to our relationship, depending on how everyone gets along. I have been told by every girl I have ever dated that I need more then one girl to keep up with me. It wasnt until my girl brought it up to me since she has been in many poly relationships that this really seemed right to me. I am not looking to cheat at all. Everything will be communicated with everyone involved. 
So anyways, I should talk about me some :) I am 38 (just turned), 5'6, average weight, straight, musician with a great job downtown. I love to go check out bands, sit back and relax, have a cold beverage, play a board game or card game and just talk. I have a few large tattoos that I keep mostly covered because I enjoy them for myself, I don't do any drugs and I have recently gotten into vapor ecigs. If this interests you and you would like to know more, shoot me a message with your astrological sign and a few pics of yourself and lets start getting to know each other :)
I hope you have a great day.
",38,average,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,,,
http://denver.craigslist.com/msr/5451501699.html,denver,,2016-02-16 22:00,2016-02-25 22:05,msr,m4w,Sexy mature (45+) white female for ongoing physical relationship,"
Looking for a very sexy, very sensual and sexual, very attractive, slim to hwp mature white female friend for lots of intimate passion.

I'm white, single, attractive, fit, tall, slender/lean, clean cut and clean shaven, smart, funny, affectionate, well endowed, strong sex drive, highly oral and tactile, and powerfully, passionately sensual and sexual. Love sex, love kissing, love the erotic intensity of two sweaty, sexy bodies intertwined in passion.

Genuine friends, strong physical/emotional connection, no strings. Prefer ongoing and regular.

Please be clean, healthy, DDF, funny, affectionate, down to earth, and a non-smoker/non-drug user.
",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.com/msr/5434049816.html,denver,,2016-02-04 17:35,2016-02-25 21:46,msr,m4w,Latino looking for a FWB situation,"
Early 40s Latino looking for a casual woman who's interested in a casual FWB situation.
Im married with permission, lol.
Preferably a woman who wouldn't mind having an experimental thing with the wifey.
She's bi curious and would like to explore that venture.
I'm average to husky build make who's independent and has time to play.
Looking for an average woman who is missing that connection. Who knows what this could lead to,possibly ongoing thing.
I'm DDF and you have to be too. 
Send a friendly pic or what ever you want to send, a short bio of yourself and what you are looking for as well.
",42,,,,,,,,Hispanic,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.com/msr/5447171393.html,denver,,2016-02-13 20:26,2016-02-25 20:14,msr,m4w,You should be our CuckQueen,"
My girlfriend has this kinky fantasy where she wants to watch a woman have sex with me. We have had a threesome and she says that she would really enjoy the opportunity to just watch me play with another woman. She knows what she's getting herself into; like I mentioned, we have had a threesome and there was lots of juicy kissing and I pleasured them both orally, which she really enjoyed. I would venture to say that most women would be intrigued by the idea of having a voyeur but would prefer to have a man to themselves, in private, because they desire the intimacy they would get from a man without his partner present, however... that is what she's wanting to see! She says I get a hunger in my eyes and she wants to be like a fly on the wall. She and I are clean and I am vasectomy safe. We personally knew the woman who we played with so we were comfortable not using a condom. We know there is just as much risk having oral sex, so we would like to know a little about you. As much as we don't want to break up a relationship, she and I feel it's probably safer to host a lonely housewife but we have to be assured that we're not going to break up a marriage. We do have a conscience. Hell, if a woman's going to stray, it might as well be with a safe couple, right? If you are a single woman, we'd like some assurance that you're not jumping into everyone's bed. I don't want to end this on a down note so just imagine the intense orgasm you're going to have knowing you're going to be fucking her man, right in front of her!
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.com/msr/5432029078.html,denver,,2016-02-03 12:02,2016-02-25 20:12,msr,m4w,my House is Empty,"
So, everyone else is gone for the day and I want to have some naughty fun. I have always been told that I have very nice arms and shoulders as well as gorgeous blue eyes. I prefer to enjoy the build-up of sex, as opposed to jumping in and fucking, then leaving. That's just not my style. If that's what you're looking for, I'm sorry. I want that chemical attraction, that desire! I enjoy long French kisses (and in the heat of passion, sloppy tongue action!) I want to take the time to explore your body, to run my hands over every curve of you. I thoroughly enjoy breasts. I take my time to sucking on them and fondling them. I love when they get hard and it's a turn on if she asks me to bite them, though I'm nervous about biting too hard. I love a good, clean pussy to taste, I could I cold spend hours licking your pussy and suck on your lips. I love tasting a woman's cum and I love to feel her slippery juices on her lips and I love to explore the folds of her lips and to suck on them! I really love to pull my cock out and stick my tongue into your pussy too! I'm getting horny just typing this.
I will only send photos to those who send one, fair is fair
Please put your zip code in the subject line or I'll assume your spam or replying to everything out there 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
