url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://denver.craigslist.org/w4m/5465032194.html,denver,,2016-02-25 20:22,2016-02-25 21:36,msr,w4m,Unhappy sexy MOM ready to fuck,"
Hey, 
I'm sexy, unhappy married 5.5' blonde hair blue eyes.
Get back to me asap!! I love sucking dick and I'm sure you will love it. May be we can get a hotel.
So e-mail me at casual hot sex.
You must be clean, ddf, sane, single or married does not matter.
",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.org/w4m/5458737921.html,denver,,2016-02-21 19:37,2016-02-25 20:54,msr,w4m,Don't burst my bubble just because yours is already flat,"
I like men who wear hats the way they were intended to be worn.
I like men who like dogs better then cats.
I like men who can change the oil in a car.
I like men who care more about who they are with then what they are doing. 
I like men who talk on the phone. 
I like men who can make anyone laugh.
And I like men who have their life together. 

Could you be this guy? I hope so.

Just so we are on the same page. I'm not looking for NSA or FWB. Please be between 24 and 34. I'm not interested if you do drugs, smoke or drink excessively. Please be normal. Not too much to ask right :-) 

5o5four4osix1seven3
",24,curvy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.org/w4m/5464925172.html,denver,,2016-02-25 18:33,2016-02-25 18:33,msr,w4m,Ready to find someone amazing :),"
I'm 32, I live in the Northglenn area. I work a crazy job that I absolutely love with insane hours, which makes it difficult to get out and meet people. 

I have my life together and am looking for someone who has the same. I work full time and then some, I am a divorced mama and my life is pretty drama free in that regard and I would like to keep it that way. My kids are my world and will always come first, I am not looking for a father figure, they already have one. I am looking for someone to date, possibly ltr. I love to get outdoors, love to hike, ski, rock climb, catch an Av's or Rockies game. I love to cook, read, travel. 

I am looking for a man, 28-39 or so, yes, please be attractive :) Not looking for married, attached, or just a hook up. Sense of humor is a must, so is a healthy sex drive. Must be intelligent and able to hold a conversation. I am tall, brunette, slender build. If you want to find a new adventure buddy, someone to travel with and play with, shoot me an email. No pic, no response and your pic will get mine :)
",32,thin,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,divorced,,
http://denver.craigslist.org/w4m/5464773451.html,denver,,2016-02-25 16:29,2016-02-25 16:29,msr,w4m,sbf,"
Hey handsome,

Do you like to go out for dinner or movies? I am an attractive caramel complexed black female with long dark brown hair and a really nice body in my late 20s. I am really sexy and amazing.
I would like to meet a nice man who has a vehicle and your own place. I enjoy a handsome man who enjoys going on long walks, movies, dinners and having a lot of fun. Also, love my man well endowed. Please send me a picture and tell me about yourself.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.org/w4m/5464579174.html,denver,,2016-02-25 14:20,2016-02-25 14:20,msr,w4m,Bbw seeks ltr,"
Hello, I am a bbw and I am seeking a ltr. I am 29, 5'2, brunette, hazel eyes. I am fun to be around and like to check out local bands, paint, hike, bike, camp, and much more. I'm looking for someone to have adventures with and see new places. I know it's weird trying to find love on here but I don't drink so I don't go to bars and I haven't had luck with online dating apps. Serious replies only. Please email with some details about yourself. Pic for pic
",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.org/w4m/5464507326.html,denver,,2016-02-25 13:37,2016-02-25 13:37,msr,w4m,Run away from Scott davis,"
I am saving you years of abuse. He has left me and his other ex wife with all of his debt. He trolls for women here. He is a narcicissict abuser. Addicted to swing clubs, pornography, fantasy games. This person is coniviving and manipulative. He lived with me after meeting him here. Do not fall for his act. He left my dog and I homeless and his other ex had to file bankruptcy. Run while you can.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.org/w4m/5464354629.html,denver,,2016-02-25 12:10,2016-02-25 12:10,msr,w4m,Let's Go Out On A Date,"
I'd like to meet a kind, funny, professional, tall, clean cut mature gent (50s to early 60s) who wants a loving, respectful exclusive long-term relationship. 

I'm a quick-witted, old-fashioned, smart and sexy woman. I have a good job, good friends and a blessed life. Looking to include a sweet and sexy boyfriend. Please send a PIC & tell me about you. Let's see if we want to meet.
",58,curvy,,,,,,,,,,,,,,,,,,,,,,,,,,single,,
http://denver.craigslist.org/w4m/5464182425.html,denver,,2016-02-25 10:35,2016-02-25 10:54,msr,w4m,"Romance,friendship or party pal","
Hi Looking for decent looking, respectful with integrityLOL (prefer blue collar) man Having fun is always in the cards. I am attractive, kind, intelligent and adventurous. Love to travel. must love rock and roll. I'm a 60's hippie chick, so there. I love to have fun and have a kinda dark sense of humor. I' m self sufficient, not rich, and expect you to be also. I have very long hair. Must be 420 active and friendly to it. I mind if you dont use it, as I will not be judged. I do believe in God and the magic of the universe. Lets rock n roll. I really love ROCK n ROLL music. I like to party, (responsibly of course). I also enjoy intelligent conversation. I really dont mind long hair on a man or if he is a musician!!! I love music. It is my special friend. Life is not over yet. I can send pic, I only answer pics of males showing clearly face and head, no weener pcs please, thats just too eager. I'm not looking for a one nite stand, At the least, friendship. I dont judge.
",57,fit,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://denver.craigslist.org/w4m/5464137102.html,denver,,2016-02-25 10:10,2016-02-25 10:10,msr,w4m,You're special!,"
Treasure yourself and others like they're irreplaceable.

Enjoy every second, minute, hour and day because it's all worth it. 
Give love receive love. Good karma is healing!

Have a peaceful Thursday ;)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.org/w4m/5463704725.html,denver,,2016-02-25 01:47,2016-02-25 02:06,msr,w4m,Do you want a date?,"
Hello,
I work on the weekends making dating harder for me. Please remember that when Friday and Saturday rolls around I won't be able to be there with you. 
I'm a fun loving person. I love the outdoors, movies, dinner, cuddling, and listen to rock music.
I want a ltr, hopefully you'll be my best friend as well. :-) 
Please be in between 31-41 years old, smoke, average build, over 5'7"", listen to rock music, and work on the weekends. If you send me a pic I will send one back. 
Thank you for reading my post. 
",36,average,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,daily,single,,
