url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://denver.craigslist.org/w4w/5461988763.html,denver,,2016-02-23 20:30,2016-02-25 21:28,msr,w4w,💋Wanting A Sexy Curvy BBW Latina💋,"
I'm looking for a real women who has no time for games.. We can start as friends or more.. Looking for that girl who is loving, caring, and K own what she wants... 

I'm so tired of all the grown women acting lime children.. 

Send pic no reply
No couples or men

I am in ft collins be willing to come here or meet half way

",39,curvy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.org/w4w/5464829529.html,denver,,2016-02-25 17:12,2016-02-25 18:28,msr,w4w,New to this.,"
Hey there...I'm 19, white, petite and have been told I'm pretty. I'm patient, caring, fun, adventurous and a little sassy, hah. I'm going to school for nursing. I'm looking for an experienced woman who can make love to me without inhibition. I love the sensual side of sex like kissing etc. but would also like to meet someone confident enough to let go and and go a little wild. Would love to find a dominant, assertive older woman who can put me in my place in bed and bite me, spank me, talk dirty, make me hers, etc...

This is just a huge fantasy of mine and I'd love to find someone intelligent enough to do this with. Not asking for a commitment and I'm not going to bore you with any of my life or school issues. We meet up, hang out, have some wonderful deviant sex and go out separate ways :) If any of this resonated with you on, reply with a description of yourself and what you're looking for. I'm 5'4, white, in good shape. I won't disappoint.
",19,fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.org/w4w/5464852946.html,denver,,2016-02-25 17:31,2016-02-25 17:44,msr,w4w,Coffee?,"
Interested in meeting for coffee? I'm a swf, educated and stable. 
I'm new to the area and would like to meet new people. Let's chat and then meet. I consider myself nice looking, but if you want a picture you will need to send me one and ask for mine, but only after I have a sense of who you are. 
I am looking for someone who is also successful. I prefer Chapstick or Lipstick lesbians. 


Please no couples or men.
",40,average,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,single,,
http://denver.craigslist.org/w4w/5464100291.html,denver,,2016-02-25 09:49,2016-02-25 11:31,msr,w4w,Anyone real,"
Hey there, I'm looking for a down to earth female. I am not about drama and need that in a female. I want to find that true fwb. No games no bullshit. Just a friend in and out of the bed. Nothing more. I want a friend not just a one night stand and not just phone sex!! I'm into curvy girls, with a nice chest. Since I started working out my libido has been thru the roof and I want to find someone who can keep up with me. I'm not into head games. Please no men!!!! And you must be drama and d&d free other than 420. If your interested message me
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.org/w4w/5434140522.html,denver,,2016-02-04 18:57,2016-02-25 08:39,msr,w4w,Let's Fall in Like,"
Is there anyone real and sane out there??? Even the most promising prospects end up flaking on me. 

I am 34 years old, black, have light brown eyes, caramel complexion and I am a curvy size 14 (and loosing). I am in an relationship. He is fully aware of my desire to be with a woman and he supports it fully. He will NOT be involved! I want something fun and fulfilling.. I want a true intimate friendship that has a naughty side. I am intelligent, extremely sexual, fun, open minded, creative, motivated, 420 friendly and sincere. We can hang out, eat out, grab a drink or catch a movie. I am looking for more than sex. At the same time I want us to engage in activities that fulfill fantasies and make us feel alive and truly desired. I would prefer someone that has experience with a woman and knows what she wants. Please be ABSOLUTELY sure that this is what you want and please have the time to dedicate to this type of relationship. Please be in the Denver metro area, be mobile and be able to host should we decide to have some fun behind closed doors. 

Please understand that it will take time for us to get to know one another and I am not going to rush into anything. I do not want to exchange endless emails, however, it is a balance and we will meet when the time is right. I would appreciate if you respond it is with the intention of really meeting and ultimately playing in person! I prefer chatting on KIK. Responses with no pic and/or just a few lines will be deleted. Race does not matter but please be under the age of 50. Let's experience some intensity and honesty that you never knew was possible. I look forward to hearing from you and beginning this journey together!
",35,curvy,,,,,,,,,,,," 5'2"" (157cm)",,,,,,,,,,,,,,partnered,,
http://denver.craigslist.org/w4w/5453052470.html,denver,,2016-02-17 21:47,2016-02-24 19:34,msr,w4w,True friends with benefits,"
I am seeking a fun loving woman for a true connection. Not looking for something serious, but also not looking for a one night stand or booty call either. I would really like someone to hang with in and out of the bedroom. Someone to have random adventures with and a whole lot more. Me-30, white, average with a big booty. Fem, bi, two tattoos,blonde hair, hazel eyes 420 friendly and down to earth. You- fem between 27 to. 35 skinny to curvy, but not bbw (sorry), serious about this. I've come across so many people who just flake off. It's frustrating. Please be drama free, DDF. And no men or couples. If that's what I wanted I would not be posting here.
",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.org/w4w/5462670121.html,denver,,2016-02-24 10:44,2016-02-24 12:10,msr,w4w,Is it really this hard!!,"
Trying to meet someone on here is hard between my ads being flagged and trying to make sure the people I am talking to are really ladies. So once again here goes looking for a girly girly between the ages of 28 40 curvy preferably latina or white who is down for what may be going on any given day! Let's do something new together! Please send pic yours gets mine. .
",39,curvy,,,,sometimes,,,,brown,,,black," 5'7"" (170cm)",,,,,,,,,,,,,daily,separated,,
http://denver.craigslist.org/w4w/5454404058.html,denver,,2016-02-18 18:45,2016-02-24 02:30,msr,w4w,Daughter looking for her mommy,"
I'm a 21 year old girl looking for an intelligent and well-educated woman to be her mommy. Ideally this would involve sexual role-play and non-sexual role-play. I am looking for a woman who is gentle and nurturing and is looking for an obedient and well-behaved daughter. Please be somewhat fit, in your 30s, and reply with a picture. Above all, I just want to please my mommy and be her very good girl. Can't wait to hear from you!
",21,curvy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://denver.craigslist.org/w4w/5462050295.html,denver,,2016-02-23 21:45,2016-02-23 22:25,msr,w4w,Discreet FWB <3,"
Hi my name is Allie, I'm looking for a discreet fwb situation. I would like to actually be interested in making this more of a Longterm thing :). To tell you alittle about myself I have long black hair, green eyes, and I wear glasses. I am 420 friendly and just want to hang out maybe smoke and see where things go :) To make sure you are real please put what color your eyes are in the Subject line. :)
",21,big,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,partnered,,
http://denver.craigslist.org/w4w/5461749933.html,denver,,2016-02-23 17:02,2016-02-23 17:44,msr,w4w,looking for geeky love~,"
Hi there! (PUT YOUR FAVORITE FOOD IN THE TITLE SO I KNOW YOU'RE REAL)

I'm 21 years old and live in Denver Colorado. (Fair warning those of you who don't find this appealing.... I' M A HUGE NERD!) Nerd as in I enjoy cosplaying, attending conventions, watching anime, playing video games -even though I suck- , I love Dr.who, Steven Universe and things of that nature. For me all of this would be considered by ""baggage"". If you're still reading this awesome! Let me tell you a bit more about myself and see if you might be interests. 

Well I stand at a whopping 4'11 and am not the most slender of people, however I've been working about for about... 2 months to get into shape. I have to get my con body ready ya know? I have dark brown eyes and light brown hair that will soon be turning purple. Outside of cosplaying I volunteer with a nonprofit after school program as a tutor / teacher. I've been doing that since my freshmen year of high school, and plan to get a degree in recreational therapy. However that degree is put on hold for a little while I help my mom out with things at home. I plan to go back to college next semester and hopefully graduate within three - four years but who know. I'm employed at an awesome costume shop where I can proudly express my geeky side with my employees and customers, and have been working there since early September. 

I'm looking for someone who share the same interests as me, and someone I can spoil. I'm a hopeless romantic and want to share my love with that special someone. I don't care about your size, shape or color what I look for is whats in your heart. With that said...

WARNING: I am NOT looking for Friends with benefits, one night stands, or anything sexual (not right off the bat). I want to get to know you starting off as friends then seeing where things go.
AGES 20-24 only (NO ONE WITH KIDS, MARRIED OR LOOKING FOR A FWB)

Your photo gets mine :D
AGES 19-23 only (ill go to 24 but no higher)
",21,curvy,,,,,,,,,,,," 5'0"" (152cm)",,,,,,,,,,,,,,single,,
