url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://jacksonville.craigslist.org/msr/5490733137.html,jacksonville,,2016-03-14 13:27,2016-03-14 14:01,msr,m4w,Anything,"
Never really did this before but hell, might as well give it a shot. 
I have a great sense of humor and I hope that you do too. 
I'm very down to earth and have a great personality. 
I'm a nice guy but I could be bad if you want ;). 
I just finished school for a certain trade that you may enjoy 
If any of this sounds good to you so far, then you should send a reply. If not, then keep reading. 

I dont really care what you are like. I get along with eeryone. Ideally, I would like to find someone who loves to laugh, down to earth and someone that I could have an intelligent conversation with. I dont know what our relationship will be, but I'll just roll with the punches. (hopefully there wont be punches) 

So if I get a friend, girlfriend or hopefully a crazy sex session out of this, then i'm satisfied with taking my time to post this 
I hope to see you soon.... 
",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jacksonville.craigslist.org/msr/5462601923.html,jacksonville,,2016-02-24 12:09,2016-03-14 13:41,msr,t4mw,Sexy CD looking for other CDs to hang out with,"
37 yo bi wm sexy CD, nice smooth athletic body, looking for others to hang out, party with...if ur part of a cpl, bring ur bf or gf...im open minded and easy going.....we can exchange pics if ur comfortable...msg me...my name is Amber 💋
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jacksonville.craigslist.org/msr/5480187929.html,jacksonville,,2016-03-07 08:45,2016-03-14 11:38,msr,m4w,Tease! Denial! Edging! m4w m4ww,"
Looking to meet, Sooner rather than later, an Attractive Slim to HWP/In-Shape Athletic White Female

who loves T&D or is maybe inexperienced but interested and would like to explore her inner Bitch.


It can be anything from mild (verbal teasing/taunting) to wild (bondage/edging). Whatever you (or you and your gf/bff) are comfortable with. Actually, I'd really love to have a FWB but a once or twice or occasional encounter works for me.


Please reply with a little about yourself, a pic (faceless is fine) and put ""BITCH"" in the subject line for more details or NO REPLY


* BLONDES A+ * I HOST (the first time-after a publix meeting) * Twenties/Thirties Preferred * No Pro's* No Roses* No BBW's * THANKS *
",52,skinny,,,a lot of tattoo's,never,never,,,,,,," 5'10"" (177cm)",,,,,,,,,,Conservative,,,daily,,,♒ aquarius
http://jacksonville.craigslist.org/msr/5487626152.html,jacksonville,,2016-03-12 07:28,2016-03-14 11:31,msr,m4w,Life is Short - Let's Have an Affair,"
Hello...I am not looking for a one night stand, but for more of a long term, ""relationship on the side"" a real ""girlfriend on the side"" for friendship and passion.

You could be a single or married woman looking for the same, and have the availability to host (If single) and see each other as schedules permit.

Me: MWM Caucasian, 6'2"", Average build, brown/brown, attractive, with a job, fun, mature, and looking for the same. 

You: Educated, intelligent, sensual, fun, classy, real and sane. I love a woman who loves to laugh! You could be the girl next door, beautiful/exotic, or a professional classy executive. To be honest, it is more about personality than looks for me.

Send a photo with your reply; I will do the same!
",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jacksonville.craigslist.org/msr/5490506393.html,jacksonville,,2016-03-14 11:27,2016-03-14 11:27,msr,m4w,Discrete affair,"
Seeking 30-55 year old woman for discrete affair. May consider younger if mature. I'm Caucasian, brown hair, hazel eyes, average body, guaranteed clean. Married but missing passion, exciting, and not getting what I need from home. Love to cuddle, kiss, and just feel each other's bodies close and passionate. I know there has to be a beautiful female out there that is missing what I'm missing. Message me if interested. Let's fulfill the void in our lives.
",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jacksonville.craigslist.org/msr/5490310863.html,jacksonville,,2016-03-14 09:15,2016-03-14 09:15,msr,m4w,Looking for a hot girl to show in public,"
So I'm looking for an attractive girl that wants to show off her pussy or whatever else in public to me. Only looking for white or Hispanic girls and for hwp, I'm down to meet up at any of the places around bartram park like Starbucks or whatever and we can sit at different tables facing each other or however you want to do it. I'm sure there are a few of you out there that love the idea of guys catching a glimpse of you!
Any age is fine with me, and I'll trade pics with you so you know who you are meeting. Just know I'm a younger white guy, hwp and decent looking
",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jacksonville.craigslist.org/msr/5490230077.html,jacksonville,,2016-03-14 07:25,2016-03-14 07:42,msr,m4m,looking,"
hi looking for my age or older.like guys. cannot host. like walking going to gymn and swimming.looking for someone on the westsde that can host sometime I am 6ft4 235 wm clean shaved brown hair .hairy arms legs chest not real hairy. 5.5 cut nice balls hairy.can not host.be dis free safe non smoker.hope to hear from you.retired looking for some close live 295 near blanding off argyle forresr bl;vd.looking to someone that can host free in mornings live close by thanks.like oral 69 most everything.free in the morning.must host and live close by.
",63,big,,,,,,,,,,,," 6'4"" (193cm)",,,,,,,,,,,,,,separated,,
http://jacksonville.craigslist.org/msr/5489115648.html,jacksonville,,2016-03-13 10:38,2016-03-13 11:13,msr,m4m,Young man,"
Hey guys I'm 26 years old. I'm definitely bi here. Been single for a few years gonna try this out. Im very masculine not yet out though. Like the beach, movies, guns, being outside in general. I'm5'6 and250lbs, yeah I'm a big boy. I love a good workout at the gym or the track. I do also enjoy being at home watching Netflix or what ever is on TV. On that note, I am a bttm with a 6.5c. I am clean and ddf. Your pictures will get mine. Hit912 me up226 or you4225 can text me.
",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jacksonville.craigslist.org/msr/5489013796.html,jacksonville,,2016-03-13 08:35,2016-03-13 09:36,msr,mw4w,Interracial Couple Seeking Female to Explore Dreams,"
Interracial Couple Seeking Female to Explore Dreams

Hi! We are a White Male and AA Female Couple in our 40's that are looking to explore some mutual fantasies we have recently discussed. 

A little about her. She is a very attractive black female. She has never been with a female before and now has an appetite to try it. She is a very soft hearted and extremely caring person. She also introduced him to the concept of a submissive girlfriend. She soon will be introducing him to the concept of a submissive boyfriend too. She is absolutely Awesome!

A little about him. He is a handsome gentleman with an extraordinary passion to please his woman. Like most guys, his lifelong fantasy is to be with two women. Being able to please two women would be absolutely amazing to him. He too, is gentle and caring.

We are open to all races with no preference. We love diversity

We are also open to diversified relationship types. For example:


Girl-Girl (Boyfriend Present)
Threeway
Threeway Submissive
Girl-Girl Submissive
Boy-Girl Submissive
Boy-Girl (Girlfriend Present)

If any of this interest you and you want to know more, please send us a picture and share a little about yourself and what you are seeking.

We hope to hear from you.
",45,average,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jacksonville.craigslist.org/msr/5489008675.html,jacksonville,,2016-03-13 08:25,2016-03-13 08:26,msr,m4m,Cool Dude,"
masc dl bottom nine zero four looking for masculine and cool five eight six can host live alone i can host ss arlington express way8624must have pics lookng for now no fem dudes no bottoms would be cool to have someone to chill with on the regular from time to time I enjoy movies cuddling just chilling and seeing where it goes
",28,athletic,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,single,,
http://jacksonville.craigslist.org/msr/5479654594.html,jacksonville,,2016-03-06 18:45,2016-03-12 02:25,msr,m4t,looking for smooth thin mature cd private lover,"
Wanting a ltr with fem sissy, private crossdresser cd mature male. Live in relationship is possible. You - non smoker, thin and smooth. Reply with pic and put ""mature sissy"" in subject line to weed out spam.
",52,average,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,single,,
http://jacksonville.craigslist.org/msr/5479656527.html,jacksonville,,2016-03-06 18:47,2016-03-12 02:25,msr,m4t,"male 4 sissy, trans, fem, cd or transition","
Wanting a ltr with fem sissy, trans or someone going through transition. Open to supporting you and or help thru the process. Live in relationship is possible. You - late 20s up, non smoker, thin and smooth. Reply with pic and put ""sissy"" in subject line to weed out spam.
",52,average,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,single,,
http://jacksonville.craigslist.org/msr/5447162427.html,jacksonville,,2016-02-13 22:14,2016-03-11 23:37,msr,m4m,So Ready For The Right Man,"
I would like to meet an attractive sweet and very sexy man that is mature/older in age and looking for a fun passionate hot and ongoing relationship. Open to whatever happens between us and I hope more does. Im attracted to men that have a fit slender to medium build have a clean shaven face a nice smile nicely endowed a fun personality and enjoys lots of affection and sex. I want to have fun out of the bedroom too. Clean and healthy of course. I am an attractive fit man clean shaven face sexy legs and butt and nicely endowed. Im 62 and look several years younger. Very open minded sexually and enjoy most anything my lover desires but not into restraint or pain. Im versatile so whatever your preference is great with me. I love foreplay and kissing and thats a must that you do too. I love to please my mate in the bedroom and dont think youll be disappointed. Love erotic role play Not looking for bs'ers or married. Im real you be too.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
