url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://lasvegas.craigslist.org/m4w/5483109340.html,lasvegas,,2016-03-08 20:17,2016-03-08 20:27,msr,m4w,LATINO FOR BLACK WOMEN,"
I BEEN HERE FOR OVER MONTH AND NO REAL LADIES, I'M LOOKING FOR HONEST WITH A GENUINE INTENTIONS , TIRED OF FLAKES N FAKES
",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/m4w/5483116107.html,lasvegas,,2016-03-08 20:26,2016-03-08 20:26,msr,m4w,A good man looking for a good woman,"
Smokes Often with A Few Extra Pounds in North west/las vegas, Nevada Details 57 year old Male, 6' 4"" Sagittarius looking for a relationship. 
Interests: Golf, Singing Karaoke, Bbq's, Movies, Riding Harley, Dancing, Range Shooting, Bowling and more.
A good man looking for a good woman. I am a fun guy looking for a good woman. Come join me riding motorcycle, karakoe and fun times.
I have lived in Las Vegas a little over 3 1/2 years and have become a local. I work hard and play hard, live in a real house. 

Karaoke and Dancing
Riding Motorcycles
Riding my scooter (Harley-Davidson).
Drives in my 1964 Chevy Corvair convertible Spyder is always a good time. 
Movies of all types
Music, 60's,70's,80's Rock, Motown, some country.
I golf. I'm not great, but not bad.
I have bowled League
Pool player, 
Love a good open fire pit 
I make a Killer omelet.
BBQ's 
Fire Arms/Shooting
A Pedicure 
USAF a long time ago. 
Looking for a simple life without drama.
I work 4/10's off 3 days a week, sometimes 4 days.
Other interests:
Archaeology
History
Philosophy
Science
Astronomy 

",52,,,,,,,,,,,,,,,,,,,,,,,,,,,divorced,,
http://lasvegas.craigslist.org/m4w/5483102441.html,lasvegas,,2016-03-08 20:09,2016-03-08 20:23,msr,m4w,Cougar BBWs over 50?,"
25 here, latino, born and raised in lv, respectful, sane. well groomed and dressed in decent shape looking for an older bbw preferably over 50 whos like some new company. Im inyo staying at home watching a movie with good food or going out having a drink and dancing. Besides age and body type all.i care about is hygeine! I love meeting new people and picking their brain, finding out makes them tick. So conversationalist please reply! Have a good day :)
",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/m4w/5483087093.html,lasvegas,,2016-03-08 19:50,2016-03-08 20:18,msr,m4w,Black women 😍,"
24 here, latino, well groomed, clean and in decent shape looking for a beautiful black woman to connect with. Im chill, laid back and down to earth. I can relax at home and just watch a movie but i love going out, drinking and definitely into dancing. 420 friendly a huge plus. Not into all the games, drama and extra BS. I dont mind age as long as you act like it. I dont mind body type either, bbw or petite; both are very attractive to me. Cant wait to gear from you :)
",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/m4w/5483083427.html,lasvegas,,2016-03-08 19:46,2016-03-08 20:17,msr,m4w,Need a cute younger girl 100,"
Hi there! I'm seeking a cute young girl to maybe put some whipped cream on and maybe do some other things. Me: clean, good hygiene, athletic, std-free, don't smoke. Anything else just ask. 

P.S. My pic is real so please send a real one of you as well. See you soon!
",25,athletic,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/m4w/5483107440.html,lasvegas,,2016-03-08 20:15,2016-03-08 20:15,msr,m4w,ITS YOUR ROMEO,"
New in town and looking to go out n meet n greet , open to all races n faces, please be brief bout yourself, 
",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/m4w/5479217220.html,lasvegas,,2016-03-06 10:42,2016-03-08 20:08,msr,m4w,a simple date,"
.... age 52, divorced male....Looking for an easy going female to date, romance and fun, not interested in getting married again.

...your pic gets mine....must be in the Las Vegas area.
",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/m4w/5479834244.html,lasvegas,,2016-03-06 18:24,2016-03-08 20:07,msr,m4w,looking for a nice girl to spend my life with.,"
Hi my name is Gerald I am 45 years old I don't drink no drugs looking for love I have a very nice town house looking for a nice girl that would share my town
house with. I love swimming bike riding camping out fishing barbecuing taking nice romantic walks on the beach. if you're looking for a good guy send me a picture to my phone and maybe we can hang out and have dinner tonight. if you want a good man Here I am. this is not a solicitation for sex and i dont pay for sex thanks Gerald
",45,athletic,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/m4w/5445596514.html,lasvegas,,2016-02-12 16:09,2016-03-08 20:05,msr,m4w,Executive looking for younger companion for something unique,"
Giving this a try in the hope of find someone sane and like minded to share a new relationship.

I'll start by explaining that I recently met a superbly thoughtful and beautiful woman and although she and I get along very well we are not meant for romance (she works for me and this is a line I will not cross). Meeting her opened my eyes to the fact that a younger lady, despite her youth, can still posses a significant maturity and certainly a powerful charm.?

It makes sense to me that in this type of romance such as this that an older and established man should take care of his younger lover in many ways--including financially. I am quite good at what I do in my career and sufficiently proud of my success without undo arrogance and I hope this in part recommends me as new friend or more. I would love to find a part-time companion and partner in crime for reciprocal spoiling and an all around good time.

And so, in short: I am a successful male thinking about becoming a SD (I hate the term. . .) to one younger and lovely woman. I am 41 years old and I would be interested in my new friend being 18-35 and someone who has some attraction to an older man. I suggest this in part because part of what should draw a younger woman to an older man should be his success and ability to provide support of all kinds, it makes sense to me.?

I am not necessarily interested in anything serious but I would like for us to enjoy each other and for our affection to be genuine. This means that I am really looking for someone with whom I have mutual chemistry and someone who will enjoy her time with me as I hope to with her. This would be a casual relationship where we each spoil each other in our own capacities.

I am looking for the sort of woman who knows the strength of her own intellect, owns her own sexuality and sees some merit in having an older and generous gentlemen in her corner and possibly in her bed. Someone who knows that men and women are equal (certainly) but also celebrates the differences that biology, time and society have instilled in the respective genders. I do prefer to be 'captain of the ship' so to speak and I would very much welcome a capable and charming 'first mate' as it were (no pun is intended).

I am respectful, attractive and a consummate gentleman. The idea of being a sort of a patron to a smart, sweet younger lady is very much a turn-on for me. I hope to find a lady who shares this sentiment and would enjoy the idea of being on the arm, and possibly in the bed, of an older, clever and also sweet gentleman.?

I want to say that while this affair will have a sexual component I am interested in connection that is not just about . Hopefully you can appreciate the romance in this idea and are not solely motivated by the financial rewards. Are you are as eager to be appreciated for your mind as well as your body and are you open to receive both affection and assistance with your bills and expenses and such? I think if we are a good match this will be an excellent experience for us both.

Finally I can say that I am quite discerning in choosing a partner for this and I would like for you to be equally discerning. This will only be fun for me if it is also fun for you as well.

If this might fit for you then please get in touch so we can see if we're a match. Please describe yourself briefly and attach a couple of pictures with your response.
",38,athletic,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/m4w/5483080932.html,lasvegas,,2016-03-08 19:43,2016-03-08 20:04,msr,m4w,Playing games (real games),"
Im looking for someone that enjoys games (board games,card games,dice,etc). It may seem weird, but I enjoy playing all sorts of games, i think its a good way to get to know someone on friendly terms. Im not looking for any weird or kinky play, just normal games :) Prefer if you could host, I have plenty of games. Any age is ok..at least over 18. Im 44 yrs old friendly, sane (mostly) and very respectful. If interested just send a message telling me about you :) And put a game title in the heading, thanks
",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
