url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://lasvegas.craigslist.org/msr/5483051660.html,lasvegas,,2016-03-08 19:11,2016-03-08 20:54,msr,m4m,needing to relocate want to be ur bf or houseboy,"
Hey there, My name is Ben, I'm 33yrs yrs old, & I'm in Hemet California. If you're open to the possibility of someone relocating to you, for a relationship, or a houseboy type situation, I think I'd be what you're looking for. I know I'm not a supermodel, but I think I'm fairly decent looking. I'm not a muscle guy, or super skinny, but I'm average. I stand 5'9"" 165lbs, blue
eyes, brown hair. I have some hair on my torso, & legs. I have an average build. I'm HIV+ but healthy. I'm am a top, with 7 1/2 inches cut. I really just moved here, a while ago, and I just don't fit in here. I'll be glad to let you know more about it if you want me to. But thats a small part of it. The big picture is, I'm looking for someone I can call a friend, and lover and partner. Or to be your houseboy. Someone who I can count on and depend on, and who can do the same with me. I've been way too lonely for way too long, and I want a connection with someone. I love to cook, & always keep things clean. I enjoy a wide variety of things, which include travel, reading, movies, music, theater, or just spending a quiet evening at home, even finding new adventures. I want somewhere I can be comfortable, where I can be happy, with someone who can be happy with me.
I am not feminine acting, & I'm respectful, & fairly intelligent. I'm also very passionate. As I said, I am a top, and I don't do drugs. Please let me know if your truly interested, with a bit about yourself, and a couple pictures. Thanks for your time. I will be happy to get food stamps while I look for work so that I can at least help out with food while searching for employment. Please let me know. Thanks!
",33,average,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/msr/5472490157.html,lasvegas,,2016-03-01 19:49,2016-03-08 20:30,msr,m4w,seeking a granny,"
Seeking a granny 70-90 year old
for adult fun
Nice rewards for you
If interested send pic and state age
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/msr/5483077703.html,lasvegas,,2016-03-08 19:40,2016-03-08 20:18,msr,w4m,can I cum swing on you're vine,"
I am looking for toy, well not really a toy, since you'd get to be the recipient of a lot of pleasure. I love to please, pleasure and generally fuck big thick white meat cocks, something so sexy about a man with a big cock. I am a larger size woman, not fat no, just nicely padded and huge tits and a mouth to die for. I am looking for long term thing not a one night stand or fling, if something more comes out of it well I am all for that, I have sexual desire that can not be dampened. So you can try to extinguish it.

You must be at least 7"" and a cut and thicker the better, I am very tight and a wet mouth..Let's start the new year off right

your pic and info is a must be. I will exchange pics with the right lover, have a face and a body/cock pic ready, no excuses at all..

You must be single and no-smoking and no drugs at all
Must be single, no girlfriends, or wives..
You must love women with meat on them
Local
White only

Pics are a must...
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/msr/5479219608.html,lasvegas,,2016-03-06 10:44,2016-03-08 19:41,msr,m4w,~~~Orally Yours~~The Dom Who Loves To Lick~~~,"
Sitting here alone thinking fondly of kissing eager thighs closing in on a freshly shaved pussy for a session of serious clit play and tongue probing. There may be wandering hands, and flowing juices. You may see my chin glistening with your arousal as I come up for air and to admire your writhing displays of enjoyment.

I once had a wife who loved to receive oral sex for long periods of time. Often times for 30 minutes to an hour I'd engage my tongue and lips for serious pleasing duty, working towards the goals of feeling thighs constrict around my head during powerful orgasms. Since then to my chagrin I've not been with such a woman.

In fact, the last several women I have been with just weren't into oral sex at all. Not having anything to do with me, they didn't like oral sex period. Disappointed, I now long for those days I once took for granted as I take extreme enjoyment in knowing I am pleasing another, even though I am naturally Dominant.

I am a good looking 44 yr old Single White Male, physically fit, clean cut, shaven face and very respectful of limits.

If this ad is still posted, I am still looking and ask you to respond with a few words about yourself AND a recent photo is a MUST!
I ONLY open emails that have the word ORAL in the heading to avoid all the spam~~
",44,hwp,,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/msr/5483074298.html,lasvegas,,2016-03-08 19:36,2016-03-08 19:36,msr,t4m,boryfriend,"
I'm looking for someone we're genuinely looking for a relationship I am a heavy-set TS who is wanting more than just a hookup. some people may judge me because I post on Craigslist but that doesn't mean I sleep with every Tom Dick and Harry. I am in the market too be serious with someone butt I understand that you have to get to know that person first stall I'm on here looking for someone who would be interested in a possible long-term relationship but to start off as friends if this is you please reply back to me on with your picture and a salutation for those of you who just want to email me for a quick hook up I will not be replying I'm looking for a man who is faithful genuine trustworthy is willing to get to know me for me and is not just looking for sex please keep in mind that I am a heavy-set transexual and I'm looking for someone would be interested in dating not just hooking up thanks take care Aloha
",30,average,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/msr/5482881893.html,lasvegas,,2016-03-08 16:40,2016-03-08 17:54,msr,,Voyeur or joiner,"
Kinky open minded couple with skills in the bedroom and explosive sexual chemistry looking for someone to watch or join available anytime please contact us for more information
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/msr/5482745033.html,lasvegas,,2016-03-08 14:59,2016-03-08 16:58,msr,t4w,fun crossdresser 4 hot lady with nylons on,"
i am seriously looking for a lady who would like to meet a fun creative person who loves to dress up
together.i am a part time crossdresser who lives a straight life with a job and a house and car and likes to play dress up.i would love to meet a lady on the kinky side who is creative and sexy and likes to wear stockings,garter belts,corsets,lingerie,heels'and sexy clothes.i like to role play and can be dominant or submissive.i am not a pro and dont want one.i'd love to meet a lady that will wear stockings under her dress and be kinky teasing me and having fun seven zero two i know there's a classy girl who likes being naughty with her lover.i like to dress like a class slut or a sophisticated mature hot lady eight zero nine i like passionate fun times and i can be dominant or submissive and want to act out our fantasies three zero four seven i would be open to your fantasies also and be your slave or french maid please reach me and let's talk and see if we like each other.i guess i would be considered bi-sexual but i dont want to have a relationship with men.you may want to share men or act out desires we both agree on.i;m not gay i just like the feeling of acting like a girlfriendi want a girlfriend who is a sexual intelectual and fun.i am real and dont like pain or hurting but i love having sexy fun occassionally and i think spankings,kinky sex and dirty talking is hot.i am open- minded and ""normal""most of the time but i have a lingerie fetish and want to meet a woman who is understanding and would like to get to know me.i'm an artist musician who needs help organizing my girls room while wearing maids outfis.i can be an obedient slave or master or mistress depending on our fantasies. patti
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/msr/5481249311.html,lasvegas,,2016-03-07 16:07,2016-03-08 15:27,msr,m4mw,Any attractive non smoker's here?,"
Am just wondering if there's anything you'd be into with a guy who's my size?Ladies or couples only please.Thsnks.
",,fit,,,,,never,Degree,White,,,,,,negative,,,,,,,,,,,,,,,
http://lasvegas.craigslist.org/msr/5440093981.html,lasvegas,,2016-02-09 05:17,2016-03-08 15:17,msr,m4m,Curious to try piss and scat from hung gl guy,"
I am very curious to pig out and try scat from a gl hung white male. I have never tried scat so very inexperienced but wanting to recieve. I do love recieving piss from his tap or i will drink it from a glass. I also love to suck cock, eat ass and swallow his cum or shoot it on my face. I don't want anything done to me except servicing and worshiping you. I am only into good looking and hung white men. Must be in decent shape and no older than 45. I don't really expect to find what i am looking for but hopeful. I have never considered recieving scat before so teach and feed me. This must stay between us. I am real and so is my desire. I don't want anal but will submit otherwise. I am a middle aged white male. Hopefully this will lead to more than one lesson. Again, i love piss cock and cum and looking to explore scat if someone is willing to show me the way.
",,curvy,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,single,,
http://lasvegas.craigslist.org/msr/5482434855.html,lasvegas,,2016-03-08 11:52,2016-03-08 13:13,msr,m4m,"Looking to meet a tall, muscular man 4 a LTR who could leave NV for CA","
I am a GWM, blond, attractive, smooth skin. I would like to have a LTR with a man who is tall and very muscular, as this is just something I like. I live in Southern California, and when I try to meet men in my own area, I am told I am just too old (even though I could look ten years younger than my age with nice hair, skin, and teeth). Or if a man is built out here, he wants someone just as built as he is. That makes sense! If I like muscular men, why wouldn't he? But the truth is, I am slender and average shaped (5'11, 165) and don't wish to be trained. I like my plain body fine. But I still like what I like, so I thought there might be someone here in Las Vegas, certainly a different city to try, who is single and might like to be in CA and wouldn't care about my age or body. I don't have any preference for an ethnicity or age, nor do I seek out perfect hair, face, or skin. Just someone my height or taller and who has muscles. I do not mean one has to be a Mr. America, but please, someone who you could at least tell by looking that he works out. While this request is superficial, the intention behind it is not. I seek a LTR and not to use and discard someone if someone better comes along. By the same token, I seek one who truly wants a LTR and not just someone to bail him out of a bad situation. I can offer a place to live and gym access, but I cannot take on all someone's debts and bills. Nor do I wish to meet someone who does drugs or drinks heavily. I guess I am just trying to see if the timing is right to meet someone who, together, we could add something nice to each other's life.
",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
