url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://losangeles.craigslist.org/lac/m4m/5457472339.html,losangeles,lac,2016-02-20 19:39,2016-03-09 21:06,msr,m4m,seeking sir/alpha/dom,"
Independent in everyday life (and looking to stay that way), but looking for a guy to dominate me sexually and in my free time. 

I've begun to explore this side of me, but not enough to know exactly what I'm looking for in terms of a sir vs an alpha vs a dom. 

Looking for a guy that knows what he wants and enjoys exploring kinks. Enjoy bondage, spit, ws, dom/sub, and open to more. Let's discuss ;)

thirty
bearded
185#
five foot eleven 
33waist
seven inches
hiv- and ddf. you be, too. poppers and four2zero ok.
email or kik accorenu
",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/wst/m4m/5484691764.html,losangeles,wst,2016-03-09 20:52,2016-03-09 21:06,msr,m4m,HOSTING 3WAY FUN,"
Two bi buds here together. Looking for more for fun. Looking for asap tonight

We are both tops, but good with more tops or bottoms or vers. Just looking to get some similar masc buds together for discreet NSA fun behind closed doors. Can host in West LA. 

Guy 1: white, 32 years old, 5ft 9in, 160 lbs, br, br, fit, discreet. 7in cut
Guy 2: white, 29 years old, 5ft 11in, 175 lbs, br, br, fit, discreet. 6.5in cut

We are looking for other dudes around our age in similar boat. So if this sounds like something you'd be into, hit us up
",30,fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/wst/m4m/5484613398.html,losangeles,wst,2016-03-09 19:18,2016-03-09 21:06,msr,m4m,Need a cocksucker to suck my big thick cock,"
Looking for a cock sucker to suck my big thick uncut cock. I'm very good looking, white, athletic...big balls, and nice big load here.
d/d free and hiv- is a must. looking for generous cocksuckers. if this is still up, i'm still looking, thanks.
",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/wst/m4m/5484686925.html,losangeles,wst,2016-03-09 20:45,2016-03-09 21:05,msr,m4m,Houseboy,"
Looking to move! I am seeking employment as a live in personal assistant or houseboy. I do have visible tattoos, can manage a household, other aspects. Be serious please, no creeps, no flakes... I may ask you to set up a snapchat to verify that you are real. Preference to sexy daddies ;)

Send a pic and stats if you reply! 

Prefer something that could lead to more. Midwestern personality here.

bttm here by the way. If it gets to that.
",25,athletic,,,,,,,,,,,," 5'10"" (177cm)",Neg,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/sfv/m4m/5484700528.html,losangeles,sfv,2016-03-09 21:05,2016-03-09 21:05,msr,m4m,Younger Chubby Hairy Latino seeks a BB raw well hung Top!,"
Hello guys, I'm a 31 year old Latino/Hispanic male. I currently weight 237 Pounds, I'm not Thin, I have a Hairy body, meaning hairy chest, legs and a big hairy ass, I'm not Smooth or a Twink. I'm 5'11 tall, chubby, and I'm a light skinned Latino, not brown. What I'm seeking preferably, is a Total Top guy who is between the ages of 40-60 years old, I really want to get Bred Raw BB by a well Hung Top, I don't do this often, but I do want to get my ass full of raw bb cum, I want a top's cum deep deep inside me. I'm into kissing, licking, nipple play, giving very good Oral, but above all I love getting Fucked, and this time I want it raw. If your not into Fucking, or into big guys, Please don't message me. I'm seeking only a 7.5 through 9 inch well hung Top.
",31,big,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,single,,
http://losangeles.craigslist.org/sfv/m4m/5484689148.html,losangeles,sfv,2016-03-09 20:48,2016-03-09 21:04,msr,m4m,looking 4hung black top to host this,"
I need 9+ 10+ 11+ bigger better dont worry if i can handle ur dic worry if ur hung cock van handle my ass looking for top guys with nice cocks must be ddfree... send pick must play safe tops with big ones in front of line .......you must host !!!!!!! im looking alll morning and also looking for a regular thing.
im 27mex 165 slimm 5'9 talll love to bottom big dick in front of line send pic and stats in first email so i know ur serious!!!!!LOOKING FOR MEN THAT CAN HoST WITH BIG dicked hung ONES ONLY THAT WILL NOT WASTE MY Time!!! into fit black hung men also into white Italian an latino guys 

",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/lac/m4m/5484691210.html,losangeles,lac,2016-03-09 20:51,2016-03-09 21:04,msr,m4m,Scxy Smart Stud,"
Looking for a younger (<50 yrs) in shape Masc All American jock/Guy Next Door type for clouds, porn, stroking/sucking, edging. Go with the flow. Be easy going, fun, free of attitude, open minded. I'm GL, professional Latin. Hit me back with your stats/pics.
Lets get tonight started....
",43,athletic,,,,,,,Latino,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/lac/m4m/5484700033.html,losangeles,lac,2016-03-09 21:04,2016-03-09 21:04,msr,m4m,My Face Between Your Legs,"
Vgl fit, in the mood to get my face in a hot crotch (versatile, this is just my mood). I'm tall slim/fit, great hygiene (into same), masc. Into GL 20s-40, slim/fit, any race (partial to dark features, but open to all). Must have pic. Guest spot. NO PNPers












asian black latin middle eastern white cum sniff pits swallow kiss load quickie slutty cuddle
",40,fit,,,,,,,,,,,," 6'3"" (190cm)",,,,,,,,,,,,,,,196,
http://losangeles.craigslist.org/wst/m4m/5484687507.html,losangeles,wst,2016-03-09 20:46,2016-03-09 21:03,msr,m4m,Wish I could find a dude to date and fit into my life,"
would feel so relieved to meet somebody on here, who wants to befriend a genuine an quality guy like myself. I ain't with the bullshit, don't do drugs
I work hard, I'm honest, funny, friendly , stylish and unselfish. 
now that I'm getting older, its been hard to find quality people to meet and chill
with, I've been told i look way younger than what I appear 
although somebody over 28 would be ideal 

I am black male, I enjoy sports and traveling 
i stand tall, i like to goto movies, loves comedy 
im in decent shape 
what's up ?

likes masculine latin fit types not too old/ young
",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/wst/m4m/5484699291.html,losangeles,wst,2016-03-09 21:03,2016-03-09 21:03,msr,m4m,Lean/Hung/Hairy,"
Hung 8 cut fat hairy Persian clean and neg
five/eight
one fifty
forty nine
my cock is loaded and dripping 
need a hot mouth to take care of my fat cock
pics and stats to get my dripping cock
",49,fit,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,single,,
http://losangeles.craigslist.org/lac/m4m/5484604325.html,losangeles,lac,2016-03-09 19:08,2016-03-09 21:03,msr,m4m,Massage in hollywood,"
Taking massage clients today in hollywood
Contact me for info/rates

5 yrs experience
CAMTC certified

Legit, strong, deep massage
",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/wst/m4m/5484657223.html,losangeles,wst,2016-03-09 20:07,2016-03-09 21:03,msr,m4m,Hot str8 looking for sucking,"
Checking out who's on here. Girlfriend's outta town for a while. I'm horny, and kinda broke. Masc, in shape, educated white guy, looking to get blown by someone generous. Not a professional or anything, just looking for someone chill and understanding. Clean, laid back, I don't do drugs, don't care if you do. No drama and looking for the same.
",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/sfv/m4m/5484698694.html,losangeles,sfv,2016-03-09 21:02,2016-03-09 21:02,msr,m4m,HTLDEEPTHROATER,"
DAMN GOOD THROATER WITH SKILLS LOOKING FOR HORNY STUD TO COME OVER KICKBACK AND ENJOY MY HOT MOUTH,TONGUE AND THROAT. POPPERS ARE COOL IF YOU HAVE SOME, BUT NOT NECESSARY. CAN YOU HANDLE IT?

SEND FACE PIC AND STATS IF YOU ARE SERIOUS.

MY MOUTH IS HOT, HOT, HOT!!! 
I LIKE TO TAKE MY TIME AND WORK IT.

POSTING UP/STILL PLAYING
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
