url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://losangeles.craigslist.org/wst/msr/5484685759.html,losangeles,wst,2016-03-09 20:44,2016-03-09 21:18,msr,m4t,Passionate Relationship,"
Who am I?
35 years old, Latino, 6 ft 2, good shape,
No drama, no kids, non smoker, fun to be around, and honest. 

Who are you? 
Hopefully you are around my age give or take a few years, very feminine, sweet, affectionate, fun to be around, and want to be in a relationship. My preferences are Latin,or Asian. 

Let's build something unbreakable, loving, and lasting.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/lac/msr/5484612766.html,losangeles,lac,2016-03-09 19:17,2016-03-09 20:54,msr,m4t,Looking for a real fwb,"
Hello ladies, I am looking to meet a girl that wants to have an actual relationship not just a one night stand. I'd like to find someone that I can have chemistry with and enjoy our time together. Would be great if we could fulfill our sexual desires when we want and am open to something more developing if we connect. A girl that isn't involved in the scene and can hold a conversation.



Please only email me if you are serious about meeting and also you know what you look like so if you are not someone that is passable then this is not the ad for you.

I do have photos to send but prefer not to post them on Craigslist just for privacy. Thank you for understanding.
",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/lac/msr/5472159868.html,losangeles,lac,2016-03-01 15:07,2016-03-09 20:20,msr,m4t,Interested in ongoing FWB with Petite Tgirl,"
If you are not full time tgirl and totally passable please dont email me . Im into females and totally passable tgirl only ! NO GUYS ! Id like to meet a cool down to earth attractive girl to date long term see what happens ! Not into drama and have no time for lyers ! Just be real and petite and attractive . Must be clean and know how to treat a guy . Im into kissing during sex ! Must be a good kisser ! Send pics in reply and tell me something about you . Please do not reply with no pics and not writing anything if u do i wont respond back ! Email me with resent clear pics of u please thanku ! Send HT,WT,Age with email as well please! Petite girls to front of line !!! Im looking to have a on going relationship with 1 special girl . Im not looking for 1 time meeting im looking for ongoing passion with 1 girl only ! If u were born something and now u are who u feel u always wanted to be and you want to date and have no drama just passion email me ! Im looking for 1 special person only ! Send pics and height,weight,age in your reply . Dont email me a # and say text u ! Email me pics and height,weight,age please . Dont waist my time if your not serious ! No Liars and No men !! Not interested in either !!!! Just honest petite and passable girls that dont play games !!! Ciao !
",32,,,,,,,,,,,,,,,,,,,,,,,,,,,single,,
http://losangeles.craigslist.org/lac/msr/5468016551.html,losangeles,lac,2016-02-27 19:34,2016-03-09 20:17,msr,m4m,Complex mind seeking more...,"
Hmm what can I say I'm a complex dude don't really fit into social groups. I'm black and a top. Most people tend to think on an earthly level and I myself think on a universal level. I tend to come off as introverted when first meeting people but when I get used to you I'm the most chill guy you can be around. I don't take life all that serious I'm a freespirit at heart and I love to be in nature and experience new things. I consider myself as an skater hippie 90s grunge kid. When it comes to music I love everything from oldies to metal to dubstep to indie to hip hop. I have an awkward dark sense of humor I consider myself like a Mitch Hedberg or joey diaz lol. I'm also a big sports fan and a diehard cowboys and red sides fan. And another important thing I'm a raver :). I'm a pothead as well. 

I don't really have a preference if your feminine or masculine just be cool and ready to live. So if your into stoner complex people drop me a dime :)
",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/lgb/msr/5446614315.html,losangeles,lgb,2016-02-13 11:34,2016-03-09 20:13,msr,m4m,Older Guy at the Beach Looking for Younger,"
I'm a young looking 57 year man in great shape. 5'6"" 145. I love theater, movies, and spending time with one special guy. I'm an educated professional with a great sense of humor. 

I am looking for a masc, smooth, younger guy (probably under 40, but not set in stone) HWP, DDF free (like me) who likes the bottom bunk, although versatile is good too, with an older soul.

I am a big fan of psychology (Jung) - being able to talk openly and honestly about our most intimate, private and sometimes dark feelings. Sharing who we really are rather than how we want the world to see us. 

I'm looking for someone to share the introverted and courageous experience of going inside the psyche.

Please be out or at least want to move in that direction.

I am not looking to be a sugar daddy or help support someone.

I live in South Redondo Beach, two blocks from the beach. I have an apartment with a panoramic ocean view. Come join me. 

Responses with face pics go to the front of the line.
",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/sfv/msr/5458587611.html,losangeles,sfv,2016-02-21 16:23,2016-03-09 19:55,msr,m4m,Looking to date,"
I know this is probably not the right mode to find someone to date, but, thought I would give it a go. I figure that I'm on here, so, there must be others who are similar. 

Attractive guy. Active. Fun. Monogamous. Great family. Masculine. Confident. Communicative. Own a home. Solid career. Clean. Rarely drink. Non Smoker. Non drug user. 

I enjoy going to the movies, traveling, theater, concerts, hikes, outdoors and weekend trips to name a few. 

I tend to be attracted to guys who are 21-40, white or latin and share the qualities that I've listed above in themselves. 

Please only respond if you are genuinely seeking something more. Tell me about yourself instead of just saying hi or giving me your stats. Also, please be open to sharing a simple photo of yourself so that I know who I'm speaking with. I'm not posting one in my ad, but, definitely willing to share if I feel we're a match.
",39,athletic,,,,rarely,,,,blue,,,," 5'9"" (175cm)",,,,,,,,,,,,,never,single,165,
http://losangeles.craigslist.org/sgv/msr/5484623864.html,losangeles,sgv,2016-03-09 19:29,2016-03-09 19:43,msr,t4t,Sissy Training Party,"
Seeking those cds who are comfortable being sissy --but want more and want to be more fem - serious only. This is a party that allows you to be ALL SISSY. Serve men and women, in fact be a maid -uniform and all. And those looking for kink action - this is an open party--Yet completely voluntary
",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/wst/msr/5480455364.html,losangeles,wst,2016-03-07 08:38,2016-03-09 19:11,msr,m4w,Looking for something to do,"
I am ready to eat some nice, sweet, juicy pussy. Are you a lady available for now or for tonight. Please contact me with availability.
",25,athletic,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,single,,
http://losangeles.craigslist.org/sgv/msr/5484568905.html,losangeles,sgv,2016-03-09 18:33,2016-03-09 19:06,msr,t4m,boyfriend or fwb needed,"
hi i'm tall blonde thin good looking looking for a cute guy or girl to chill with
please be close to pasadena and have your own place 
i'm open to anyone cute clean fun drama free im 420 friendly 
send a pic if the ad is up im still looking! ;)
",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://losangeles.craigslist.org/sfv/msr/5484552043.html,losangeles,sfv,2016-03-09 18:17,2016-03-09 18:31,msr,m4t,Looking for something serious,"
I would like to get to know a passable ts that wants something real into kissing mutual oral and rimming not into the bar seen we could always drink at home and relax 420 friendly I don't smoke much but I'm okay with it ... if you are interested your pic gets mine hope to hear from you
",42,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
