url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://miami.craigslist.org/brw/msr/5438854835.html,miami,brw,2016-02-08 11:53,2016-02-26 18:39,msr,m4t,FIT DOM. TOP! 4 fem sub bttm gurl,"
Fit dom top seeking petite, virtually hairless, sub., bottom gurl. I am not looking for guys or dudes. If you dont look like a girl act like a girl then dont reply. If you feel you are what i am looking for then hmu! I live alone so no worries and 420 friendly. MUST REPLY WITH PICS, LOCATION, STATS, and WHAT U R INTO!!! This way I know ur serious and real!!!
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.org/brw/msr/5447701374.html,miami,brw,2016-02-14 13:12,2016-02-26 18:33,msr,mw4mw,Couple looking for single girls or other young couples to go for drink,"
We are couple looking to hang out with other young couple under 30
we are in shape, you be too.
Drinks, fun, travel together etc.
Email us with pix
",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.org/mdc/msr/5466266746.html,miami,mdc,2016-02-26 18:13,2016-02-26 18:25,msr,m4t,Officially the last time I'll post before giving up looking for any ac,"
I'm going to be as specific as possible this time, since it is my final time. I'm looking for a person to which I could be fully committed to in a long term relationship with, love while heartedly and just not have to worry about things when I'm with this person.

- Please be between 27yrs old to 29yrs old
- Be willing to meet in person
- Understanding that I'm overweight and without a vehicle currently 
- Be sarcastic or slick out the mouth
- Smart
- Funny, fun loving and light hearted
- Respond with a picture otherwise I won't answer
- I'm not looking for cross dressers, or one night stands or a fuck buddy 
- I'm looking for a serious relationship, so if that thought bothers you don't reply

Please understand that I'm not here to harm anyone, I do tend to come across a little bossy, and I do wish to meet once for a movie or coffee (although I don't drink coffee. I perfer monster energy drinks). Please have a good sense of humor and please be able to understand I'm not a good conversationalist when it comes to talking over the phone. Otherwise I can't wait to meet you or just give up completely.
",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.org/mdc/msr/5466180245.html,miami,mdc,2016-02-26 17:16,2016-02-26 18:05,msr,m4t,Transgender Help,"
are you thinking of changing? taking hormones, getting implants,having surgery, do you need someone to talk to about it, over coffee? experienced counselor to guide you.
",52,,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,,,
http://miami.craigslist.org/pbc/msr/5466232449.html,miami,pbc,2016-02-26 17:50,2016-02-26 17:50,msr,m4m,LOOKING FOR DISCREET FRIEND/COMPANION/BROMANCE,"
MATURE DL GWM, ORAL BOTTOM, HAIRY TIGHT, 59, 6 FT 210 HIV NEG AS OF SEPT 2015. LOOKING FOR BI OR MASC MALE FRIENDS WITH BENEFITS UNDER 50 FOR MOVIES, EATING OUT, GOOD CONVERSATION ETC OR JUST HANGING OUT. BE HWP, MUSCULAR/ATHLETIC++++. NOT LOOKING FOR A ONE TIME TRICK OR A SO CALLED NEWBIE.
BTW IF YOU'RE LOOKING FOR SUGAR DADDY KEEP LOOKING.
OTHER INTERESTS, BIKE RIDING, WALKING, OLD MOVIES, OLD CARS, FLEA MKTS/THRIFT STORES WITH A LITTLE SEX THROWN IN FROM TIME TO TIME (SAFE ONLY) BLACKS ++++ 

LOOKING ONLY IN MY LOCAL VICINITY (WEST PALM BEACH )

",59,curvy,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,single,,
http://miami.craigslist.org/mdc/msr/5465925774.html,miami,mdc,2016-02-26 14:45,2016-02-26 15:59,msr,m4m,te quieres relajar,"
si estas interesado en masajes profesionales y quieres recibirlos en la comodidad de tu lugar por solo 30 una hora de masajes lejitimos por un therapista licenciado,786 tengo mesa portatil y puedo ir donde usted,371 soy muy detallista y dedicado,6005 por favor solo llamen personas serias,mayores de edad e interesados en masajes profesionales,
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.org/pbc/msr/5460224328.html,miami,pbc,2016-02-22 19:54,2016-02-26 15:01,msr,t4m,SEEKING A FUN LOVING SD!!,"
HOT TS SEEKING PROFESSIONAL, CLEAN AND FUN GUY. IF YOU HAVE WHAT IT TAKES TO BE AN AWESOME SUGAR DADDY HIT ME UP! LETS START WITH A NICE LUNCH OR DINNER :) SEND PIC IF INTERESTED AND I WILL REPLY WITH A FEW OF MYSELF. I AM REAL,, NOT FAKE OR SPAM LOL PREFER 35 AND OLDER XOXO
",29,athletic,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,,,
http://miami.craigslist.org/pbc/msr/5461973568.html,miami,pbc,2016-02-23 22:14,2016-02-26 14:42,msr,m4m,Need a man into CDs,"
Late 40's man likes to wear female clothing, but do not pass as a female, masculine look and hairy body, seeking to meet a man who gets excited by another man wearing female clothing, garter belt, thigh highs, heels, short/tight dress, prefer older than 50 but if you are cool as i am with four twenty then i may meet you anyway :) I can not host.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.org/brw/msr/5447235575.html,miami,brw,2016-02-14 00:08,2016-02-26 10:39,msr,m4t,Are you a silky smooth closet CD?,"
Seeking a super clean, discreet gurl. You must be at least semi passable when dressed, have a sense of style and be straight acting outside of the bedroom. Please be TOTALLY smooth, hwp and an obsession to be a sissy slut. Reply with pics. and details and if you can host.
Please do not reply if you do not check ALL the boxes.
",57,fit,,,,,,,Caucasian,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,married,,
http://miami.craigslist.org/mdc/msr/5465369711.html,miami,mdc,2016-02-26 09:26,2016-02-26 10:02,msr,m4t,"4 SUB SUB COUPLE MM, WM, WW,","
I AM LOOKING FOR A SUBMISSIVE COUPLE, MW, MM, OR WW. GENTLE DOM HERE INTO OPEN MINDED SAFE SANE DDF KINKY FUN. incest role play
",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
