url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://miami.craigslist.com/mdc/stp/5462323035.html,miami,mdc,2016-02-24 09:20,2016-02-26 10:03,stp,m4w,"In Search of New Friends, New Ideas","
Good Morning,

How are you today? How was your weekend? It's Monday, the start of a new week, I am at work this morning, not really into it just yet. I thought I would drop a note in the ocean of the internet to see whos shore it washes up on.

Who are you? What brings you to read this ad? What makes you smile? 

Let's start a conversation and see what we can talk about.

Nothing more, nothing less, no expectations, no obligations, no hidden agendas, no one looking for compen$ations.
",41,athletic,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,,,
http://miami.craigslist.com/mdc/stp/5460683211.html,miami,mdc,2016-02-23 08:19,2016-02-26 10:01,stp,m4w,STUDENT AID,"
AN OPEN MINDED YOUNG WOMAN WHO NEEDS HELP WITH YOUR BILLS? MAYBE A NEW DRESS? I'M A DAD LOOKING FOR A DAUGHTER OVER 18 in the miami beach, or nbvillage area
",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/mdc/stp/5465367263.html,miami,mdc,2016-02-26 09:23,2016-02-26 09:52,stp,mw4w,we just moved and seeking friends,"
Hi everyone. My wife and i just moved here and were just seeking to make new friends here to have fun with and show us around.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/mdc/stp/5465277904.html,miami,mdc,2016-02-26 07:48,2016-02-26 09:36,stp,m4m,DFlex,"
If you would like to soothe and destress muscles that are sore from work or sports, a massage sounds like a good idea for you. And to have one, you may just answer this ad.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/mdc/stp/5465300488.html,miami,mdc,2016-02-26 08:18,2016-02-26 09:05,stp,m4w,Coming in for a conference,"
Good morning Miami!

So this posting may be a little different than the myriad of other strictly platonic posts. I am not currently in Miami and won't be until I show up for week-long conference in May/June. What I'm looking for is someone I can chat with over the next few months, get to know, and if it turns out we really like each other maybe I can buy them a drink when I'm down there.

This is a strictly platonic section so I'm not looking for anything other than a friend I can chat with about life and maybe get some tips for my time. I'm going to be staying at some fancy pants hotel on South Beach and would love some guidance for the area.

A little about me, I'm a lawyer and college professor. I'm a huge movie buff and love to be outside. I'd like to think I'm funny but at the very least I'm fairly sarcastic and can carry on a conversation. I don't much care what you look like or your marital status because this will be primarily an email/skype/kik conversation.

Anyway, I've rambled enough for one posting. I hope to hear from you soon!
",29,athletic,,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,,,
http://miami.craigslist.com/pbc/stp/5465311613.html,miami,pbc,2016-02-26 08:31,2016-02-26 09:04,stp,w4w,Girl friends 😊,"
Hey ladies (or gents).. I'm 21, single with no children, but I don't mind if you have any. I'm a very loyal and kind person, so it would be nice if you were also. I'm looking for ladies that I can go out with, (cause I like clubbin, I don't do it often mainly cause I work and I'm in a tough situation.) Girls that I can trust to vent to. I am not looking for a temporary friend cause if I spill my secrets to you girlll you are stuck with me til I die 😊😊😂. I feel like In all friendships there should be a level of trust and we should be comfortable being/doing crazy things!! So just be yourself!! I should warn u though I am a little quiet when I'm first getting to know someone, and I've only meet a handful of people that bring me out of that upon frist meeting them. Anywho this is getting way too long lol, so if you're interested in getting to know each and starting a new friendship, reply back with your fb or send a pic and we can go from there 💋💋
",21,,,,,,,,,,,,,,,,,,,,,,,,,,,single,,
http://miami.craigslist.com/mdc/stp/5465260165.html,miami,mdc,2016-02-26 07:17,2016-02-26 08:40,stp,m4m,DFlex,"
If you would like to soothe and destress muscles that are sore from work or sports, a massage sounds like a good idea for you. And to have one, you may just answer this ad.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/brw/stp/5465319062.html,miami,brw,2016-02-26 08:39,2016-02-26 08:39,stp,m4m,Friends :),"
I'm looking for guy friends straight/gay doesn't matter. I don't really have any and would love someone to hangout and Jane fun with. I like to give massages too, for practice. E-mail me your stats I'll reply with my photo.
",20,fit,,,,,,,Latino,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,single,,
http://miami.craigslist.com/brw/stp/5465302243.html,miami,brw,2016-02-26 08:20,2016-02-26 08:36,stp,m4w,Grub and a Movie???,"
I thinking of hitting the movies tonight. Anyone interested in getting a bite and checking out a flick?
420 friendly? Send a pic and put movie in subject line to weed out the scammers. We'll talk and take it from there.
",53,heavy,,,,,,,,,,,," 6'5"" (195cm)",,,,,,,,,,,,,,,,
http://miami.craigslist.com/pbc/stp/5465281303.html,miami,pbc,2016-02-26 07:53,2016-02-26 08:14,stp,w4w,looking for girl friends and couples,"
hey there this is Erica looking for girl friends strictly platonic and available during the day on weekdays and has their own transportation as well also me and my boyfriend are looking for other couples to double date with on weeknights and weekends strictly platonic as well if interested in either or both you can text me at 
show contact info
",33,,,,,,,,,,,,,,,,,,,,,,,,,,,partnered,,
http://miami.craigslist.com/brw/stp/5464519609.html,miami,brw,2016-02-25 15:44,2016-02-26 08:03,stp,m4w,looking for a boating friend,"
Hi i am looking for a attractive person who is HWP that likes boating on my days off .
",54,hwp,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,divorced,,
http://miami.craigslist.com/brw/stp/5464517585.html,miami,brw,2016-02-25 15:43,2016-02-26 08:02,stp,m4w,looking to give a attractive woman a rubdown,"
Hi there looking to give a attractive woman a light touch massage At my place or yours any age 23 and up . Pls be HWP .thanks
",53,average,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,divorced,,
http://miami.craigslist.com/brw/stp/5465276694.html,miami,brw,2016-02-26 07:46,2016-02-26 08:00,stp,w4m,Experienced Yacht Administrative Assistant/Private Estate Management,"
I am an outgoing, active 30 yr old Female with extensive previous yachting experience both on board as a stewardess as well as in an office setting.

Over the past 10 years I have been employed in varies positions working with high end clientele. I have a friendly demeanor and passion for assisting others. I also have experience working as an assistant property manager in residential communities. I have previous spa experience as well working the front desk and inventory.

I have office skills and familiar with positing and promoting a business via social media marketing. I have experience attending several networking events and professional. 

Non smoker, No tattoos, pass a drug test and background check. Due to this being craigslist I did not provide personal information and will promptly provide a resume upon request.

I am available immediately and seeking a full time position at 40,000 a year salary.
",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/pbc/stp/5465270938.html,miami,pbc,2016-02-26 07:36,2016-02-26 07:53,stp,m4w,"Seeking Cuddle, Spoon Buddy","
Hello...I recently moved to Florida and miss having a friend and cuddle buddy in one. Not looking for a sexual relationship at this time. I enjoy talks and walks on the beach, watching movies together snuggled on the couch, holding each other while we talk and laying together in a spoon, just relaxing together. 
I am not handsome, very good looking or going to make your heart skip a beat when you see me. I am genuine, warm, caring and a great listener. I am 50, 5'10"", blonde, blue, 174, hwp and again seeking a friend / cuddle buddy only. I am not concerned about looks or age (well 35+, don't want to be a creepy old man). NO MEN...thank you.
",50,hwp,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,,,
http://miami.craigslist.com/pbc/stp/5441609396.html,miami,pbc,2016-02-10 07:58,2016-02-26 06:18,stp,,RETIRED TRIM CARPENTER LOOKING FOR PART TIME WORK,"
Experience

January 1972 - 2015

Self employed trim carpenter.


Union journeyman carpenter, Broward county (inactive as of now) 1972 / 1976

Sub contract Interior mill work for many large mill work distributors and developers such as Arvida at Weston 1977 / 2004

Self employed trim carpenter residential & commercial remodels and upgrades
loads of crown molding, baseboard, interior & exterior door installations
2005 / 2015

All hand and power tools to complete any job

GMC full size van


Education
Merchantville high school

Merchantville, NJ Major: USA

Photos are a small sample of my work
Looking for part time employment

References from local general contractor
Self starter, self motivated, great disposition, reliable,
people person and easy to get along with

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/brw/stp/5457725088.html,miami,brw,2016-02-21 08:46,2016-02-26 06:03,stp,m4mw,Hot Tub Fun,"
Hi visiting from NY week if 03/05 till 03/13
Looking to enjoy the company of a female or couple and enjoy your pool or tub.
Interested in a safe sane fit fun 52 wm joining you?
May be platonic to casual...No expectations other than new friends to enjoy when in town.
Clothing optional preferred but not required.
Please be real, no p4p, not interested in hourly friends, lol.
If you can't host I am willing to get a room at the Rooftop or similar.
Hope to hear from one real individual, be willing to exchange real emails, then text and talk before I arrive.
",52,fit,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,,,
http://miami.craigslist.com/mdc/stp/5462134807.html,miami,mdc,2016-02-24 02:29,2016-02-26 04:48,stp,m4m,Looking for a mentor / looking for a job,"
I do not know what and how to say it .It is kind of ridiculous to be at 41 and need to start your life all over again.I am looking for someone (a mentor,a guide whatever you name it) who has ability and good will to help others.

To make things clear I'm not asking for "" a fish ...I'm looking for a fishing-rod"".


I'm originally from Poland (I've got American citizenship) male with good manners. Honest and educated staying in Poland as of right now. After years in States I moved back to Poland (a year ago) to take care of my elderly mom.
From the perspective (I'm sorry to say that) that was a huge mistake. All of the sudden my brother and his wife reminded themselves that they got a mother and they became so ""loving"". Under the circumstances my mom has simply changed her mind and she does not need me anymore . Who would it thought that something like this happens but it happened. I still love her and wish her the best.

Now I need to go back to US and start everything from the beginning. In order to do so, first and foremost I need a job and place to stay. Needless to mention that I lost everything when I had decided to move to Poland (lost my job, sold my condo for almost nothing) 

Despite of everything I still believe that there is a plenty people of good will who can help. 

Maybe you are one of them? Or maybe you are the one who needs a help as well? We can help each other?

Although I worked for a corporation I can be a good Companion, House Manager, and Caregiver.
( actually I'm into that type of mojo after that experience at my mom's ). 
I love to cook and housekeeping is not a problem for me. Things come to me naturally and I learn them pretty quick.


So if you feel like you can help please contact me. While in Europe we can comunicate via Skype.

",41,fit,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://miami.craigslist.com/mdc/stp/5465183256.html,miami,mdc,2016-02-26 02:50,2016-02-26 02:50,stp,w4mw,Extra money while texting,"
Sign up for quack on the App Store and earn money when you text. Use referral code: us-18031-6 to chat with me so we could both earn money. And yes I am a Female
",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/pbc/stp/5465183070.html,miami,pbc,2016-02-26 02:50,2016-02-26 02:50,stp,m4m,MFM this weekend,"
Looking for a hot date Friday night I love to be the bottom. Fetish friendly.
954
Two six zero
2803
",53,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://miami.craigslist.com/mdc/stp/5442041611.html,miami,mdc,2016-02-10 12:54,2016-02-26 02:30,stp,m4w,Now,"
body wanna chill?
Day off today.
Looking to have some fun 
Reply with pic and location please 
No guys.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
