url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://miami.craigslist.com/mdc/w4w/5465331722.html,miami,mdc,2016-02-26 08:52,2016-02-26 09:33,msr,w4w,bi fun FWB,"
Hello,

I am looking for a woman who has little or no experience, desire to explore her desires and experiment something new.
I'm looking for someone who is: healthy, educated, ***it is very important that you do not have any diseases because I don't, oral and body hygiene is important as well.
Someone who is thin or with latinas curves . 

we are a young, married, hispanic couple. We are both healthy, drug free, we don't smoke, but we are social drinkers. We are educated, professional, and respectful. 


****************THIS IS FOR ME *****NO FOR HIM****************


PLEASE PLEASE NO NO NO NO DRAMA


NO NO NO NO NO NO SINGLE GUYS.
",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/pbc/w4w/5465295911.html,miami,pbc,2016-02-26 08:12,2016-02-26 08:12,msr,w4w,Seeking Girlfriend,"
Searching for a single, white, attractive lady to hang out and have fun with. Enjoy a variety of things to do; movies, coffee, drinks, dining out, museums, the zoo, fairs...what interests you?
I'm 51, white, attractive, petite, looking for a relationship that may lead to something more.
Send a picture, and please live within a reasonable distance of Delray. Please no druggies, alcoholics,
or recovering addicts.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/mdc/w4w/5465126233.html,miami,mdc,2016-02-26 00:32,2016-02-26 01:47,msr,w4w,Your Destiny!!!!,"
Hey Honey Bunny, My name is Esmeralda, I was born in the beautiful country of Colombia, I'm 32 years old.. I am a very Classy, Sophisticated, open minded, outgoing, smart, spontaneous, woman.. Seeking Woman ONLY!!!!! No Couples!!! No Threesomes!!! NO Games!!!!I AM GETTING A LOT OF REPLYS FROM TRASHY WHORES SENDING ME NAKED PICTURES THAT WILL NEVER TURN ME ON I LOVE A CLASSY, SOPHISTICATED WOMAN LIKE MYSELF, A LOT OF WOMAN EMAILING ME WITH THE CAN WE BE FRIENDS WITH BENEFITS? ARE YOU BLIND OR YOU JUST DON'T READ PROFILES I AM LOOKING FOR A RELATIONSHIP IF YOU ARE NOT LOOKING FOR ONE LET'S NOT WASTE EACH OTHERS TIME AND PLEASE KEEP IT MOVING ONE MORE LAST THING IF YOU ARE NOT A SEXY STUD BLACK OR SPANISH OR If YOU ARE NOT A SEXY FEMENINE FEMALE MUST HAVE THE BUBBLE BUTT THEN DO NOT LEAVE ME ANY MESSAGES YOU MUST BE WILLING TO MEET I Don't have time to be emailing back and forth!!! I'm the real Deal!!!You will not be disappointed!!!! I am not a fraud!! I am the total package and hope you make me fall in love with you!!! I am very bisexual!!!! Want to know more three four seven four three six six one nine eight!! Let's get to know eachother!!! No BBW sorry!!! No COUPLES!!! No MEN!!!!
",32,,,,COMPULSIVE LIARS,,,,COLOMBIAN,DARK BROWN,,SNAKES,," 5'7"" (170cm)",,,4 CHILDREN,,,SPANISH,,,"EXOTIC BIRDS, GOLDEN RETRIEVER",,CHRISTIAN,,never,single,145,♈ aries
http://miami.craigslist.com/brw/w4w/5465146706.html,miami,brw,2016-02-26 01:11,2016-02-26 01:28,msr,w4w,25 year old blonde looking for fwb,"
Bi curious 25/w/f 420 friendly looking for a friend to go shopping/beach/coffee etc. and a little extra if the spark is there. Definitely looking for disease free, fit, into outdoor activity. Interested in white women only. If you are also looking for someone to play around with lets get together soon!

send a text for A faster response
nine five four three seven one three seven two one
",25,thin,,,,,,,,,,,," 5'1"" (154cm)",,,,,,,,,,,,,,partnered,,
http://miami.craigslist.com/mdc/w4w/5444391923.html,miami,mdc,2016-02-11 23:56,2016-02-26 00:51,msr,w4w,Gorgeous woman wants a Gorgeous playmate,"
Gorgeous feminine classy freaky femalr looking for the same ! I'm aggressive but you don't need to be submissive , you can be aggressive as well.. No pillow princess !! You must love licking on me as much as I will you . Please be consistent or don't even reply .. Know what you want . Let's be lovers / best friends travel , party and play . 
No drama !
No ratchets !
BE Std and disease free
Be employed and have your own
21 and older a must .

NO photo NO reply
",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/mdc/w4w/5464732398.html,miami,mdc,2016-02-25 18:00,2016-02-25 18:00,msr,w4w,cuple looking for special one.,"
somos una pareja hispana, que estamis buscando una chica que este dispuesta a ser parte de una fantacia sexual de una pareja joven y bien ardientes, salimos compartimos y luego....
quiero alguien joven,y limpia de enfermedades como nosotros.
espero su respuesta con foto porfavor.
",25,athletic,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,married,,
http://miami.craigslist.com/mdc/w4w/5464356117.html,miami,mdc,2016-02-25 14:10,2016-02-25 15:19,msr,w4w,Female friend wanted,"
I'm looking for a female friend who loves getting her hair done on a regular. I'm a stylist that needs that friend, to help me. I'm a bbw if that matters at all. Kik me to further discuss pink_satin
",23,,,,,,,,,,,,,,,,,,,,,,,,,,,single,,
http://miami.craigslist.com/pbc/w4w/5455660848.html,miami,pbc,2016-02-19 17:20,2016-02-25 12:16,msr,w4w,Looking for Someone Special,"
Ladies, I'm a 36 y/o female looking for stimulating conversation, friendship, maybe more if the vibe is right. I'm laid-back, love to laugh. I have no kids, never been married, and am looking for the same. I am a hard worker, and currently in school. I considermyself the tomboy type. If you are sincere, and consider yourself kind, friendly, and genuine, hit me up! 

Drop me a line and tell me a little about yourself. NO Face Pic... No Reply!
PLEASE NO MEN.. NO COUPLES.. NO CRAZIES... I am not looking for a one night stand, or a freak session. I would prefer vibing with someone between the ages of 28 and 45. 

Look forward to hearing from you. Till then, be easy!

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/mdc/w4w/5464116014.html,miami,mdc,2016-02-25 11:58,2016-02-25 11:58,msr,w4w,Sexy Fem FWB! 💋,"
I've done this many times and there's a few hits and plenty of misses. Nonetheless, I'm a very attractive black femme seeking a sexy/cute, discreet fwb to hang out with and play with. Must have your shit together for the most part. Be mobile and have a place to host. Open to any race. No bbw but I love thick girls too. 

21+
Be real and available! 420 a plus 
Kik: jane_doughh
REPLY WITH PIC or don't bother. If you have the nerve to ask for my pic first you will be promptly ignored and blocked. 
Muah!
",,fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://miami.craigslist.com/mdc/w4w/5464110328.html,miami,mdc,2016-02-25 11:55,2016-02-25 11:55,msr,w4w,Need a cute femme for drinks and licks,"
Looking for a cool, cute, confident girl to join me for drinks soon and play when the time is right. Please be in the North Miami area. I'm a hot brown girl so only reply if you're into that. 

REPLY WITH PIC. DO NOT ask for mine first. 
Ladies only. KIK: jane_doughh

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
