url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://minneapolis.craigslist.org/ank/m4w/5490575052.html,minneapolis,ank,2016-03-14 11:04,2016-03-14 11:17,msr,m4w,Any Belly Shirt Wearing Girls Out There?,"
Any girls out there still like to wear belly shirts? This is a HUGE turn on for me. I'd gladly buy you as many belly shirts, short shorts, mini skirts, capris as you want. No strings attached. Just wanna see this style take off again :)
",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/dak/m4w/5490584927.html,minneapolis,dak,2016-03-14 11:10,2016-03-14 11:10,msr,m4w,Married or Attached?,"
Hello, 

I'm looking for a attractive, classy, highly sexual married or attached woman.

Looking for a woman who is wild in bed but yet can hold a conversation & smart enough to know what the capital of Nebraska is. LOL

I'm 37yo ht-5'11 &185 athletic, brown hair & eyes I have 3 tattoos & I work out everyday. I have a great job that requires me to keep a clean background & affords me a lot of free time 

Please don't send me a return message that says ""Hi"" Actually Tell me about yourself. . .& what your looking for and interested in.

In your return email put the ""day of the week"" in the subject field.

Brad
",37,athletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/m4w/5479847499.html,minneapolis,hnp,2016-03-06 20:37,2016-03-14 11:08,msr,m4w,Looking for live-in girlfriend,"
I am a single and never married good looking and in shape Minneapolis male looking for a single and drama free woman to share my charming 1200sf two bedroom turn of the century upper duplex in a nice neighborhood. I am looking for someone who might be artistic and sexy who might like to cook and has good organizational skills. I don't have a dog, but a smaller pet would be great. I consider myself a liberal and I am financially secure. Life is good.
",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/ram/m4w/5490469059.html,minneapolis,ram,2016-03-14 10:05,2016-03-14 11:06,msr,m4w,** REAL Millionaire Seeks REAL Woman***,"
Successful, attractive CEO (yes, I dont know why I am posting on CL either - lol) looking for the whole package. The women I attract are usually attracted to motivated, goal-oriented men who are happy with what they have and confident in their abilities. I can assure you that you will be quite pleased with the whole package, tall, fit, athletic and handsome with All-American look of light brown hair/blue eyes..More importantly, I am sincere, generous and intelligent, wrapped into a sarcastic wit (that might not always translate well over IM or email, so we will need to meet in person for me to officially piss you off - lol) and a passive Type A personality. 

I am looking for a woman who can stimulate me both mentally and physically. To the latter, she should be over 5'4 (since I am 6'2) and very fit with curves in the right places. Inside, I am looking for someone who is confident without being arrogant or jaded, has an equal sense of wit, and is down to earth and knows what she wants and how to get it. Finally, please be willing to EXCHANGE photos (you will get my IMMEDIATE attention if you reply back with one or two), since we respect each others time, and both know that there needs to be an initial amount of physical attraction to make it worthwhile to meet.

If you think you might be what I am looking for, I look forward to the opportunity to treat you like a Princess, and make each day we're together like a holiday 

Please put ""Exceptional Woman"" in the subject heading or else you will end up in my spam folder
",,fit,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/hnp/m4w/5483190389.html,minneapolis,hnp,2016-03-09 00:28,2016-03-14 11:06,msr,m4w,Seeking a Christian Woman,"
Finding a Girl who loves God These Days seems to be few are far between. Do you love Jesus? If you are out there I would love to know. I am a Christian Guy who is searching for A Girl who loves Jesus.
I am a SWM searching for new Christian friends.
Please let me know your favorite color and favorite sports team in your reply just to know that you are real.
",35,thin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/m4w/5477236557.html,minneapolis,hnp,2016-03-05 00:37,2016-03-14 11:06,msr,m4w,Late Night Texting,"
I am always up late and it is fun to have late night talks...anything goes. Who is up late and wants to text?
",35,thin,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/hnp/m4w/5483189311.html,minneapolis,hnp,2016-03-09 00:25,2016-03-14 11:06,msr,m4w,In Rock we Trust,"
In Rock we Trust - Its Rock or Bust!

Well Perhaps this is not the best place to post an ad as this.
Rockin' is my Buisness...Buisness is Good

I am a music lover. To find a soulmate who shares this passion and love
has become a challenge. So if you are out there and want to rock and roll
all night long Let's Chat

What are some of the best concerts or bands you have seen



.
",35,thin,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/hnp/m4w/5485234025.html,minneapolis,hnp,2016-03-10 11:48,2016-03-14 11:05,msr,m4w,I Know You Are Out There Somewhere,"
Remember that song? If so, looks like you appreciate great music as well.

Note-If you are a hooker, spam or con artist, don't even bother sending me note. As I will delete right away. 

Need to put ""Moody Blues in subject line, otherwise, will delete.

Here is the kind of person I am looking for: 

single 
not recently divorced
feminine 
does not wear jeans all the time 
does not smoke 
drinks in moderation 
is very passionate 
race not important 
a family oriented person 
is passionate
does not do drugs 
not sarcastic
someone that can put the smart phone down, from time to time
sense of humor


Here is a little bit about me: 

white 
blond 
6 ft 
190 lbs muscular 
professional male 
business owner 
have my own hair 
clean shaven 
non-smoker 
like most kinds of music, except rap
writer 
have traveled throughout world 
very passionate 
no drug use
sane
nice guy
not sarcastic
love coffee

If you like what you read, please send me a note with a photograph. Then, will send mine, if you catch my eye. 

Let's be honest, first impressions, looks do count. We need to be mutually attracted to one another. Then, let's meet for coffee or drink sometime. 

Thanks!



",53,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/hnp/m4w/5483191538.html,minneapolis,hnp,2016-03-09 00:31,2016-03-14 11:04,msr,m4w,Is There anybody out there?,"
Simply said...I work alot and I don't get a chance to go out to meet new people alot. 
SWM who is looking for new friends to email or text with.
Please no drama. Please be NOT married. 

Who am I?
35 SWM. I have a full time Job. I have my own house. I own my Own Car. I have
my life in order. I enjoy going to dinner or a night out for drinks.
If you Love music we will get along just fine.

Name your favorite band in your reply

Thanks for your time.
",35,thin,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/hnp/m4w/5490484494.html,minneapolis,hnp,2016-03-14 10:14,2016-03-14 11:02,msr,m4w,Late 40s professional seeking curvy young woman,"
Hi,

I am in my late 40s, good shape, attractive, married (and not leaving), hard working and easy going. I am missing any kind of excitement or passion in my life, someone to flirt with, get away from reality, talk with. I would love to meet a curvy younger woman (sorry curvy is just what I'm attracted to), who be interested in meeting a sold older man for drinks or coffee, and see if we have anything in common. I have no agenda, and am taking this slow. I would really just like to meet a sexy young woman who is comfortable spending time with a bit older man.
",,average,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,married,,
http://minneapolis.craigslist.org/dak/m4w/5467659998.html,minneapolis,dak,2016-02-27 16:08,2016-03-14 11:02,msr,m4w,Hoping for a lifelong friendship,"
Well I hate dating websites so I figure why not give this place a try.
I am a decent, fun, kind person who has been out of the dating game for a while. Hopefully we can start as good friends and see where things go from there. When it comes to having fun I love seeing movies, being outside, walks, playing fun board games, staying home for Netflix, playing video games, and pretty much up for trying anything new. 
When I have time I try to work out and stay in shape. I am not fat nor am I skinny so I'm pretty much in the middle but I am slowly getting better. 
I love pretty much all movies that are either full of action or funny as hell. Like ted, hobbit, avengers, are some of my favorites. 
If you would like to get to know eachother feel free to say hi and tell me a bit about yourself. Please put something you love to do in the subject so I can weed out the spam. A picture is welcome but not required.
",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/ank/m4w/5490564058.html,minneapolis,ank,2016-03-14 10:59,2016-03-14 10:59,msr,m4w,Any woman like Truck Drivers? LTR,"
Hello, Im looking for a down to earth woman,thats honest,loyal,loving and affectionate. Must be pro 2nd amendment and not against hunting. Please be single and done having kids.
3 two zero,515, seventeen 65

Im 41,6'2"",dark brown hair,dark blue eyes and large framed. Single 9yrs. I am a big hearted teddy bear. Love to cuddle and kiss. I have 2 boys 18 & 19. I enjoy hunting,fishing yr round,four wheeling,mud runs/bogs,bon fires,beer,camping,snowmobiling,long drives to no where,car shows and swap meets,gun shows,board games and card games,pool,darts and bowling. I drive truck in a 500 mile radius of the twin cities. Back in the metro every other day and have every wknd off.Looking For A Relationship.im willing to move for the rt. woman. Please include a picture and tell me your location or you won't get a response.
",41,big,4 tattoos,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,divorced,,
http://minneapolis.craigslist.org/hnp/m4w/5472163181.html,minneapolis,hnp,2016-03-01 17:09,2016-03-14 10:52,msr,m4w,Stay at home mom,"
I make good money and would love to settle down and start a family sick of games please add a pic
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/m4w/5483957756.html,minneapolis,hnp,2016-03-09 13:31,2016-03-14 10:51,msr,m4w,Ltr,"
I'm tired of games and in ready for a LTR and want a sweet guy that would spoil you if you want to same please add a pic
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/dak/m4w/5460122117.html,minneapolis,dak,2016-02-22 17:39,2016-03-14 10:49,msr,m4w,Mystic Lake Casino,"
I'm thinking about getting a room at Mystic tonite. Looking for a woman who is there or also thinking about going tonite. Let's meet up and do some sucking, fucking together. If you're interested let's chat.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/dak/m4w/5459017686.html,minneapolis,dak,2016-02-22 06:30,2016-03-14 10:48,msr,m4w,Mystic Lake Casino,"
I'm willing to get a room at Mystic tonite if I can find a woman willing to meet there and have some adult fun together. If you're interested in sucking and fucking tonite let's get together.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/m4w/5490462150.html,minneapolis,hnp,2016-03-14 10:01,2016-03-14 10:43,msr,m4w,OLDER endowed gentlemen looking,"
Older endowed gentlemen looking for a straight forward non game player kind of fit woman who is interested in a long term very committed relationship with a guy who will not be a part of the singles games being played here. 

Age range of 45 to 65, has many and varied interests of her own as well as willing to try new ones. Has a higher than average sex drive, likes being at home in front of the fire as well as being out and about in this snowy and cold weather. Definitely not looking for a one night stand, but looking for a one on one relationship a partner in crime if you will. No drugs, non smoker, lite drinker is a go. If this has your interest, lets chat soon. Please include a picture with your response, thank you!!
",67,average,,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,widowed,,
