url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://minneapolis.craigslist.org/hnp/msr/5474208293.html,minneapolis,hnp,2016-03-03 02:29,2016-03-14 11:27,msr,m4w,DL Black Man for TS Woman! [top or vers only] (lets be ongoing lovers),"
Title says it all. I am looking for a TS Woman who is looking for an Ongoing lover. 

Upfront, I would prefer you are comfortable in the TOP or VERS role.

I am in an Open relationship. I have had short-term or long-term TS Lovers before. 
I am a straight-acting Black male, DL, 5 ft 6, DDF, stocky built, glasses, long locs. I cant deny I like how it feels to be topped. I have been the Top before but I want to be your VERS or Bottom BF or lover.
I am VERY RACE OPEN. Big plus if you are into Poppers. Bend me over and get to know me under the covers. Your place preferred or I might be able to have company in a discreet spot. I am quite open to coffeehouses, dinners, etc. You should be a TS Woman quite comfortable topping or Vers.

If you have issues with my ad or with men in general, please do not answer my ad. You are not looking for a therapist or priest and I am not looking for therapist or priest.

Also I am not interested in any money schemes, party favor exchanges, or face pics (sending or receiving). Also not interested in anyone who uses B-Page. Put ""Your New Lover"" in the subject line.
",35,average,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/dak/msr/5490284143.html,minneapolis,dak,2016-03-14 07:48,2016-03-14 09:01,msr,w4m,Sassy down to earth gal seeks a mature older fella 65+,"
I'm a curvy brunette who loves the company and romance of a much older gentleman at least 65yo. and higher! I don't care about the size of your manhood...I have trained in the past as a part time masseuse so if you love getting a massage I'm your lady

I have not dated for a long time and at this point, I'm not sure I'm ready for anything too serious yet. If you're interested, send me your stats, a face picture and email address to contact with you.

Today is Monday and I am in Minnesota near 35E...do not contact me asking for nudes.
",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/msr/5490201057.html,minneapolis,hnp,2016-03-14 05:02,2016-03-14 06:43,msr,m4t,Any FTMs/Trans Guys into black guys?,"
Any FTMs/Trans Guys into black guys? You have to be open to anal sex with a 6in black dick! I like to fuck in all 3 holes(Ass, Mouth and Pussy)! Put ""FTM/Trans Guy for Black guy"" in subject!
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/msr/5490200415.html,minneapolis,hnp,2016-03-14 05:00,2016-03-14 06:24,msr,,I really want and need a Live-In girlfriend on April 1st 2016 or soon,"
I really want and need a Live-In girlfriend on April 1st, 2016 or sooner. I'm only looking for a single female to move into my new place on April 1st, 2016 or sooner. I'm open to any race and any size. But, I'm no longer looking for black female. Because I have a hard time with them and they don't treat me right. So, Now I like younger or older Asian girls, Latino girls, White girls and a homeless female of any race is fine with me. Any female from outside the Twin Cities Metro or outside the state of Minnesota or outside of the U.S.A. is a really a big plus for me. Please send info and a picture when you send a reply to this add
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/msr/5484800583.html,minneapolis,hnp,2016-03-10 06:12,2016-03-14 05:43,msr,m4w,Dominant Daddy looking for his Little Princess,"
Hello Princess,
I am looking for a young woman who needs a Daddy figure in her life now. I'm looking for a relationship where I can be the older mentor friend or daddy that you have missed out in real life, but with the added naughtiness to it.

I'm open to your suggestions and fantasies...some of mine are sleep fondling, drunk flirty girl role play, giving you baths, watching movies like Shrek, playing cards or other board games, taking you to the park or zoo, shopping for pretty clothes, helping you with homework or assignments...driving to or picking you up from school, tucking you in at night and scaring away all the monsters in your closet... The type girl I am looking is sexually curious and open, is sociable, fun and flirty, maybe shy at times, caring and affectionate, loves to hold hands or hug and cuddle and loves to act or role play.

You can be attached or not, but discretion will be very important. I'm decent looking and in good shape and financially stable. This is a role play between consenting adults. It should be mutually beneficial and not a SB / SD relationship.

Please tell me a little about you, real age, where in the mpls/st. paul area you are, school, work, etc, as well as what your thoughts and fantasies are and what you are looking for.

I hope my Princess is out there and will reply. Write"" Hi Daddy"" in the subject topic so i know its not Craigs spam
",,athletic,,,,,,,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,divorced,,
http://minneapolis.craigslist.org/hnp/msr/5472386044.html,minneapolis,hnp,2016-03-01 20:03,2016-03-14 01:41,msr,m4w,Black Male for Woman into BARE-LOVIN' (U B DDF),"
I am really putting my trust in Craigslist Tonight! This can be one-time or an ongoing thing. I want to passionately make out as I am pumping in and out of you...as we grind together!

I am looking for a Woman (""involved"", married, or single) who needs some FUN before the holidays kick off. You should be able to Sneak Away from the holiday commotion and come play, or we can meet some place and play. You should also be into Black men!
You want a Serious sexual release before you are hanging out with the Family - whatever that means.
I need a Release too. 
MY TURN-ONS: Oral-giving, Lots of positions-sexual, Passionate Kissing, Touching/Caressing, and Anal (only if you are into it). I also have no problem *Licking & Leaving*!

I am open to body type and Race. Only catches to my AD (since all ads seem to have catches): 
*1) i prefer a Woman outside of my race, *2) Id love to shoot my cum DEEP in your Pussy (or ass) if you want Sex, *3) you have to be Disease-free..Im Fixed..., *4) It would be hot if you could drive to me OR if you have a place for us to play!

Sound hot? Email me so we can set this up now. Put ""Your New Lover"" in the subject line and describe what you look like. {also you should like men with Dreads}
",35,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/ank/msr/5478571789.html,minneapolis,ank,2016-03-05 21:30,2016-03-13 23:58,msr,m4t,seeking ltr,"
I am a married white male seeking a long term discreet relationship lets chat to see if we click I am better talking face to face to get to know one another not required all I ask is pic for pic and I am open to race and age as long as we click
",30,,,,,,,,,,,,," 6'3"" (190cm)",,,,,,,,,,,,,,,240,
http://minneapolis.craigslist.org/ank/msr/5447162014.html,minneapolis,ank,2016-02-13 21:14,2016-03-13 22:57,msr,m4mw,Male Chastity,"
*Please do not flag - I know this isn't the for sale section, but I'm not sure where else to put something like this. I tried using the clothing for sale section and it got flagged lol

For sale - An official CB-6000 Male Chastity Device

Condition: Like New

Was worn on 3 occasions totaling about 16 hours. It's been thoroughly cleaned with antibacterial ""toy cleaner"" and hot water with dish soap. (And I'm DD-free)

This is the official CB-6000 device, not a rip-off. I have proof of purchase from a trusted website for this sort of item.

Cost new is $150, asking price is $100.

Includes everything pictured (plus a single brass padlock with 2 keys, not pictured).

What's not included that is included if you buy new? Instruction manual (just Google it), a sample of lube (not worth it), and 5 plastic uniquely numbered ""metal detector friendly"" locks (couple bucks on Amazon).

Aside from that, what's missing? The clear spacer for the 3rd spacer pin (the 3/8"" spacer). Honestly, I don't think these are really needed. In fact, the device has more flex without it and is more comfortable.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/msr/5489876777.html,minneapolis,hnp,2016-03-13 19:43,2016-03-13 21:12,msr,m4m,looking for a good man. apply within,"
Dating sucks! Finding a good man sucks even more! But here I am again putting out my line and seeing if I catch anything. About me this is the easy part no one knows me like me :) I am 33 years old stand at about 6'4 and come in at about 255 lbs. I grew up in a small town in Wisconsin and love going back home from time to time. I am stable, funny and caring. I have a good head on my shoulder and want to find someone who feels the same. I am a HUGE hopeless romantic! I am a texting freak lol and I am told that I can be a little needy and most of the time thats because I want to see my man more then once every couple of weeks.

Often I am treated like a novelty. Tall guy next door from Wisconsin, who is sweet, who is VERY romantic. A guy who wants his version of the American dream. The hard part is finding someone else who wants those same things. Someone who understands that being in a relationship is not always fantastic. Its work sometimes. It takes 2 people who are willing to work hard to make it happen. 2 people who would rather make love to each other then fight with anyone else. I want to buy you a gift just because I saw it and it reminded me of you. I want someone to plan a date just for me for once. I want to spoil a man just as much as he spoils me. I want kindness and laughter and want to bring that to someone else.

Now you may read this and think wow how corny and if you do that is fine. To each his own. If you read this and think wow a man after my own heart. Take a chance and send me a message. I would love to hear about you, what you are looking for and see a pic if possible.
",33,average,,,,,,,,,,,," 6'5"" (195cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/hnp/msr/5483152362.html,minneapolis,hnp,2016-03-08 23:17,2016-03-13 20:23,msr,m4w,I am 40+,"
Looking for a woman to hang out with once in a while. I am in shape (no fat), have all of my hair (brown) and still know how to party. Please be drama free, disease free.

Let's have drinks or see a movie or go bowling or just hang out and cuddle with a Netflix.

Maybe I'll hear from somebody on here, maybe not

Hit reply if you are interested.............or don't
",49,athletic,,,,sometimes,,,hereditary,,weekends mainly,,," 5'9"" (175cm)",,,,,,,m-f,enigmatic,,over-rated,allergic,,rarely,divorced,170,
