url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://minneapolis.craigslist.org/wsh/w4w/5490531640.html,minneapolis,wsh,2016-03-14 10:41,2016-03-14 10:58,msr,w4w,Are you down?,"
Okay so I've tried this whole thing and nothing ever comes of it. Either it turns out being a creep or the girl is great in the beginning and then gets weird the closer we come to meeting. I found a great girl but she got skittish in the end and I was quite disappointed so I'm going to try this differently.
I'm in my late 20's looking for a woman in her mid 20's to early 30's. I'm an active person, flirty, fun and femme. Love to be outdoors and am always willing and able to play some Volleyball, Tennis, or Softball. Never went Frolfing, but I'm up for anything new at least once. I enjoy rollerblading, going on hikes, canoeing and this list could keep going but lets just start there. 
I'd like to find someone who enjoys being out of their element sometimes, exploring rink dink towns with small coffee shops and antique stores. Who can be up for adventure or down for a night of movies and 420 fun at home. I'm someone who is honest even when its hard to be, and can't handle subtly or silly emotional games.
I have a boyfriend, we've been together forever so I'm not looking for someone to marry but I'm not down for a one time thing. I guess you could say more of a friendship, a buddy, an awesome girl that can play console games and get naughty with me when we're both feeling it. He knows about what I'm doing, this isn't a secret, in fact at one point if possible I'd like him to be involved. 
If interested please send me an email with a bit about yourself and a pic. Replies that have no less than 2 sentences in it WILL be ignored. I don't care how great your picture is, substance ladies....that's the thing of great friendships. 
I don't have kids and am STD free. No Men.
",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://minneapolis.craigslist.org/hnp/w4w/5489679064.html,minneapolis,hnp,2016-03-13 16:46,2016-03-13 22:57,msr,w4w,Sweet loving lesbian,"
Hi ladies I'm searching for a lesbian who likes plus size women. I'm 420 friendly I enjoy walks around the lakes I love animals romantic dinners, snuggling,going to a movie, a concert. I smoke and lite drinker. I can host
",45,heavy,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/ram/w4w/5489806783.html,minneapolis,ram,2016-03-13 18:36,2016-03-13 18:36,msr,w4w,Grab a drink with me tonight,"
I'm sick of endless texting. I want to meet you, let's grab a drink at the bar, I'll buy the first round tonight. See where it goes from there! 

Me: Femme, 27, Pretty, Succesful Career, Own a 4 bedroom house, love cats! Curvy (size 14-16). Athletic (workout daily). Healthy. Drug and disease free. 

You: Confident, soft Butch or Butch, ok with curvy girls, disease free, single, no couples no men. 

Don't care what you do for a living. Just be a person that has goals and works hard! 

Now message me! Send me a pic or two and I'll send some in return. Let me buy you that beer tonight.
",27,curvy,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/ram/w4w/5489714508.html,minneapolis,ram,2016-03-13 17:15,2016-03-13 18:15,msr,w4w,Macy's Flower Show?,"
I am looking for a date, someone to go to Macy's Flower Show with me on March 23. 

You are: single, smart, independent, extrovert, conversationalist, open minded, ddf, enjoy having fun, see beauty in others, and positive\optimistic

Me: single, indepedent, intelligent, funny, wide array of interests, ddf, fun to be around, adept conversationalist, outgoing, and so much more...

If you are interested reply with your middle name or favorite flower in the subject line.

Pic for pic as long as it is 
G-rated
",33,big,,,,,,,,,,,," 5'2"" (157cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/dak/w4w/5489638763.html,minneapolis,dak,2016-03-13 16:14,2016-03-13 16:14,msr,w4w,Hi? Let's start with a latte.,"
Hi. 
I am a single lesbian looking to meet another single lesbian or bi woman. I have been single for a year or so, and would really like for that to change with the right woman. 
I like to ride bicycles, camp, outdoor photography, and downhill skiing. I love coffee and wouldn't want to live without it. I like the occasional drink. I don't mind the bar scene every now and then. I also like chilling at home and making a nice meal. I have a 13 year old son who mostly lives with me, but I still have plenty of time for a new partner. 
I would consider myself more sporty than feminine but not super butch. I'm just me. Lol. 
I work typical full time hours Monday through Friday. 
I really like road trips and am really looking forward to this summer. 
I am not looking for married or partnered woman who are experimenting. I am also not interested in smokers. Other than that, I'm pretty open. 

If any of the above sounds good, shoot me an email. You never know. :-)
",41,,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/dak/w4w/5489200852.html,minneapolis,dak,2016-03-13 10:51,2016-03-13 12:19,msr,w4w,Looking for a genuine soul,"
I've been single for a while & at the point where I feel I'm ready to be in another relationship. The thing about me & it's crazy that it's rare, but when I date someone the goal is marriage. I'm not into meaningless, short term relationships that's only fueled by sex. At some point I'd like to get married & have a family so whomever I date would have to want the same things. A little about me, I have a very chill personality, I get super excited about things & I'm always up to try something new. I don't think there's anything wrong with being honest even if it gets you into trouble & communication is huge to me. Personally I think a relationship is doomed if there is no communication respect or humor in it... If you think you could relate or interested to know more just send a message, who knows we might connect & be comparable. 😉 BTW the ideal age range is 25-35, If you attach a pic in your first email that would be awesome (physical attraction isn't the only thing that matters but it does play a part.) NO MEN, COUPLES, & sorry NO BI or CURIOUS WOMEN.
",27,average,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/hnp/w4w/5486172873.html,minneapolis,hnp,2016-03-11 04:12,2016-03-13 09:30,msr,w4w,MINION .... Here Minion,"
Yes, I am looking for my special minion. My minion will be happy to see me when I get home. She will throw herself into my arms, kiss me and maybe even softly bite my lip and slightly pull it from my face. Maybe we will kiss until we can't breathe but breathing is over rated at times like that. 

Truly, what is a minion? Traditionally a minion is defined as ""a follower or underling of a powerful person, especially a servile one."" A powerful person to follow and even obey? Yes, I am a young, spunky, energetic DOMINATRIX. I am looking for that most precious possession, My MINION. Cherish is the word that describes how I will feel about my minion. We will respect and trust each other and yes, I will make her be good. Last but not least, my minion and I will have an extremely FUN time. 

So if you think you would like to be my minion, please respond with a little biographical info about yourself and several pics. What am I looking for in a minion? A girl 17 to 25, slender like me, FUNNNN, who will be happy to be my submissive minion, and who has a strong sex drive.
",23,thin,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,single,118 lbs,
http://minneapolis.craigslist.org/hnp/w4w/5488984110.html,minneapolis,hnp,2016-03-13 06:26,2016-03-13 08:17,msr,w4w,There are ONLY 2 Types of GIRLS,"
There are 2 types of girls, those that have been with another girl and those that haven't . . .. but want to. Those that have kissed another girl and those that haven't . . .. but want to. Those that have been tied up and had their body shudder under wave upon wave of multiple orgasms and those that haven't . . .. but want to. Those who ride quads and those who don't . . .. but want to. Those who are afraid to take helicopter piloting lessons with me and those who aren't . . . but want to. I am looking for the ""WANT TO"" girls Or even the ""been there, done that, and love it"" girls. 

I don't care if you are experienced with another girl or not, I do care if there's chemistry between us. I don't do guys OR let anyone's partner watch. Oh yeah, and I qualify under a certain law where I can prosecute pretenders, catfishers, and do prosecute them. 

If you are slender, fit, totally in shape, whatever you call yourself, and you are intelligent, fun, and adventurous, contact me. I am the definition of fun. Please include a photo and tell me about yourself.
",23,thin,,,,,,,,,,,Blonde," 5'4"" (162cm)",,,,,,,,,,,,,,single,118,
http://minneapolis.craigslist.org/hnp/w4w/5488798271.html,minneapolis,hnp,2016-03-12 21:34,2016-03-12 21:35,msr,w4w,longing and wanting someone,"
i am a BBW seeking another BBW prefer big breasts which compared to mine anything bigger than a C cup would be awesome.. I have been with women in the past but would like to try again.. i am rather excited towards woman, I am 44 yrs old. I prefer a femme woman more of a girly girl. I want someone that knows what she wants and is confident about herself.
",44,big,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,single,,
http://minneapolis.craigslist.org/hnp/w4w/5488690286.html,minneapolis,hnp,2016-03-12 19:20,2016-03-12 19:39,msr,w4w,"Simplicity, Harmony, Opportunity","
Hello, I have been single by choice for a couple of years now. I am a lesbian and am looking to start dating again. I enjoy camping, cooking, playing sports, going to farmers markets. I am handy and creative. I love music and poetry.
I do not have children or pets. 

I am looking for someone open and honest. Not looking for men, couples or real butch women,
I want to be your favorite thought though out your day. 

Please respond with a photo.
",44,average,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,single,,
