url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://newyork.craigslist.com/brx/m4m/5458165298.html,newyork,brx,2016-02-21 14:21,2016-03-05 20:27,msr,m4m,2 latin btmm for nsa safe fun in south bx,"
2 latin btmm guys for some safe nsa fun. Ps. plzzzz guys wash you dick and balls. no smelly guys here. and if you want to kiss be sure to brush your teeth (astrigent) helps too :-) anon plzzzzzzz be clean :-( . if ur not clean plzz do not contact me.love clean dicks ;-) and no stds guys or warts on ur dick and ass. be stds free plz. no Raw sex here. always safe and clean ;-). if u looking for head only dont contact me. rimmers a +++++ ;-) RImmerrrrrssss :-). Just looking for Men that knows what they want and how they want it ;-). And again rimmers to the front ;-) 420 ;-) ANON. ;-). plz send pics and no broke ass mofos. ;'-) nor Prostitutes lol. no pay 4 sex !!!!!!!!!!... Rimmerrsss ;-)
",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/que/m4m/5477808902.html,newyork,que,2016-03-05 13:01,2016-03-05 20:27,msr,m4m,Straight Cock worshiper looking for masculine Astoria guy,"
I am a 30 year old, straight guy who lives in Astoria, I am attracted to women, and I am 100% straight, but I've had an overwhelming urge to be turned into a cock sucker by an assertive, masculine guy. I'm not looking for reciprocation, I just want a guy who will invite me over, who will just drop his pants, and sit back on his couch, perhaps drinking a beer and watching porn, while I get down on my knees and worship his cock until he explodes in my mouth. I could either get up and leave, or wait at his feet until he is ready to blow another load down my throat. I'd like a guy who is okay with me taking my time, and truly worshiping his dick with my mouth. I'd like to try to deep throat but I can't make any promises as it is my first time, but perhaps you can train me to eventually take you all the way in.

I am a nice looking, normal, white collar, guy, and I am very serious about trying this later today. I cannot host, but I can come to you in Astoria. I live near the Broadway N stop so the closer the better.
Please send a body pic, I understand if you dont want to send a face. Also please write a few sentences about how you would like this to go, a one line email probably won't be enough to entice me.

",30,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,single,,
http://newyork.craigslist.com/mnh/m4m/5478459795.html,newyork,mnh,2016-03-05 20:27,2016-03-05 20:27,msr,m4m,Any Asian Guys want to meet ?,"
Any fit intelligent asian guys want to meet for a drink? Looking guys who are masculine, well educated and can hold a conversation. Could be up for fun too if both into it.

Professional, fit well educated white guy. five ten, one fifty five, thirty nine. disease free. masculine.

Please reply with stats and a picture, as well as what you may be looking for.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/mnh/m4m/5478459658.html,newyork,mnh,2016-03-05 20:27,2016-03-05 20:27,msr,m4m,Cocksucker hosting Mature Black/Latino Husky-Heavyset Tops,"
Hungry white faggotbitch here looking to suck older (40's-50s+), verbal, husky-heavyset, bi/bimm or DL black/latino guys 

Uncut a definite + (but not a deal-breaker) 

Am into porn, poppers, verbal humiliation and sucking. Also into hot role-play. If you are too, email me your ideas and I'll do the same. 

Am looking for a masc. Black/Latino Bi/BiMM/DL, stocky to heavyset man to shove poppers under my nose and get me to bitch-out on his cock while he kicks back with a beer, talks pussy and watches pussyporn (I have some decent black on white gangbang pussyporn).

Have me suck you the way that white bitch is suckin in the porn, the way you wish your wife/gf would suck. Watch my eyes roll back when I hit those poppers and FUCKIN'' LAUGH at how that pussymouth gets hungrier with every hit until you shoot a hot load all over my face. 

NO Recip scenes only! 

ME: 5'7"", 150, hwp, DDF, safe and very discreet. 

YOU: Reply with stats, BODY PIC and the kind of scene you're into. Non-responsive emails or one-liners deleted.
",50,fit,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,,,
http://newyork.craigslist.com/mnh/m4m/5471116450.html,newyork,mnh,2016-03-01 06:04,2016-03-05 20:26,msr,m4m,sneak out and breed the hot smooth jock kunt,"
hot fucking smooth pink fuck slot where you can just walk in and stick your pulsing shaft inside it and just fuck it til you nut deep inside and then just leave , knowing secretly how you just bred some anonymous jock pussy hole nasty .

Six one 175 smooth masc and horned to get bred. Pump n dump cool, anon...naked doggy Smooth juicy Cum fuckedhole exposed and waiting for dick breedin now. Serious only pls age stats pics 1st email thx. Cum knock this jock kunt up. This is for BB only

Hosting in a suite at a bryant park hotel
",32,athletic,,,,,,,,,,,brown," 6'1"" (185cm)",,,,,,,,,,,,,,,175,
http://newyork.craigslist.com/fct/m4m/5465567094.html,newyork,fct,2016-02-26 11:31,2016-03-05 20:24,msr,m4m,Looking for younger for LTR,"
Hi,

I am an over 40 year old, bi-top, looking for a long term relationship with a younger (under 25) man.
I am not looking for just a physical relationship but also one of friendship. I have a natural fatherly personality when it comes to interactions with younger men so you should be willing to accept that part of my personality.

I have had to deal with friends with addictions in the past and would rather not have to deal with another one, so please do not reply if you are into using drugs or alcohol on a regular basis.

Not having been fortunate enough to become a father myself I am looking for someone to do things with, camping, fishing, working on cars, you know the type of things fathers & sons do except that we also would enjoy the expression of physical love between us.

Also please do not expect me to support you financially - I said fatherly not father.

Please let me know about yourself - your interests etc.
I would want to meet to find out if we could get along before committing to a relationship.
",,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://newyork.craigslist.com/brk/m4m/5478456933.html,newyork,brk,2016-03-05 20:24,2016-03-05 20:24,msr,m4m,white boy next door,"
Hey looking to host or potentially travel.



Looking for an older, verbal top, but open to anything. Definitely a sub at heart, into josman and nifty. I love sucking cock

If this is up, I'm down ;)

tumblr is freckleboybottom if you wanna know more

",23,thin,,,,,,,white,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,,,
http://newyork.craigslist.com/mnh/m4m/5478342351.html,newyork,mnh,2016-03-05 18:42,2016-03-05 20:23,msr,m4m,looking for low key fun,"
Hey, any want to hang out watch some porn and jerk off. DDf hiv- here and expect the same. Body contact make out maybe massage would be fun too. 
can host or travel
",29,average,,,,,,,,,,,," 5'8"" (172cm)",,,,,,,,,,,,,,single,,
http://newyork.craigslist.com/que/m4m/5478455774.html,newyork,que,2016-03-05 20:23,2016-03-05 20:23,msr,m4m,Bear hairy horny for fun,"
Bi masc hairy dude here looking for fun tonight

Looking for a discreet, clean guy for a little fun. 

Looking for bears, cubs, hairy or anyone who likes hairy. 

Race isn't important.



Please come to me. I am only looking to host.



Answer me with your age/stats/availability.
",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/mnh/m4m/5478455708.html,newyork,mnh,2016-03-05 20:23,2016-03-05 20:23,msr,m4m,RelaxnBodywrk....,"
..............
................
....RelaxingBodywork....
..........
...........East70s.........
.....................
",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
