url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://newyork.craigslist.com/stn/msr/5472778664.html,newyork,stn,2016-03-02 08:52,2016-03-05 20:41,msr,t4m,CD looking for more...,"
Hey guys. Fairly new to the CD scene and just starting to feel comfortable dressing in public. I am not full time by any means, and have not thought about that yet. Into extremely masculine jock, daddy, bro types and love the idea of you dressing me in whatever you want me to wear from head to toe. 
It would be ideal to find an ongoing thing, dating, or even possible ltr. I am not here for just sex, so if that is all you are after, move on please. Get back to me if you want to chat more. Please send clear face and body pics otherwise you will not get a response, and asking for more of my pics when you send nothing is just unacceptable. Hope to hear from some quality MEN!
",29,athletic,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,,,
http://newyork.craigslist.com/brk/msr/5472781535.html,newyork,brk,2016-03-02 08:55,2016-03-05 20:41,msr,t4m,CD looking for more...,"
Hey guys. Fairly new to the CD scene and just starting to feel comfortable dressing in public. I am not full time by any means, and have not thought about that yet. Into extremely masculine jock, daddy, bro types and love the idea of you dressing me in whatever you want me to wear from head to toe. 
It would be ideal to find an ongoing thing, dating, or even possible ltr. I am not here for just sex, so if that is all you are after, move on please. Get back to me if you want to chat more. Please send clear face and body pics otherwise you will not get a response, and asking for more of my pics when you send nothing is just unacceptable. Hope to hear from some quality MEN!
",27,athletic,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,single,,
http://newyork.craigslist.com/wch/msr/5470763192.html,newyork,wch,2016-02-29 20:15,2016-03-05 20:20,msr,m4t,str8 guy 4 ltr w/passable cd or tg,"
I want a regular meet up girlfriend. Unfortunately I live in Wallingford, CT so I'm looking for someone who can host me for a weekend or a night or perhaps I can drive up there and spend the day with you. Meeting halfway in a motel is also an option as is I might be able to occassionally host. I like watching movies, gardening, doing yoga and going out to eat or just relaxing at home. Looking for discreet relationship with crossdresser or transgendered person. Must be passable. Prefer aged 18-35. Might accept older but you would have to be very passable and hot. Close up clear face and nude body pics required before meet up. 
In bed I'm a top and like handjobs, anal and oral. I'm 5 ft 11, 195 lbs, mildly muscular, moderately hairy, 5 inch cut cock. Last long in bed and cum a lot. Very kinky and nasty at times. 
Pics should be in first email. 
No hookers or druggies.
",40,average,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,single,,
http://newyork.craigslist.com/fct/msr/5473815649.html,newyork,fct,2016-03-02 19:07,2016-03-05 20:18,msr,m4w,Intimate Secrets: Erotic Emails,"
I'm looking for a very special woman with whom to exchange sexual fantasies and experiences, original stories and erotic thoughts.

Anonymously and utterly non-judgementally, I would like to find someone to share in a sort of literary exhibitionism. Where fantasies can be expressed and explored safely and hopefully very enjoyably.

I am an 'Englishman in New York'. Articulate and quite urbane, but by no means the clichÃ© you might imagine. I'm very much an Alpha Male and widely experienced in life and love. I'm quite unshockable.

You, ideally, are college educated, liberated, uninhibited and adventurous. An assertive and confident woman able to match wits with a highly intelligent man on levels terms. Naturally I'm most attracted by Alpha Females.

Introduce yourself. Let's open a dialogue and see where it leads...
",42,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,married,,
http://newyork.craigslist.com/mnh/msr/5468559238.html,newyork,mnh,2016-02-28 12:37,2016-03-05 20:13,msr,m4w,**FREE HOUSING AVAILABLE**,"
Are you looking for housing in Manhattan for short or long term? Flexible move in date. I am offering free/reduced furnished room in Manhattan for someone that is looking for housing in NYC....Fully furnished room is available now in Manhattan..This is a great opportunity for someone that is looking for a furnished room in exchange for light house keeping, cleaning, etc. No experience needed. . My apt is located in a doorman/elevator building with washer/dryer in my place.The A/D/C train are walking distance from my place too. My apt. comes with Wifi, cable, heat, bed, furniture, nice kitchen and clean areas.. . The room has a queen size bed, dresser, night stand, large closet...if interested send me your contact info and include:
Name
Age
Contact
Photo
",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/mnh/msr/5461465806.html,newyork,mnh,2016-02-23 16:00,2016-03-05 20:05,msr,m4w,"WANT FUN,NOTHING SERIOUS","
IM 61 IN GOOD SHAPE. LOOKING FOR A SHARP AND CLASSYLADY OVER 40 ,RACE NOT A ISSUE , MARRIED OK.LETS MEET HAVE A DRINK OR DINNER SOME WINE,AND LETS SEE WHERE IT GOES FROM THERE .SEND YOUR PICTURES AN I WILL DO THE SAME .
",61,average,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,divorced,,
http://newyork.craigslist.com/brk/msr/5466407799.html,newyork,brk,2016-02-26 20:01,2016-03-05 19:56,msr,m4t,Southern Gentleman in NY looking for my Transgender soulmate and wife,"
Hello ladies. I'm from Sparta, Georgia but I've currently been living in Brooklyn, New York for 8 and 1/2 years now. I'm seeking a long term relationship with a good, down to earth transexual woman that can lead to marriage. I'm looking for my soulmate. I finished nursing school and I'm currently studying to take my national exams. I work part time as a security guard. I'm a real man and I'm not into head games. I would like a nice date my treat and see where it goes from there. I'm drug and disease free plus I don't drink or smoke. I don't mind if you do drugs, drink or smoke but if you do them I prefer you don't do them around me. So transexual ladies if you're interested then send me a reply. Please include a pic. I'm a serious man looking for a serious Transgender woman. Thank you all and God bless
",36,average,1 tattoo,,,,,NY Sch For Med/Den Assi,Mixed,Dark Brown,,,," 5'8"" (172cm)",,,,,,,Security Guard,,,,,,,,,♋ cancer
http://newyork.craigslist.com/mnh/msr/5478362060.html,newyork,mnh,2016-03-05 18:59,2016-03-05 19:51,msr,m4m,The Face Of Love,"
Do you see this picture? Do you see a bitch, a cunt, a cum dumpster or a pig or dog? Do you? What I see are two young guys (interracial) who are in love with one another. Why is it, the young are so reckless yet hopeful when it comes to love, and let other's into their world, yet as we grow older (like you and myself, middle age and beyond), men become so jaded...""there is no such thing as love between men....we just fuck like animals; nothing more and nothing less...I've had lovers that fucked me over emotionally, financially, spiritually, mentally...I'll never open my heart to another, I will never be hurt again.."" true, you may never get hurt again by avoiding love, but in building a wall to protect yourself, you have built a wall to keep others out. I'm a strong, masculine, beefy, loving, kind, sincere, earthy, intelligent, spiritual, thoughtful, well mannered, nurturing, sensitive gay soul....it seems like I've searched a lifetime to find a lover, a lover, husband, friend, companion...and always coming up short. Not because of me; but because of you....dates that never go anywhere, being stood up without the decency of a phone call, promises made where lies are the rule (""I'll call you..promise.""). My body is a temple of joy...sensual, hot, sexy, passionate...yet I've had men that tried to treat me like an object and body part (give my that ass, suck that dick bitch, you cunt take all the dick)...see, most men don't know how to love. Why? Because they are men first...including gay men: they objectify, have fetishes that interfere with love and truly getting to know someone (""drink my piss you cunt cum dumpster"")...yet deep down, don't you really all crave a special love to come home to? To come home to your arms? your heart? your soul?...So many of you are so unkind to each other....you will put another man down into the pits of garbage and hell: ""he's a nice guy, but he's not my type...he's a bit overweight...he doesn't have a big enough dick for me....his ass is too lose....I don't date blacks, asians, whites, Latinos, effeminate men, I like big muscles, he's a bear, I like uncut and he's cut, he's cut and I only like guys with foreskin...he's too old, I'm 40 and he's 45....why that would be like dating my grandfather....I want a guy in his 20's and maybe mid 30's and no older...God he lives like a half hour away and that's too far for me....No wonder you guys are single and alone, and having tons of anonymous and unsafe sex...you are trying to medicate yourselves from your selves: depressed, angry, hurtful, uncaring, cruel...this is not how God meant for it to be. You, especially gay men, should love one another, honor one another, accept one another...listen, many in straight society hate you (""those fucking queers and faggots, they go against God and nature""), so why gang up on one another and just add to the list of those who hate you (us)?....Listen, I love watching porn (and buy tons), but I'm not obsessed about it or by it....IT'S FANTASY GUYS...MOST GUYS DON'T HAVE A 12 INCH DICK AND SHOOT LOADS OF CUM FOR 3 MINUTES (it's looped and edited you idiots)...I see you guys at the porn story drooling over the cover of the latest/hottest porn star (who you will tire of soon enough when the next younger, hotter model cums out)...AND RIGHT NEXT DOOR, STANDING NEXT TO YOU is another guy who you could go out on a date and have dinner, get to know, and yes, maybe even have hot sex...BUT NO, ""he's too average looking; he doesn't look like the young hot model, sex toy...on the cover of my favorite porn company..."" So what do you do? You ignore the guy next to you; you go home and jerk off endlessly to a fictional guy, you cruise Craigslist, Grindr, Adam4Adam looking to score sex...like a crack or heroin addict...satiated for the moment, but never truly satisfied...like eating fast food from McDonalds; it fills you for a bit...but you crave something of more substance and substantial...but no, you will never learn to love. Why? You never learned how to love yourself...honestly, sincerely...for when you do, then and only then can you love another honestly and sincerely....I've been talking to a wonderful older black gentleman (he's 61 and I'm 57) and yes, we met on Craigs; he's honest and sincere, earthy and genuine...the guy is 6'9 (wow, like Goliath) a former basketball player....he doesn't have a whole lot of money (Social Security); is a simple person (I'd rather be with simple and someone who knows how to love than a hot looking guy with a PhD in Business but is emotionally bankrupt), he's skinny and doesn't have that muscular build most of you are looking for...but you know what, even though we haven't physically met in person yet (next week will be our first date); we talk everyday, we flirt with each other emotionally everyday; we express hope that our love at this stage of our lives is real, and not be fooled by others like all these years....I have been on millions of dates, met countless men of all ages, races and faces, expressed interest in dating and getting to know you....but you shot me down every time by discounting and disconnecting from me (afraid of love, confused men, unsure, intimidated by my realness and love); I pray to God, that this simple, good man ends my days and nights of loneliness...but yet, I am not lonely; only lonely for a male lover/husband....I am fine all by myself...I don't have much money, I may not be the latest hottest porn star...but what I have is much more than what most of you have. I dance to my heart's content anytime I hear music or a good beat (whether this is in a club, a subway platform, a park), I go to soup kitchens without shame...enjoy a good meal with other good folks, here their hopes and dreams for themselves as well as their fears and concerns; I have the ability to appreciate friendship and what others bring to the table regardless of looks, age, or body type. I am a happy and content person...all of you have thrown the love I have to offer, away like day old bread...now maybe I will have a love of my own...to leave the sex ads on Craigs forever...to take down my profile on Adam4Adam, not go to sex clubs and bathhouses anymore....that is my dream and my hope. And my dream and hope for you? That you guys wake up and smell the coffee, and truly learn to love yourselves (not be treated like a faggot sex slave, a cunt, a bitch, a dog, a pig...) and find a bit of heaven on earth with another loving soul. I doubt it...I've been around the block too many times for too many years; and have encountered few gay souls like myself. Regarding most of you out there; I have stepped into puddles that were deeper than you. So, now you have a choice after reading this babble...I have touched a nerve deep in your mind, heart and soul...and you start to do better by yourselves and others, or, continue on your path of destruction, loneliness, pessimism, and endless, endless cheap and anonymous sex (""I'm on Prep baby...don't worry about HIV, I like to fuck Raw, I don't like the feel of condoms getting in my way of pleasure...so I slipped the condom off as I was fucking you, why you be trippin?"")....God & Jesus Christ himself is talking to you right now, through me. Hey, do the fuck what you want...it's your life to waste or make better. What's the meaning of life? ""Whatever the fuck you want it to mean;"" that's my answer and I'm sticking by it. Included some pics of me present and over the years...take a good look at this man; this incredible gift from God, even with all the shit you through at him (deceit, lies, falsehoods, empty promises, cheating) remained a good and decent man. To you shallow fucks...I come across as a jaded ole queen who's panties are in a bunch...but you know what, to that one in a million decent gay guy, he reads this and says ""Thank God, someone else who thinks and feels the same way I do..."" and maybe, just maybe he will feel less alone in this crazy, gay, superficial and shallow world. God bless all of you. I wish you nothing but the best on this journey called Life.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/mnh/msr/5458085576.html,newyork,mnh,2016-02-21 13:29,2016-03-05 19:47,msr,m4w,Seeking a Nerdy Bookworm type Asian Girl for FWB,"
Are you a nerdy Asian bookworm? Are you somewhat on the introverted side?
Are you a single Asian female and content with your present life situation and don't have the desire, energy, or the time for the emotional and domestic encumbrances of a full-blown relationship, but still crave occasional sexual fulfillment with a safe, fun, and reliable partner?

I'm a SWM, fit, non-smoker, drug/disease free, intelligent, easy-going, respectful, professionally stable, emotionally mature and have a fun sense of humor.

Please be reasonably fit - slender to average body type, clean, healthy, non-smoker/drug user, sane and D&D free.

Please include a picture or two with your response. Also, convince me you are really in the NYC area and serious. Just saying, ""I'm real"" is not very convincing. Please put ""Nerd"" in the subject line of your email.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newyork.craigslist.com/mnh/msr/5465086403.html,newyork,mnh,2016-02-25 23:31,2016-03-05 19:45,msr,mw4w,Are you a sexy Married or Involved woman? Been curious about a couple?,"
We are very sexy, very attractive lovers who are would love to find a woman to join us for an afternoon or evening of safe, fun, sensual and erotic sexploration. 

If you have been reading through these ads or others like them and find your fantasies wandering to thoughts of being with a woman/couple in a discreet and safe environment then we'd love to hear from you. We're both clean, respectful professionals; fit, easy-going and non-pushy. What we envision is a warm and welcoming rendezvous where all 3 play as equals. What we don't want is for you to feel like the proverbial ""3rd wheel"", rather, we'd like to create a 3-way sensual chemistry. She is very bi-sexual and finds women to be extremely sexy and seductive, and would love to find a sexy mom type who has fantasies of soft wet kisses, fondling, and playing together. :-) 

She: 33 y/o, 5'7 weighs 136lbs, a sassy stunning blonde with gorgeous green eyes, a captivating smile great body, and is very sensual. He: 42 y/o, 6'2"", weighs 195lbs, brown hair, . Good looking, fit, extremely well endowed (quite thick), very playful, yet always a gentleman in the bedroom. If this sounds exciting/fun please send us an email telling a little about yourself. Although not looking for perfection, we do take care of our bodies and hope for the same in you. We are D&D free and expect you to be the same. Condoms are used, no exceptions. Due to flakes and fakes here on CL we'd prefer to voice verify fairly early in our communication. Have a wonderful day. :-)
",33,athletic,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,single,,
