url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://oklahomacity.craigslist.org/m4m/5479456219.html,oklahomacity,,2016-03-06 15:19,2016-03-08 20:52,msr,m4m,Wanna give oral to another Str8 curious guy today,"
would like to meet another str8 type not out fit guy to give oral to today, very discrete, thats all I want to do
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/m4m/5469089256.html,oklahomacity,,2016-02-28 17:40,2016-03-08 20:44,msr,m4m,Cum and Go NSA BJ,"
I am just wanting to suck your cock and drain your nuts NSA. Come in, drop your pants, I blow you and you leave. No hanging around. Please be under 40 and HWP. Prefer married/straight guys and military men. I am 5'9"", 160, white. Hit me up if all you want is a blow job. I host.
",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/m4m/5444253793.html,oklahomacity,,2016-02-11 20:08,2016-03-08 20:39,msr,m4m,Want to get off,"
Where are all the guys that like to turn the lights out and make each other feel good. Turn on some music and play with each other. Lead to more stuff If you want. Hit me up. I have poppers. I can host in Moore. All alone tonight.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/m4m/5457214000.html,oklahomacity,,2016-02-20 17:20,2016-03-08 20:16,msr,m4m,Hung oral dad,"
looking for younger. Lay back and let me lick your nuts and Dick. Edgy slow head and no recip. I was a Boy Scout so you know I'm a good cocksucker. 
6', hairy, 190, butchish, fit and nice cock. 
Be 19 to 30, hwp, stats and cock 
Thanks
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/m4m/5482963453.html,oklahomacity,,2016-03-08 19:48,2016-03-08 20:01,msr,m4m,Young and Horny,"
Young slim asian boy looking to suck cock and take it in the ass, or give it if you want. 
Into kissing, nipple play, oral, j/o, anal, and certain kinks. 
Me: 5'11"", 150lbs, will shave and shower before meeting up.
You: Have a nice cock, preferably good looking too, shower before or have good hygiene. 
Please respond with stats and pics, and what you're looking for in response.
",21,skinny,,,,,,,,,,,," 5'11"" (180cm)",,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/m4m/5476654990.html,oklahomacity,,2016-03-04 15:28,2016-03-08 20:00,msr,m4m,Relaxing massage for you,"
Treat yourself to a great massage by an attractive, fit, clean white male with strong hands that know how to work your muscles and help release all your tension. Flexible schedule at your place or mine. Please message me with your availability and i will reply with full details. Thank you!
",37,athletic,,,,,,,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,single,185,
http://oklahomacity.craigslist.org/m4m/5482819015.html,oklahomacity,,2016-03-08 17:52,2016-03-08 19:45,msr,m4m,College Jock for Dominant Cop or Firefighter,"
White, athletic, masc, normal guy here looking for a cop or firefighter. Just have a fantasy to meet one and see where it goes.

I'm submissive and a total pleaser.
",23,athletic,,,,,,,White,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/m4m/5482818233.html,oklahomacity,,2016-03-08 17:51,2016-03-08 19:25,msr,m4m,"Suck swallow,ass up","
Mature CD, 6'6""in heels and very discrete. No drugs or games seriously. Size not an issue but bigger is better. BWC preferred over anything. I host only. You know it feels more than good!
I smoke cigarettes if that matters. Love kissing
",45,average,,,,,,,,,,,," 6'6"" (198cm)",,,,,,,,,,,,,,widowed,,
http://oklahomacity.craigslist.org/m4m/5480982946.html,oklahomacity,,2016-03-07 15:19,2016-03-08 19:21,msr,m4m,Are You A Younger Guy Into Older Men?,"
Professional gl masc white clean/ddf daddy top with athletic build 37 6 165 looking for younger 20's to 30's year old twink type bttm guys. Must be ddf/clean. You should be able to host. Please respond with FULL stats and pic in first email or no response. No spammers or Bots Please. Put ""Young"" in subject line when responding.
",37,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/m4m/5482929052.html,oklahomacity,,2016-03-08 19:19,2016-03-08 19:19,msr,m4m,Hosting near airport,"
I can host here at my hotel. Into jo and oral mainly. 

Please be able to travel, trade a face pic, be clean and disease free. 

I'm masculine normal hairy kinda guy.
",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/m4m/5482809393.html,oklahomacity,,2016-03-08 17:45,2016-03-08 19:18,msr,m4m,"Looking For A Younger, Oral Bottom (18-25)","
Hey Guys ! I am a very oral Top with a nice 7"" cut cock who is looking for a younger bottom boy who also loves to suck cock and get sucked before fucking. If you are between the ages of 18-25 (in good shape) and this sounds good to you, then please respond to this add. Please include your stats, age and a pic in your response. I promise a good time to be had. I only host and am available most evenings and weekends. If you are as Horny as I am, then I hope to hear from you soon.
",40,average,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,single,,
http://oklahomacity.craigslist.org/m4m/5472319162.html,oklahomacity,,2016-03-01 19:06,2016-03-08 19:14,msr,m4m,WANTED-Down to Earth Respectable Younger Guy,"
Hey, was wondering if there is a nice, younger guy out there today looking for a mature, masc guy for some bonding. Im a great guy to get to know, white, masc, ddf, and love to get naked and have some fun, nothing weird or painful. Mostly vanilla, making out, cuddling, sucking cock and getting sucked, and/or topping or bottoming. Please be 20-35 and hwp. thanx, I also would appreciate some pics if you would like a reply and complete stats.
",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/m4m/5482913741.html,oklahomacity,,2016-03-08 19:06,2016-03-08 19:06,msr,m4m,Any Hotel Guests Looking?,"
Any hotel guests looking to suck a dick tonight? Masculine top Hispanic guy looking to fuck a hot mouth & unload. Very discreet. You host. NSA. I'm DDF - u b 2 . Hit me up with pic and location for a response. 
",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/m4m/5482826486.html,oklahomacity,,2016-03-08 17:57,2016-03-08 19:01,msr,m4m,Would you Like to date,"
I would like to find someone to start dating again. Someone that enjoys the company of an older, wiser, and more experienced guy. I can be a teacher to the younger, or an equal to someone older. I prefer guys that are 21-40 years of age, but dont rule out anyone. You need to be average weight, if your waistline is more than 36"" it isnt going to work. Im also not into facial hair, or really hairy guys. I am masculine, and enjoy outdoor activities, also like guys that act like guys. If u enjoy cuddling, than thats a plus. Im a nonsmoker, but likes to burn one down occasionally. If u are afraid to send me a face pic, then your probably not going to be a good choice either.
",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
