url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://oklahomacity.craigslist.org/stp/5482874927.html,oklahomacity,,2016-03-08 18:35,2016-03-08 20:19,stp,m4w,Outdoor Outings,"
Nice weather is soon to be here and I would enjoy finding an energetic lady for a platonic friendship that wants to go hiking, fishing, or try a small town cafe just to get out of the city. I am married and bored, My wife is a homebody and likes her alone time. I like laughter, good conversation and enjoying new activities. I truly am just wanting a platonic friendship but like any man - I admire beauty! So if your 30's to 40's and single or married and just need an occasional back up plan to escape the everyday obligations, Let's meet and allow me to cater our outing- u just smile and enjoy !
",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/stp/5452813775.html,oklahomacity,,2016-02-17 18:46,2016-03-08 20:15,stp,m4w,Email Pal,"
I am 54, happily married, no children, just 1 cat. We live in Oklahoma. 
I was born with a birth defect, spina bifida and use a wheelchair. I have a
degree in business administration with a minor in finance. I am retired. I also , internet, reading mostly biographies, history and business books television mainly a few sitcoms and news magazine shows, current events, meeting different people, the
stock market and many other things. I am only looking for pen pals to talk
about every day things, thoughts, feelings, pass the time, etc. I would like to
think that I am a good listener and have a good sense of humor.
",54,thin,none,,,rarely,never,College/Business,Caucasion,Hazel,none,,Gray/Dark Brn,,,,,,,English,Retired,Nerd,Cat,Not Political,Not Religious,,never,married,,♍ virgo
http://oklahomacity.craigslist.org/stp/5482974257.html,oklahomacity,,2016-03-08 19:57,2016-03-08 19:57,stp,w4m,Texting friend,"
I'm looking to text a few people throughout the day . I'm up for anything . Be between 25 to 40 as I am in that age range . Send you info and a picture if possible . Thanks 

Ps yes I'm married
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/stp/5476571479.html,oklahomacity,,2016-03-04 14:39,2016-03-08 19:52,stp,m4m,Average guy for friendships,"
What's going on today guys? I hope all is well. I'm just an average guy in my late 20s who is looking for a good friend to talk and spend time with. Most of my friends aren't local anymore and I would like to find someone who is. I am an educated, well spoken professional and my job is very important to me, but I'm usually pretty overworked and enjoy chilling out with someone who enjoys the same. I am attached relationship wise so I am not looking for anything beyond a platonic friendship. I consider myself to be friendly, open minded, and considerate of others. I don't feel good about sending pics to complete strangers, so get to know me a little before you ask me for one. I definitely won't respond if you ask me for a pic in the very first email...just food for thought. If you want to know more about me, feel free to ask. I have no ulterior motives and no hidden agenda. I'll take this post down when I'm no longer looking. Thanks guys.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/stp/5482937179.html,oklahomacity,,2016-03-08 19:26,2016-03-08 19:26,stp,m4w,amateur photography,"
Looking for lady 30-50, to pose for amateur photo sessions around the Oklahoma city area. Will be posing with motorcycles in various settings. Time will be financially compensted
",,curvy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/stp/5482838160.html,oklahomacity,,2016-03-08 18:06,2016-03-08 18:53,stp,m4w,new in town,"
Hi I'm in town working for a couple weeks and would like to find something to do to escape the boredom maybe to go to a movie get a couple drinks or whatever I'm 420 friendly and loads of fun hit me up asap please respond back and I will give you my number and send me a pic in exchange for a pic
",,average,,,,sometimes,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/stp/5482870549.html,oklahomacity,,2016-03-08 18:31,2016-03-08 18:49,stp,w4m,TELL ME A FUNNY STORY! LETS GET THIS CONVO ROLLIN!,"
Hello to the great big world out there. Early 30s. Born and raised in oklahoma. I love to travel, try new things, and have intelligent conversation...which is so much more fun when you can do it with someone you like. I love movies, books and music and have a nerdy streak a mile wide. Looking to meet a normal guy, close to my age, who is strong, funny, kind, romantic, affectionate, and intelligent. Tall and beefy with pretty eyes and a nice smile helps. Beards and tattoos are also a plus:-). Anyways, email me and tell me a joke....about the best vacation you've ever taken...a funny story....something about you, and let's get this conversation rollin!
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/stp/5477102358.html,oklahomacity,,2016-03-04 21:18,2016-03-08 18:05,stp,m4m,Best Friend Wanted,"
hey, hows it goin/ Just lookin for someone that enjoys hanging out with an older guy. Love to hike, camp, go on day trips, movies, or just grab a bite to eat. Im a nonsmoker, 420 friendly, I am gay, so hope your open minded, bi, or gay yourself. Im pretty masc, so no one would ever guess. I have my own place, car, and a decent job, hmu if you wana know more. Peace
",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/stp/5482672364.html,oklahomacity,,2016-03-08 16:11,2016-03-08 16:11,stp,m4w,Nice looking woman for Happy Hour friend?,"
Arrived in OKC and staying for the next month for biz. You know...solo hotel, dining out, not knowing anyone...
I'm a single guy, nice looks, wanting to get out and do things and have a great time with....you, perhaps?

Im hoping for fit and cute lady with personality!

please put "" Interested"" in your subject line...too many spammers!
",58,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,divorced,,
http://oklahomacity.craigslist.org/stp/5444063579.html,oklahomacity,,2016-02-11 17:24,2016-03-08 14:30,stp,m4m,Wearing lingerie looking for something great,"
height : 5'10"" (177cm) status : single

age: 43

Please be real and be patient. I'm looking for a top for a friend or more if it works out that way. I'm looking for a man who likes a man dressed in lingerie, likes a little bit a passion, takes his time sometimes, and loves to get lost in the moment, I would love to find that one who I can be completely comfertable with to do the things I know I love but also try many new things as well, such as maybe fully CD, really kiss with great passion, finish him off with my mouth, also go no condom even thou I've never done it I think it would be amazing. Also if it turns into something good I've thought about taking hormone pills to make my boobs get bigger than they already are right now, or maybe even implants would be hot to have. I have oniy been with a few men although I've talked to many on here just most seem to be wanting something different. I love all body contact, hands all over me, feeling like I'm very desired and wanted badly, giving oral, being your bottom and being anything you want me to be as long as you can make me feel somewhat like a lady. I can host but not at first, if you can that is great but if not sometimes I can get a deal for a hotel room and see how it goes and once we know each other then I could host. Many things I still want to try and hopefully I find you very soon. Age, size and race is not important at all but please be over 40 but not a must. Experiance is also a plus.
Jwax08 at yahoo
",43,average,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,single,,
http://oklahomacity.craigslist.org/stp/5482420710.html,oklahomacity,,2016-03-08 13:44,2016-03-08 14:23,stp,w4w,In Need,"
I'm divorced and alone. I have other friends, but I want to get to know new people. I'm not particularly picky, but I do have kids who always come first. Let's e-mail back and forth a bit so we get to know each other first. In time, meeting up would be nice. Real people, please make your subject about your favorite anything.
",,curvy,,,,,,,,,,,," 5'1"" (154cm)",,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/stp/5482254636.html,oklahomacity,,2016-03-08 12:14,2016-03-08 14:02,stp,w4w,Hangout tonight,"
any women want to hangout tonight. Send me an email with a pic and a little about you. No men
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/stp/5477679292.html,oklahomacity,,2016-03-05 10:50,2016-03-08 13:12,stp,m4w,Slave for women. Lost bet,"
So a guy lost a bet to me and to make him learn a lesson I am making him be a slave to women. He has to do anything and everything any girl wants him to. And he is not allowed to say no to anything no matter what it is... Thought maybe you might be interested in making him your slave. As i said... Anything goes. He cant say no to anything no matter what it is.

He is sexist and is kinda an asshole. 

He thinks women arent capable of making men slaves, and that women are too gentle to make guys slaves. haha
",24,athletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/stp/5477680748.html,oklahomacity,,2016-03-05 10:51,2016-03-08 13:12,stp,m4w,Male SLAVE for Women. ANYTHING GOES,"
Hey girls. So a guy lost a bet to me and to make him learn a lesson I am making him be a slave to women. I have made him sign a contract. He has to do anything and everything any girl wants him to. And he is not allowed to say no to anything no matter what it is... Thought maybe you might be interested in making him your slave. As i said... Anything goes. He cant say no to anything no matter what it is. Haha

I have made him Sign a contract....
He is a sexist racist ***hole and thinks women arent capable of controlling men. That we should do as they say.

Let me know if your interested in making him a slave
",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://oklahomacity.craigslist.org/stp/5482320824.html,oklahomacity,,2016-03-08 12:50,2016-03-08 12:50,stp,m4w,looking for friends,"
Hello, I am 30 and I am in need of friends. I go to life Church and am looking for a person to text and hang out with. I also go to 10gym so if you would like to work out we can do that.
",30,average,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,single,,
http://oklahomacity.craigslist.org/stp/5482271766.html,oklahomacity,,2016-03-08 12:23,2016-03-08 12:39,stp,m4m,married couple looking for friends,"
how's it going? we are a married couple here. I,m from Nebr and don't have any family here other than my own. I,m 38 laid back easy going straight acting and looking. don't smoke drink on occasions enjoy anything out doors from sitting around a bonfire with beers to camping. indoors sitting around shooting the shit to watching TV playing video games big horror movie fan. I raised my 20 yr old nephew who lives with us. plus I got a 18yr old son from my previous marriage. he also lives with us. I enjoy building things and exploring new places. the hubby is 26 also easy going straight acting and looking. born and raised here in Oklahoma also has hardly any family here other than our own. he enjoys basically the same. smokes on occasions as well as drinks outside to inside etc. he has a 3yr and 2yr old sons from his previous relationship that stay with us on certain days. so we are pretty average guys. we are huge 420 fans we do enjoy the clubs as well as parks not big into sports. don't have hardly any friends here and looking to change that. were not expecting sex but fwb is also welcomed. if you think you would like ones like us then hit us up. and tell us about yourself. hope to hear from you.
",2638,average,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,married,,
http://oklahomacity.craigslist.org/stp/5475958097.html,oklahomacity,,2016-03-04 09:04,2016-03-08 12:20,stp,m4w,Could use a friend,"
Going through a bad break up, but not looking for anyone to replace her or anything romantic. Not even looking for someone to gripe about all that too. Looking to find a friend with the same interest to be able to talk to, text, and maybe hang out. I am into art and music. I stay pretty busy and can be a bit of an introvert. 

So if you are looking for a laid back guy friend that won't hit on you shoot me a message.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
