url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://providence.craigslist.org/stp/5484522479.html,providence,,2016-03-09 20:50,2016-03-09 20:50,stp,m4w,Seeking....,"
Hey what's up. I'm 20 from Cranston. I'm single and seeking for someone to hang out with. I'm getting my tax return soon and I want to celebrate with someone.. Out for dinner , movies, anything.... Please, I will only respond if you send a pic... Change subject line to "" very interested""
",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/stp/5460562621.html,providence,,2016-02-23 02:58,2016-03-09 20:06,stp,m4m,wingman/ friend,"
Seeking a cool wingman/friend who has his own place.
I am 40 and a professional seeking friendship 
And rewarding life experiences. 

Non gay only please
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/stp/5484318680.html,providence,,2016-03-09 18:10,2016-03-09 19:58,stp,m4w,Scorpion bowls or Vodka shots?,"
Looking for a White girl between 21-31

white male here late 20s

let's talk sports, music, politics, or about monkeys running wild haha

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/stp/5484364102.html,providence,,2016-03-09 18:43,2016-03-09 18:43,stp,ww4w,Casual encounters,"
Any woman out of there that can help shaving my public's off, need help soon I would not no where to start
",40,thin,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,divorced,,
http://providence.craigslist.org/stp/5484334562.html,providence,,2016-03-09 18:21,2016-03-09 18:21,stp,m4mw,What's the odds,"
Hello and thanks for reading! Gonna try and stay to the point so...
I am trying to find a guy or gal for friendship, someone preferably around my age who enjoys talking on the phone about an aray of topics and eventualy meeting for coffee, movie, shopping ect. I am really looking for a bff. 
About me: Bi male in a comitted relationship who likes art, design, photography, music (all genres), cooking, and that's just the tip of the iceberg. I do like to 420, but no drinking. 
Please tell me a little about yourself and what's your schedule is like too I have weird days off tues. wed.
",33,,,,,,,,,,,,,,,,,,,,,,,,,,,partnered,,
http://providence.craigslist.org/stp/5484333788.html,providence,,2016-03-09 18:21,2016-03-09 18:21,stp,m4m,any MD's that can help,"
Hello,

I am hoping that someone can help with finding a doctor that could help me out. I have a debilitating condition that requires pain medication. I have hopes of getting a script for some percs. I have medical records supporting that need and have been prescribed pain pills in the past. Any help is appreciated. Thank you and have a great day!

",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/stp/5484240579.html,providence,,2016-03-09 17:18,2016-03-09 17:18,stp,w4m,lets smoke tonight,"
No plans tonight looking to meet a normail guy smoke some blunts and chill. Its been a while since i met someone new it would be nice :) leave your name and number and ill give you a call. I wont respond to an endless email conversation.
",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/stp/5484189285.html,providence,,2016-03-09 16:46,2016-03-09 16:46,stp,m4w,Strictly platonic,"
Looking for a woman to show me how to shave my public's off I can host, do you enjoy wine? Please get back an show my how to do it please?
",40,thin,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,divorced,,
http://providence.craigslist.org/stp/5455738253.html,providence,,2016-02-19 18:11,2016-03-09 16:25,stp,m4ww,420 friends m4w,"
Hey how's it going I would love to put on a show for you and I to enjoy. U host me I stop by anonymously enough and put on a show you could even lend a hand if you wanted too multiple cummer hear , 420 cool so how about it let do it
",27,athletic,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,single,,
http://providence.craigslist.org/stp/5483912981.html,providence,,2016-03-09 14:06,2016-03-09 14:27,stp,m4w,Any chicks down to smoke a dude up?,"
Hey all. 

Herbless (at the moment) guy here who'd love to blaze up some tasty herbs on this fine day. Just looking for a cool person (male or female) who'd be down to puff. I'll happily return the favor when I stock up again. 

Drop me a message if you've got some smoke to share with me. :)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/stp/5470061922.html,providence,,2016-02-29 13:07,2016-03-09 14:17,stp,m4w,Looking for a MOM,"
Hello.. i know this may sound strange but not if you never had one or got to know your mom... I would like to find someone out there that may want to be friends.. i never had a mom growing up and would love to know what it's like to have real home cooked meal... i would also in return help you with whatever you may need around your house.. just looking to fill a void i have in my life.. please write me and we can talk more.. thanks...
",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/stp/5470066148.html,providence,,2016-02-29 13:09,2016-03-09 14:16,stp,m4w,Married just looking to talk..,"
Married just looking to talk..... anyone in the same boat? when you talk to your other half do you feel like they don't even hear you!! just fed up looking for someone to talk to... maybe meet .?? are you out there???????? would like someone over 50 but over 25 is ok too... please type TALK in Subject
",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
