url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://providence.craigslist.org/w4m/5484606286.html,providence,,2016-03-09 22:10,2016-03-09 23:33,msr,w4m,looking for a relationship,"
would love to find the right guy to hang out with age and race does not matter I am looking for a long term relationship with someone
",,fit,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,single,,
http://providence.craigslist.org/w4m/5483899882.html,providence,,2016-03-09 13:59,2016-03-09 14:11,msr,w4m,Looking for Love,"

I'm down to earth, laid back, intelligent, straightforward, attractive, honest, respectful, and considerate. I have a great sense of humor, love reading, watching movies and cooking and many other things as well. I'm looking for someone that is similar to me with values and goals in life, that doesn't do drugs or drink heavily. Preferably with a job and a life! Lol But mostly just be honest abd loyal. You must have a great sense of humor because I do and I love to laugh. There is plenty more to tell but I will save some for later. If I sound interesting, don't be shy and send me a note and we'll see what happens. Thanks for reading! 40-50 only!! no picture no respone. thanks.
",46,curvy,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,divorced,,
http://providence.craigslist.org/w4m/5483646633.html,providence,,2016-03-09 11:44,2016-03-09 11:44,msr,w4m,lets be friends,"
I'm looking for a friend I'm always lonely looking for someone to take care of me maybe this could be something more I'd love to go to the casino or dinner or just hang out older men are always welcome please send me a photo let's start chatting and see where it goes and please be serious I don't want games okay I'm a good person willing to do anything to keep a smile on your face I looked forward to hearing from you ...
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/w4m/5483184151.html,providence,,2016-03-09 01:14,2016-03-09 01:14,msr,w4m,please dont judge....just wanna be treated right,"
I am a 35 and in a relationship that in an unhappy in. I plan on leaving this June/July. For the past few years I have dealt with this jerk who had been emotionally and mentally abusive. I have a child and I want to be happy again. 
I like to cook and bake...movies...dinners out...bonfires. 
Would like to find someone who is kind...understanding and sweet. Perhaps you have been in a similar situation or are in one. Please don't judge. Just want to be happy...we all deserve happiness.
",35,,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,,,
http://providence.craigslist.org/w4m/5483137778.html,providence,,2016-03-08 23:55,2016-03-08 23:55,msr,w4m,East Greenwich guy,"
I met a man at Center of NE restaurant parking lot back in Sept. You are a tall guy, married, glasses. I would like to get back in contact with you. I lost your posting and email. Please respond and state your name, most importantly, and which restaurant we met at.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/w4m/5483108034.html,providence,,2016-03-08 23:16,2016-03-08 23:16,msr,w4m,Submissive man wanted to explore,"
I'm new to this so beat with me. I'm looking for a submissive man who wants to explore this side of himself...a learn together kind of thing.

I'm a bbw, 44, and prefer someone younger. ( mid30s)

Please send a photo, your name and location, as well as your thoughts and needs/wants.
",44,curvy,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,divorced,,
http://providence.craigslist.org/w4m/5482004860.html,providence,,2016-03-08 11:02,2016-03-08 11:02,msr,w4m,casino fun,"
Looking for to have some fun maybe twin river or have fun at home ;) older men are welcome I'm all alone want some fun let's have fun I'm looking for a good friend so hopefully I can find one well have a wonderful day please send a photo
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/w4m/5481172031.html,providence,,2016-03-07 18:13,2016-03-07 18:13,msr,w4m,Looking for,"
I am a 28 year old female with an attractive thin but curvy body. Caucasian and brunette. I'm very busy, but fun when I'm available.

My long term goal is a house in the woods with chickens. 

I am super open minded but picky, so be better than everyone else. I will not host.

I have two children and do not want more. Their father is pleasant and active and has them half of the time. I am a non-smoker. I work too much. 

I am seeking male age 27 to 37. Older than this and there seems to be a disconnect in our conversations. Plus, I have young parents and things get weird. I like men who can build things and fix things. I also enjoy men in fields of science and healthcare. I prefer those established in their careers rather than students, just because of our ages. I say ""men"" but I am open to women too because I like both. I only like feminine women. 

As I said, I am busy, so don't expect to meet up soon. But do start a conversation with me. Since I get so many replies, a simple hello with no explanation of who you are will get deleted. I prefer pictures and will usually share my own in return. Thanks!
",28,average,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,single,,
http://providence.craigslist.org/w4m/5449721852.html,providence,,2016-02-15 20:01,2016-03-03 21:42,msr,w4m,Looking for my better half,"
SWF, 50, chubby, big blue eyes, brown hair, 5' tall. Seeking SWM, 35-55, that is interested in friends and possibly more. I am easy going, positive attitude and enjoy many different activities, including sports, dining in or out, long drives, music and movies, and an animal lover. HMU if this sounds good. Pic for Pic. Thanks.
",50,curvy,Jewelry,,,,,,,,,,," 5'0"" (152cm)",,,,,,,,,,Not into it,,,,single,,♋ cancer
http://providence.craigslist.org/w4m/5458436342.html,providence,,2016-02-21 17:25,2016-03-03 21:42,msr,w4m,Naughty or Nice?,"
Hello. I am seeking a real good guy. I don't ask for much. A little attention and consideration. Easy enough. I can meet your needs as well. I am easy going, dd free and quite lovely. I have pics. Give me yours.
",50,curvy,,,,sometimes,,,,,,,," 5'0"" (152cm)",,,,,,,,Friendly & Outgoing,,,,,,single,,
