url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://providence.craigslist.org/w4w/5464415825.html,providence,,2016-02-25 14:44,2016-02-25 15:07,msr,w4w,seductive pleasure,"
Looking for a BBW woman to spend some time with to get to know for some seductive foreplay & teasing .I prefer a white woman with a trimmed pussy.You should live alone so that our encounter will be private.I can be very loving & sensual,maybe a few glasses of wine first.Guess you could call me a pillow princess.please,no couples or men!I look forward to hearing from you whoever you are.I am 420 friendly.
",50,,,,,sometimes,,,,brn,,,blonde,,,,,,,,,,,,,,,married,,
http://providence.craigslist.org/w4w/5464268610.html,providence,,2016-02-25 13:22,2016-02-25 13:44,msr,w4w,curious,"
SWF looking for SF to experience the bisexual scene. 420 friendly a plus. I am a 57 year old hard working woman looking for some company. Could you be the one???
",57,curvy,,,,,,,,,,,," 5'1"" (154cm)",,,,,,,,,,,,,,single,,
http://providence.craigslist.org/w4w/5448382391.html,providence,,2016-02-14 23:50,2016-02-24 11:37,msr,w4w,someone worth it,"
There's no pretending that the feeling of falling in love with someone is one of the 
best feelings in the world pure euphoria You see, I've been hurt. More times 
than should be possible,As much as I love falling in love, I want to be on the 
other side of the equation.I want to be the one you're trying to win over 
You don't have to be perfect.You can have lazy mornings, insecurities, and 
an absurd love for something I'll never understand. I promise to practice 
rolling the letters of the language of you across my tongue, letting them 
slip between my teeth. Promise to recite your name like scriptures and hymns, 
I will make them my prayers so that they will be etched in-between constellations 
so in darkness I will always find your light.Promise to hear each word you brave to speak, 
and entertain the silly thoughts that tickle your smile 

dont be older then 34 please or younger then 20
",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/w4w/5462191644.html,providence,,2016-02-24 06:07,2016-02-24 07:09,msr,w4w,Looking for a female to warm up the weekend,"
Couple in our early 50's looking for a female clean safe discreet We are real send pics and description about yourself . married female looking to explore with a bi curious female I am very sexy An want to touch and be touched with another female that is clean safe discreet. My husband will be there watching not joining unless we agree on him joining in.Would like to find a female that can host but not necessary. I am 5ft 5in pcurvy body 42DD ,shaved. Please when you reply send a pic. I will VOICE VERIFY PLEASE NO MEN .... Thank You
",51,curvy,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,married,,
http://providence.craigslist.org/w4w/5460587956.html,providence,,2016-02-23 04:38,2016-02-23 04:48,msr,w4w,Transsexual female seeking her,"
I am a transgender (transsexual) female. I am non-op, meaning I am choosing not to have sexual reassignment bottom surgery. I am also only physically attracted and into females. I have no interest in men. I am business owner. I am launching a transgender swimwear line this spring so I am a very busy and driven woman. I am seeking a female friendship possibly more. Not seeking just hook-ups. AND NO COUPLES! I am not seeking men! I am 36, bit older but the trade off is I know exactly where I am and where I am going in life. I won't stop pushing forward. Now, I am sitting with my finger on the trigger ready to launch my dreams. I am not afraid. I want to make mine and in the process I want to help mine. As I am an activist for the transgender movement.



I like the simpler things in life, good food, nature, family, long trips, beach days, and grew much out of any party stage. I seek others who I am attracted to, fun, progressive, are DDF (420 and social drinker is ok) open to the my unique identity and attracted to it. I am very open, driven, honest, caring, hard working, and loving to those in my life. I am very dominant and aggressive to those who take issues with my transgender identity and that of others. My activism is the very core of who I am as a person. I live in a nice home in Cumberland, great friends around this world, and I love to travel and do so often around the country. hmmmm what do you want to know? Just ask. Or I have a website. KristyPandora dot com. Feel fee to ask away any questions. I hope to make a friend out here, perhaps 2, or maybe even grow it to more. I am a very independent woman so be aware that although I do not close the door to an option of something more then friends it is an option I am not gunning for right away. I seek to establish friendship and trust and grow from there. =)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/w4w/5460322949.html,providence,,2016-02-22 21:14,2016-02-22 21:14,msr,w4w,"21 Hi, I'm trans. I'm not your fetish. But maybe I can be your girl.","
Hi ladies, I'm a transgirl, pre everything. So yeah...I still have a dick and look like a dude. I'm trying to get on hormones as soon as I can. I'm working on getting a female wardrobe (shopping partners extremely welcome!), and I just want to meet a nice chick who is willing to stick by me through all the changes. I have a nice feminine body already and I think I'll look pretty alright in the end. Just help keep my company during the ride?
",21,athletic,,,,,,,,,,,," 5'7"" (170cm)",,,,,,,,,,,,,,single,,
http://providence.craigslist.org/w4w/5417987156.html,providence,,2016-01-25 00:45,2016-02-22 14:23,msr,w4w,Why masturbate alone when you've got us lol,"
Cute, clean, well-educated couple next door type, but with wild hearts seeking a fun discreet female who wants to watch us play and tell us what to do while you masturbate. No sex expected, but cmon it's so much more fun & maybe even a little freaky to have someone there while you get yourself off!

So if you're cute, cool, open minded and in pretty decent shape, then why not explore our wild sides! Creative conversation would be kinda nice too. If you're curious about what else is out there, let's talk, no pressure or expectations and nothing forced. All limits respected, No pros or games pls. Just be a normal girl, D&D; Free, who is curious like us, who might want to try something new/fun...

Total beginners here so if it's your first time thinking about trying this, we're with you all the way. It took a lot to place this ad. We know it's easier to get horny, just think about it, finish yourself then never think about it for a long time. But let's put forth the effort to actually meet people in this electronic age lol once we do, we might have something very special to look forward to. And btw we're 100% real, not picture collectors, let's go for it & see where it goes!!

Can't wait to hear back from you!!!
",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/w4w/5458434152.html,providence,,2016-02-21 17:24,2016-02-21 17:49,msr,w4w,Looking for a newbee,"
Hello. I am a SWF, looking for someone inexperienced like myself so we can give it a go. I am nice, clean, dd free and I am intelligent. I can hold good conversations and I like to listen. We could be friends. Let's see what we can do. Please contact me.
",50,average,,,,,,,,Blue,,,Curly brown short," 5'0"" (152cm)",,,,,,,,,,,,,,single,,
http://providence.craigslist.org/w4w/5410601791.html,providence,,2016-01-19 18:44,2016-02-18 14:05,msr,w4w,Married F 4 Married F,"
Hi ladies
32yo married f looking for someone similar
NO MEN please and there will be no male involvement
I have a career, love to have fun, very femme please be the same
d/d free, social drinking is fine
Your pic gets mine
",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/w4w/5453140875.html,providence,,2016-02-18 02:44,2016-02-18 02:44,msr,w4w,Looking for experience,"
I've recently come out as bisexual. I've never been with a woman before so I'm looking for someone willing to show me the ropes :). Your picture gets mine in return. Women or couples only please.
",23,curvy,,,,,,,,,,,," 5'3"" (160cm)",,,,,,,,,,,,,,single,,
http://providence.craigslist.org/w4w/5447505880.html,providence,,2016-02-14 10:36,2016-02-14 10:52,msr,w4w,Dom female for long term sub,"
I'm a Dom female looking for a female sub. No men please. drop me a line. I like to be obeyed. If you like to do as your told drop me a line.
",34,average,,,,,,,,,,,," 5'3"" (160cm)",,,,,,,,,,,,,,single,,
http://providence.craigslist.org/w4w/5447227865.html,providence,,2016-02-13 23:55,2016-02-14 00:05,msr,w4w,Friendly gal looking for the same,"
This is not an easy task - I have had several ads up and they get me no where! I am looking to spend some time with you, cuddling and laughing and smiling. I like to have fun - outside and in and need a partner in crime. I have pets and the pup loves to go to the dog park. I like live music and a comfy blanket. I enjoy coffee, frozen yogurt and being in the sun. There is so much more to say but CL is not the place. Email me and see if we hit it off - I will provide a pic for the same.

Please put ""glitter"" in the subject line for consideration of response.
",30,average,,,,,,,,,,,," 5'1"" (154cm)",,,,,,,Human services,,,,,,,partnered,,
http://providence.craigslist.org/w4w/5446984604.html,providence,,2016-02-13 18:58,2016-02-13 19:15,msr,w4w,small BBW,"
What's up I love bbw ' s not shy. Who is willing to meet face to face. I'm 420 female drive work live alone. Looking for a little friend and seeing where it goes. Send a pic. Please have all ur teeth.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://providence.craigslist.org/w4w/5446040930.html,providence,,2016-02-13 08:04,2016-02-13 08:51,msr,w4w,Xxx playmate,"
Lookin for a hot n horny girl to get together occasionally to lick each other's pussy and more. So wet...........need a booty call who is too.

MUST LOVE PUSSY 

Open to a female couple / all girl group. Discreet. No strings. Don't wanna be friends. 

Age and build don't matter......must be clean n drug free. Email with pics for return pics right away. 

No men.
",27,average,,,,,,,,,,,," 5'6"" (167cm)",,,,,,,,,,,,,,,,
http://providence.craigslist.org/w4w/5445679433.html,providence,,2016-02-12 20:23,2016-02-12 20:45,msr,w4w,Submissive openminded fem needed NOW!!!,"
Very unique Blk DD free strong stud needs a DDfree submissive fem who is also very openminded... Do you know how to keep what you want? Do you know how to show your keep? If you say yes to both then wait no longer your blk stud awaits for your show and tell ... Do you think you have what it takes to hold on to this UNIQUE strong stud? ... Do you feel lost without someone to pamper and be pampered? Are you stressed that you can't find someone who understands your need for a Daddy/Sir in your life?... Reply with the words (save me) and tell me why i should have you in my life.... I am hosting.... Pssss i enjoying long text
",46,athletic,,,,,,,,,,,," 5'5"" (165cm)",,,,,,,,,,,,,,single,,
http://providence.craigslist.org/w4w/5414311335.html,providence,,2016-01-22 10:50,2016-02-12 11:25,msr,w4w,"Sensual, attractive WF seeking cool chick to hang out with","
I am a very good looking, in shape, fit, educated and well-traveled white female looking for a cool chick to play around with. I am 5'4, 110 lbs and extremely sensual. Looking for a long term friend to have fun with - dinner, go out, massages etc.

You just have to be a normal person who can hold a decent conversation.
",,thin,,,,,,,,,,,," 5'4"" (162cm)",,,,,,,,,,,,,,,,
