url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://seattle.craigslist.org/sno/m4w/5490655522.html,seattle,sno,2016-03-14 09:47,2016-03-14 09:47,msr,m4w,Honey Bee,"
Just curious if any sane ladies actually visit here looking for a companion or date?lol 
Looking for a kind hearted, attractive, active, kids and dog/animal loving lady. I am choosy but not prejudiced or judgmental. 
I am caucasion if that matters. I'm family oriented, love outdoor activities. Love all sorts of music, live shows. Too many likes and dislikes to get into in an ad. 
Please type "" Honeysuckle"" in the subject line so I will know you are not fake?
",40,average,,,tobacco products,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,single,,
http://seattle.craigslist.org/kit/m4w/5484240313.html,seattle,kit,2016-03-09 14:18,2016-03-14 09:42,msr,m4w,A brutally honest take.,"
I've tried almost every dating site there is. I don't think anyone would label Craigslist a ""dating website"" but what's the difference because this and the countless others? Nothing really. In the end everyone is looking for that one person. The thing is that one person might be for one night or one lifetime. I've seen it all. So have you. We probably come on here because it's more anonymous than others. No pictures are needed. I can almost guarantee a large % of the people reading this are in a ""committed"" relationship or even married. 
So why come here? Because they're fucking bored. They want to know someone else out there still appreciates them. Someone that will still say they're beautiful and sexy. Single or in a relationship, it's about curing the boredom. We want that fix. We want to know that at any moment there's someone who will reply and give us that rush. That feeling of euphoria that our lives are missing. 
How many times have you been talking to someone for minutes, hours or days and you think to yourself, ""This person gets me!"" ""How come I am telling them all this personal stuff without ever meeting them?"" Wanna know why? Because there's no fear. There's no judgment. You can admit to all the reckless, slutty, criminal, mischievous things you've done inside and outside of relationships. We all want someone we're not. We want someone who will take us to that higher level. We either want to fix someone enough so they're who we want them to be, or we want someone to fix us and carry us to a new path. We want someone who will light a fire. Someone who will transcend all the bullshit. Someone who will rock our world inside and outside of the bedroom and keep us coming back for more. 
But what are we doing about it? Are we the best person we could be? Do we love ourselves and our bodies enough to warrant all the fantasies we have in our minds? Are all the good ones taken or are we just one of the others? The others who float through life. Paycheck to paycheck. Counting down the hours at work until you get that next bottle of wine popped open. Craving for that Facebook crush to FUCKING SEE ME. 
We're all fucking damaged in some way. That's why we're here. Whether you're a gorgeous 10 or a so-so 6. Whether making 25k a year or 250k. We're all damaged. We all have that one person(s) who we would give anything to shove it up their fucking nose just one time. ""See me now motherfucker!?! Take a good, hard look at this!!"" 
But it's all a dream. A fantasy. Or is it? So we settle. Settle for ourselves and settle for someone who doesn't treat us the way we want and deserve. Settle at a career that is BS. A boss we would love to send to Syria for a few weeks. We settle for some boring ass sex when deep inside we want to be fucked like a porn star. We settle for not helping ourselves. What's one more cookie? One more doughnut? I'll go to the gym tomorrow. ""If they can't love me for who I am then they don't deserve me anyways!"" That's BS and inside we all know it. We need to cling to an excuse. 
The good ones in life will let you go if you're not doing enough for yourself. They can't be bogged down by your average existence. Proximity is power. Why hang around a loser when there's success around the corner? That's what I've realized. It hurts. But it works. You will NEVER find the one if you're average. It's better to be at rock bottom and show someone that you have the ambition and drive to be a success than just average. 
That's all I got. If you read it this far I thank you. You just proved you're more than average.
",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/see/m4w/5473012834.html,seattle,see,2016-03-02 08:26,2016-03-14 09:39,msr,m4w,any asian girls on here,"
come pick me up and we can hang out im open to race as long as you look good im just testing the waters so if you would like to meet me ill be in south seattle THIS HAS TO BE DICREET IM 100% REAL WITH NO STDS YOU BE TO
",24,,,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,,,
http://seattle.craigslist.org/sno/m4w/5468870270.html,seattle,sno,2016-02-28 13:01,2016-03-14 09:39,msr,m4w,any cougar around,"
Here is my number looking for someone that has a high sex drive please send pic 406 two three three nine one zero eight 

",25,average,,,,,,,,,,,," 6'2"" (187cm)",,,,,,,,,,,,,,single,,
http://seattle.craigslist.org/est/m4w/5455034606.html,seattle,est,2016-02-19 08:26,2016-03-14 09:39,msr,m4w,THREE SOME,"
We are in our twenties and can host or travel be STD free and not obese please send pic in first email and phone number if you want in please be on birth control we can dp u
",25,average,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/est/m4w/5490545520.html,seattle,est,2016-03-14 08:49,2016-03-14 09:38,msr,m4w,There is a secret side to you,"
Yes, a secret side. 

Yes, you are mature; So am I

Yes, you seek respect and understanding; Of course, it is my nature anyway.

You want a non-pushy friend; shall we begin with a relaxing drink meeting?

Your secret side will remain a secret; Discretion promised

Your secret is how much you think about naughty things; A secret but very normal

You want to be spanked; I understand it is MORE than a spanking.

You're nervous; Good, normal and respected.

You want to respond but are uncertain; Do it and pause to see how it made you feel

I am 50, divorced, 6' 180 educated, articulate and fun. A good friend. 
",50,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,divorced,,
http://seattle.craigslist.org/see/m4w/5490606916.html,seattle,see,2016-03-14 09:21,2016-03-14 09:34,msr,m4w,Is it really that bad?,"
Sitting here bored watching tv, and a woman nails a guy in the crotch. He does the usually reaction, drops in the fetal position and moans like he's dying. 

I've never been hit like that before and wonder if its really that bad? Just like any other guy I've had the occasional tap, but seems like the other guys are playing it up. Of course its uncomfortable but it never hurt anywhere near how I see other guys react.

Since I don't have anything else better going on I figured I'd hit up craigslist and see if there is a woman bored as I am who'd want to find out as well. Maybe meet up for drinks first, lol. Could even make it interesting and place a bet on it.

A little about me, I'm 28, 6ft, in good shape, and maybe a little dumb for doing this. Guess Ill find out.
",28,athletic,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,single,,
http://seattle.craigslist.org/tac/m4w/5490479256.html,seattle,tac,2016-03-14 08:11,2016-03-14 09:34,msr,m4w,Looking for a Goofy Sweet Girl...,"
Are you the sweet girl that makes me walk into walls with excitement? I'd really like to chat and see if we're the right fit... I'll prove that there ARE good guys out here. 

Yes, I'm married, sleep alone, and obviously not content. I'm tall, yet bigger than no one, very active, and have a goofy sense of humor. I'm always VERY positive and respectful. Shy, not to timid, but will likely trip over furniture when seeing you for the first time... 

A smile says a lot about someone... How easy does your smile appear when we're around each other? Do we smile at the mere thought of one another?

It's ok, it's e-mail, you won't see me sweating or stuttering when writing a response. I may be nervous, but not nearly as nervous as a Crash Test Dummy stepping into a car after 7-cups of coffee.

If you end up with me being the right person... Then I would be honored to be the best thing that ever happened to you. Please send a pic so I can put a face with what you say, I'll do the same. What the hell... Let's give this a try! 😄
",48,average,,,,,,,,,,,," 6'6"" (198cm)",,,,,,,,,,,,,,,,
http://seattle.craigslist.org/tac/m4w/5476351655.html,seattle,tac,2016-03-04 10:37,2016-03-14 09:33,msr,m4w,Trying again! Sexy officer looking for sexy women,"
Hi
I'm a good looking guy 
40 y/o, in very good shape. 5'10' 195lbs
I'm educated and have a professional job, I've worked in law enforcement now for 15 yrs.
I'm looking for a sexy women to date and get to know 
Being willing to meet for coffee eventually 

Please send ur number and pics
",,athletic,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,single,,
http://seattle.craigslist.org/see/m4w/5470483232.html,seattle,see,2016-02-29 13:58,2016-03-14 09:32,msr,m4w,Rapunzel! Rapunzel! Let down your hair!,"
Several insincere responses so far, but I keep trying! :)

Long hair is H O T. I have basically given up on trying to deny this fact, and I admit it must be a serious fetish of mine. Braids, buns, brushing, ETC. OMG, I might worship you forever if you are just reasonable for the duration! Please respond IF you have long hair or could be talked into it and would like the attention (short or long-term; I am not ruling out anything) of a middle-aged, smart, good-looking, tall, athletic REAL MAN. This is a good start, and I am also looking for some good character and REASONABLE physical fitness.

More about me: 5'11"", 170#, athletic, no beer belly, good-looking, smart, employed, nonsmoker, no PROBLEMS with drugs/alcohol. Maybe you have your own ""thing"" that trips your trigger. Maybe you would just like being worshiped. We could help each other as good matches. Tell me!

Experience requires that I write the following:
Deal-breakers: extremely poor attitudes (depression appears to be rampant around here), misdirected anger (possibly related to depression; please, I am not ""that"" guy who hurt you so recently or long ago), mere exhibitionists (internet show-offs with zero intention of ever meeting; if you want to show off in my actual presence, I am all for that :) ), and anybody looking for any excuse to hate on a stranger. That pretty much covers it. Otherwise, I am actually quite tolerant.
",47,athletic,,,"smoking, bad attitudes, laziness",,,,,,,,," 5'11"" (180cm)",,,,,,,,extroverted introvert,,,,,never,single,,
