url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://seattle.craigslist.org/tac/msr/5448654399.html,seattle,tac,2016-02-15 06:41,2016-03-14 08:49,msr,m4m,Searching for my wrabbit?,"
Are you putting all of your eggs in one basket? Maybe you're feeling like me now whereas you too are tired of the 'casual encounters' or 'men 4 men' post that only lead back to you being alone and feeling no other connection with someone outside of sex? You're tired of playing the game with all of it's hangups and/or the little bit of gratification that comes from responding to those post? Maybe you really do want something more?

Well, God only knows that I've had my share of this and while I have no regrets over it, I now know that I want more in my life than just that. I would like to meet ONE (local in Tacoma) Gay guy out there that knows what I'm talking about and that is truly looking for a little 'miscellaneous romance' now in their life. I'm a romantic TOP wanting to share with a romantic bottom.

If you think this might be you and what you're looking for, please feel free to respond back to me for a chat and see what happens. The 'one and only' thing that I expect from anyone responding is that you're totally honest with yourself and what you want. It's that simple. (or so I thought) Lots of responses with very little to do with romance! Come on guys! Does anybody remember how to be romantic, how to share or simply how to have an interest outside of the bedroom?

NOTE: I've gotten a lot of responses but this is NOT for a sexual hookup guys! So please don't waste our time by sending me your sexual interest with cock/ass pics! You will be deleted. 

",61,average,,,,,,,,brown,mustache,,brown," 5'6"" (167cm)",hiv- and d&d free,,,,1 ON 1 MAN SEX with other white guy,,,easy going,,,,,daily,single,143,
http://seattle.craigslist.org/see/msr/5471032421.html,seattle,see,2016-02-29 22:16,2016-03-14 08:25,msr,m4w,Married and I shouldn't be posting this...,"
Same story as every other one of these ""married seeking"" ads, only I'll try to be more honest (except to my wife, of course). Looking for a female connection out there. It's fine if its just online. I'm not looking to have sex with anybody. Perhaps be a little naughty by emailing with a ""secret someone""? How sad is that? Hahaha. Gad, I feel lame. Oh well. Maybe you are the same? If you respond, I guess that would make you a 'same-lame-dame' ?

Yes, my jokes are lame too. You'll have to put up with it. 

I'm tall, lean, brown hair, blue eyes, active/athletic, if you care. Well even if you don't care, that's me. I love running and just about any outside activity. Except stepping on slugs in bare feet.

I look forward to hearing from you. :)
",40,thin,,,,,,,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,married,,
http://seattle.craigslist.org/see/msr/5476610392.html,seattle,see,2016-03-04 13:02,2016-03-14 08:24,msr,m4w,Steamy chat/mail,"
Let me say off the bat that I'm just a ""normal"" sexual guy...no out-of-the-box sexual desires. No diaper or panty fetishes, I don't want to be whipped by my mother (or father), not into eating my own poop. ;) Not a machismo.

But I do have an imagination that isn't being used right now...and I'd like to. Are you interested in some steamy chat today? Cool. Write me, and we'll see if we are compatible. :) Fun!
",39,thin,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,,,
http://seattle.craigslist.org/sno/msr/5490351629.html,seattle,sno,2016-03-14 06:48,2016-03-14 07:09,msr,m4w,"Seeking a sexy, open-minded B woman","
I am a 46 year old, attached, straight, masculine guy, with a fetish for wearing silky lingerie. (Silky panties, teddies, thigh high nylons, garter belts....... etc......)

Seeking a sexy, open minded woman, that also enjoys dressing in sexy, silky things, for some nsa sexual fun. I am completely discreet, open minded, safe sane, and definitely ddf. Seeking the same.

I am in the Everett area. If you are a woman that works for B in the Everett factory, that would be a definite plus .......... :)
",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/see/msr/5487388918.html,seattle,see,2016-03-11 19:32,2016-03-14 06:12,msr,m4w,Looking for someone with similar interests,"
I am hoping to meet someone that enjoys any of the following: trivia nights, Scrabble, horror movies, concerts, trying new restaurants.

As for me, I am tall, attractive, professional, open-minded. I have a quirky sense of humor and it would be awesome if you did too. I am in an open marriage and while a similar situation is preferrable, it is not a requirement.

Let's meet up and see how it goes. If you'd like to send a photo with your reply, great. We can exchange them later on as well.

Please enter ""Washington"" in the subject line so I know you are not a bot (and paying attention!)
",,fit,,,,,,,,,,,," 6'5"" (195cm)",,,,,,,,,,,,,,married,,
http://seattle.craigslist.org/sno/msr/5490261596.html,seattle,sno,2016-03-14 05:20,2016-03-14 05:20,msr,m4t,Lets get mind fucked and kinky,"
I wanna play with a sexy trans girl tonight and I have favors to share with you. Be passable and have pics for for first response. I love to share my white girl and get dirty. Hit me up asap if your serious send your # or kik in first email it's easier btw I'm a freak and I love to please my partner. I can suck a beautiful she cock for hours. If you want someone who's only desire is to pleasure you in every way let me know asap I'm looking for now ;)
",23,hwp,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,single,,
http://seattle.craigslist.org/tac/msr/5490252409.html,seattle,tac,2016-03-14 05:06,2016-03-14 05:06,msr,m4w,Spanking,"
Hello and thanks for looking at my post. I am searching for a woman who likes or wants to explore being spanked. If you are interested shoot me a note and we can see if we click.
",41,average,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,married,,
http://seattle.craigslist.org/see/msr/5462047776.html,seattle,see,2016-02-23 20:41,2016-03-14 04:59,msr,m4w,lets have some erotic fun,"
Open to taboo, kinky or just vanilla.
Looking for female, select cpl that the wife is involved.
I am HWP, not shy. Willing to text for those that are serious.
put your city in the subject line please
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/see/msr/5450131220.html,seattle,see,2016-02-16 04:50,2016-03-14 04:59,msr,m4w,still looking for a taboo woman,"
I have posted a few times before looking and have chatted with some fun people but that is as far as it has gone. those that were taboo flaked and never kept in contact after they say they want to meet. 
Others just fishing for pictures or just guys acting like women.
Then the women that were real just were not really taboo and I think got scared off when I said what I thought taboo was.
Like I said most were really nice, just never went any where.
I am not quite a senior, but not a flaky youth either, STD free, kinky and taboo, open to all women and select cpls where the woman is involved and does the replying.
Please put a what taboo you like in the subject line so I know you are real.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://seattle.craigslist.org/see/msr/5469488675.html,seattle,see,2016-02-29 00:07,2016-03-14 04:32,msr,m4w,looking for petite asian girl for ltr 35 50 years old,"
Looking for a nice asian girl for long term relationship!
i am honest and trustworthy.
52, no kids, single, 170, 6 ft, slender build, happy and stable!
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
