url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://sfbay.craigslist.org/sfc/m4m/5465059255.html,sfbay,sfc,2016-02-25 19:55,2016-02-25 20:16,msr,m4m,Horny tonight near union square,"
5'9/145/ddf/asian. please be around my age and decent looking up for anything safe. send over some stats/pics for a reply. visiting the area and I can host or travel.
",25,fit,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/pen/m4m/5465075252.html,sfbay,pen,2016-02-25 20:15,2016-02-25 20:16,msr,m4m,hairy man needs oral,"
I prefer to meet bi or married..
You must be good looking and athletic.. Send me your stats and a photo ... Only looking for safe and disease free ....you must be clean ...I can host Saturday night after 7:30 PM
",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/sfc/m4m/5465075123.html,sfbay,sfc,2016-02-25 20:15,2016-02-25 20:15,msr,m4m,Cock worshiper seeks extended feeds,"
Quickies work for some, but I like to take some time really looking after another dude's cock.

White, 36, lean/clean, 7.5c, fair skin, nice body/ass. Prefer regular feeds. Doesn't have be be tonight but I am starved right now.

I like men between 30-50, cut or uncut, that like regular attention. Authentic, verbal, lots of precum, and extended play--A++++.

I swallow and have a place.
",36,athletic,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/pen/m4m/5460507004.html,sfbay,pen,2016-02-22 21:46,2016-02-25 20:15,msr,m4m,asian cool night for you,"
Asian cool night for fun for a guy who can help my $ills. Safe only. You host. Clean and hiv neg, std free is a must. Reply your pic and status
",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/pen/m4m/5438138397.html,sfbay,pen,2016-02-07 16:15,2016-02-25 20:15,msr,m4m,wanna feed me your load?,"
cum over and feed me your load
love swallowing cock and juice
discreet here
5'10 wht 165
",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/sfc/m4m/5465047829.html,sfbay,sfc,2016-02-25 19:41,2016-02-25 20:15,msr,m4m,Anyone want to trade a Bj or hj for an uber or lyft ride?,"
You pick me up and on the way to my destination we have a little fun. Down to blow you or just give a hj. Clean and neg only as am I. 

Send pic and I'll send my location 

Looking now till this is up.
",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/nby/m4m/5454179622.html,sfbay,nby,2016-02-18 14:50,2016-02-25 20:14,msr,m4m,car head,"
want to suck your dick to completion your vehicle or mine, know of a few spots, I can deepthroat and will swallow, no questions asked just pull out your dick and let me suck you off. I'm std hiv free very discreet.

Im masculine and fit.

Currently near the jc but can travel anywhere in sr for good dick.
",30,fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/sfc/m4m/5451483381.html,sfbay,sfc,2016-02-16 20:34,2016-02-25 20:14,msr,m4m,"Need A Successful, Powerful Guy in My Life","
I'm looking for a successful guy to take me into his life, take me under his wing, and lift me up to a better life.

A little about me, I grew up TX, graduated valedictorian, went to school in DC, majored in international affairs and French, worked at the State Dept. Graduated summa cum laude, moved up to NYC to find work but just couldn't make a career and was struggling. So I had to move back home. :/ 

Decided to stay in Dallas. I thought I wanted to go to law school, but I'm really lost right now regarding career options. Now I'm looking to get back to the in the game, in preparation for a better career and maybe law school in future. Which is why I'm looking to be with a good guy, someone to mentor me, spend time with, and really put in the effort to helping each other. So I'm open for anything life has to offer. I'm still in Dallas, have a job, a car and a place, but I'm looking to move back to the West Coast now and find a partner. 

With regards to guys, I'm looking for a successful, good, genuine guy to have amazing times with and see where it leads. Someone to help make me better in life. Definitely someone to invest in me, elevate my life and lifestyle, and someone to help in my own way, on many different levels, physical, emotional, intellectual, spiritual. Would be amazing to find a mentor to help me realize my goals. And I'm completely open and would like, eventually, a relationship with someone who genuinely cares about me. Whatever that relationship is, I'm open to the possibilities. 

I'm fun, outgoing, driven, intelligent, wise beyond my years, talented, love tennis, boxing/kickboxing, the outdoors, piano, gym, running, healthy lifestyle, languages (lived in Paris a year and speak French fluently), as I want to travel to as many countries as possible as I love being cultured. I'm sincere, trustworthy, honest, caring, I don't smoke, no drugs. 

So I'm an all-around good, guy...a Renaissance guy. 26, white, 5'11'', 165, dark blond, blue/green. I can definitely send pics to serious inquiries. I want to know that you're real. 

Please someone out there help me out in life. I can give so much more. Fate don't fail me now.
",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/sfc/m4m/5465073744.html,sfbay,sfc,2016-02-25 20:13,2016-02-25 20:14,msr,m4m,Are You a Young Hung Full of Cum Twink Top?,"
It's a huge plus if you look anything like this pic.

Open, at times, to being gen, for students, in need.

I'm a very oral, cocksucker, sub, bottom, handsome, daddy type, white guy here. I'm neg, DDF, and recently tested.

I'm usually into young, hung, studs, masculine or fem, but will consider anyone hot. 

Please fuck my face, use my ass, do what you please, even bring your buddy or partner to share me with.

Also, send stats, face and x pics and what you're into and up for.
",,,,,,,,,white,,,,," 6'1"" (185cm)",Neg,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/sfc/m4m/5465073583.html,sfbay,sfc,2016-02-25 20:13,2016-02-25 20:13,msr,m4m,Jerk Bud,"
26 y.o bi curious Latino 
Good looking & hairy
150 lbs 
6in uncut 
I'm DDF you must too
Need to travel.

Send stats & a face pic for a reply.
",26,fit,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/sby/m4m/5465073313.html,sfbay,sby,2016-02-25 20:13,2016-02-25 20:13,msr,m4m,Anyone Freeballing & showing off,"
I'm freeballing in running shorts right now. Feels so good. Come by freeballing too and showing it all off and join me. Show off for me. Sit down and let it all fall out. If you want, strip for me. Play with your body and get yourself all hot and bothered. Bring a hot buddy and play with each other while I watch. It's warm enough for outdoors in the back yard if you're game. Then... Touch me, lick me all over, kiss me, rim me. Pleasure me. Edge me and tease me 'til we blast our thick creamy loads all over each other. Private home in downtown San Jose.

I am 5ft 10in, one sixty #, 7.5""c, big balls, and hot nips hardwired to my cock. Let's make it a regular event. Please be smoke/tobacco and drug free.

Want a reply? Send a detailed description of what you look like including hiv status and what you like. Otherwise no reply. Send a clear pic, too if you want one in return. Let's have some fun.
",59,average,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,single,,
