url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://sfbay.craigslist.org/sby/m4w/5465066620.html,sfbay,sby,2016-02-25 20:04,2016-02-25 20:04,msr,m4w,I shouldn't be on CL!,"
Hello,

I've been told more then once that I shouldn't be on here but my friend and his wife met on here and I am hoping to be surprised.

I am a good guy who does all the right things looking for a long lasting relationship with a good women.

If you are looking for the same get back to me so we can be surprised together.
",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/sby/m4w/5465066285.html,sfbay,sby,2016-02-25 20:04,2016-02-25 20:04,msr,m4w,Not looking for perfect! Just perfect for me!,"
age: 40

Hi,

I know CL isn't the best place to look but I know people with success stories.

I am a decent guy with a good head on my shoulders, easy going, drama free, no kids, don't drink or smoke, live alone, make 6 figures+, close friends and family, work out, sports minded

Looking for decent women who is smart, career minded, easy going, height and weight porportionat, drama free

Hope your out there
",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/nby/m4w/5465066045.html,sfbay,nby,2016-02-25 20:03,2016-02-25 20:03,msr,m4w,Special Arrangement,"
Hello Ladies.. This is my indecent proposal. I am a successful Black male living in Sonoma County. I have my own house, cars and money. I have a good Job. Im fun, spontaneous and lovable. So why am I here you ask. Its simple. I am in need of something special. Hopefully I can find it here. What I am looking for is a SUPER SEXY WOMAN. Not a girl but a WOMAN. I don't need a cook or a maid. I can cook my own meals and clean my own place. I do my own laundry. What I need is a live in GIRLFRIEND! Im super Kinky and love the adult lifestyle. In exchange, what do you get? A nice place to live rent free. Weekend trips and lots of fun. 

I am not concerned about your race, your past of your money! You don't even have to work! What I am concerned is about your attitude. I need you to be friendly, social and know how to work a room. what I mean is know how to have fun. 
You need to be HWP. Hopefully have long, flowing hair and a nice ass. Im an ass man! 
The beauty about this whole thing is you don't have to reply. I can ask for exactly what I want and if she wants the same thing.. she will reply. Age is not a factor as long as you are young at heart. 
To be considered, submit a pic and tell me about yourself. Don't be shy
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/nby/m4w/5459204582.html,sfbay,nby,2016-02-22 07:19,2016-02-25 20:02,msr,m4w,***BIG LIPS???***,"
well.....it feels weird posting this, but I guess this is the benefit of CL and the internet, you can just put it out there. I love big vagina lips. It is such a turn-on to see them hanging down between a curvy ladies thighs. I love to taste them. I love to see them wrapped around my member. I can't explain it. I am a normal guy with a good corporate job, but sometimes I just lose my mind thinking about them. I would love to see yours and get to know you. I would treat them right!!!
",39,athletic,,,,,,,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/nby/m4w/5459208904.html,sfbay,nby,2016-02-22 07:21,2016-02-25 20:02,msr,m4w,ANY LATINAS WHO LIKE WHITE GUYS?,"
this first time a curvy latina turned back around to me as I was behind her and called me papi, I was sold. I've been addicted ever since. I am a normal guy with a good corporate job, but just love me some latina curves. Are you out there?
",39,athletic,,,,,,,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/sfc/m4w/5446527624.html,sfbay,sfc,2016-02-13 10:42,2016-02-25 19:57,msr,m4w,Latina???,"
Cool, Calm and Collective...
I am interested in dating someone of Latin decent. 
I have a (mixed) family, great relatives and great friends am very family oriented with strong family values even though I have no children. 
I am hoping to find one cool, smart, passionate, sexy woman who wants to date and ultimately build a fun and exciting relationship. Someone active for fun activities (winetasting, comedy, hikes etc.). Here's a few things about me, I am 6' with a great personality, excellent communicator, fun, Black (mix), 40's, energetic, and above all else very single male.
Share something about you if you respond. I don't send photos until or unless something seems possible. 
Tell me something about you should you respond... otherwise I will not respond and will delete. 
Place your favorite color in the subject line so I know you're real.


",,hwp,,,,,,B.S,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,single,,
http://sfbay.craigslist.org/sfc/m4w/5446565402.html,sfbay,sfc,2016-02-13 11:05,2016-02-25 19:57,msr,m4w,2 Women and Me (1 male) living together,"
Yes this is something I have thought about for some time and ultimately more if all goes well. 

First let me say this isn't just a sexual connection I am interested in exploring all life can offer. Yes I would embrace the idea of 3 of us living together harmoniously in a place where we would share the bedroom, cooking, movies, travel, concerts... all things we as a unit could/would enjoy. No secrets between us! It will take uniqueness and unique people to have this clear and cerebral process to occur. For me I am a conversationalist and would like us to have a world view (politically) and have an active participation in helping to change the world. As for visual... yes we must be attracted to each other in order for this to work. Should you respond please share why this may interest you and share things about you so I know you're taking this seriously.
Summary of interest:
Seeking someone free who's active and doesn't mind sometimes taking a hike, getting out of the city or head somewhere on weekends, someone adventurous. I am (Black) come from a loving family and an awesome group of friends. Seeking sexy, sassy, good, loyal, fun person (s) wants to enjoy (music, restaurants, wine tasting, art, the beach, lazy Sunday mornings, sports sometimes with me). 
The bottom line is finding a cool, fun, (decent shape or working on this), smart, worldly, stimulating, passionate in mind, spirit and body. I am tall (6') a lean athletic build (175-180 lbs.), cultured, educated and a career professional. 

If you're interested and available with little to no baggage ready and open to this possibility and if you have a female friend open to this as well... let's talk.
Place a movie title in (SUBJECT LINE) if you respond and please share something about you in detail so I know you've read this. I am a nice (decent looking... all in the eyes of the beholder) looking Black Male in my 40's.
Have a great day!

",,athletic,,,,,,,,,,,,,,,,,,,,,,,,,,single,,
http://sfbay.craigslist.org/eby/m4w/5465040921.html,sfbay,eby,2016-02-25 19:32,2016-02-25 19:56,msr,m4w,SWM for MIDDLE AGE BLACK FEMALE,"
I am posting in the relationship section because posting under ""casual encounters"" returns nothing but spam.
I am looking for an ongoing NSA situation with a sane woman of color seeking similar.
I am looking for ""one"" woman who Ike's white guys for a 1-2 times a month get together for dinner & a good time. I am 49 ,blonde (thinning) hair am told I look like Sting a lot. I am ok with a few extra pounds,it is more about a connection. I hope to hear from you and please send a pic and I will return mine with reply.
",49,average,,,,,,,,,,,," 5'10"" (177cm)",,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/sfc/m4w/5446524769.html,sfbay,sfc,2016-02-13 10:41,2016-02-25 19:56,msr,m4w,Let's get to know one another,"
Under the stars with a glass of wine (or two) with soft music and a crackling fire in the background. My interests and thoughts are to meet someone in SF to share laughter, smiles and walks to get to know each other and perhaps develop something long term. Hopefully you live in SF which makes it easy and more interesting if we want to see each other throughout the week for dinner, drinks or just hang out. I am athletic, lean, tall and currently wear a goatee and have short hair. Race has never mattered to me, I am Black in my 40's and from the eastcoast. My ideal woman is someone with a fun, sassy, sensual side who keeps herself in some shape, eats healthy food and someone that's an incredible conversationalist as am I. I am a spiritual person (part American Indian), a lover of all types of music, comedy, travel and enjoying this life we have been given. Send some information about you if you respond so I can have an idea who you are and the type of person you are. 
BTW... I have no children. There is no drama in my life with an ex-anyone and I'd like to remain drama free from the games and episodes of any of the nonsense. This makes me seem serious and in many ways I am... but I am also loads of fun... can cook, dance and can make your eyes water with laughter. Interested???

Good Luck,

Unicorn
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sfbay.craigslist.org/eby/m4w/5442834998.html,sfbay,eby,2016-02-10 18:58,2016-02-25 19:54,msr,m4w,Are you into water sport?,"
Hi I looking for a woman who are into water sport,golden showers I just have a fantasy about that,and I want to make happen if you are a woman into this please contact me I want to feel you on my mouth on my body or any part, I can provide the place on any city.
",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
