url,city,subcity,datetime_created,datetime_updated,category,type,title,text,age,body,body art,diet,dislikes,drinks,drugs,education,ethnicity,eye color,facial hair,fears,hair,height,hiv/hsv/hpv,interests,"kids, have","kids, want",likes,native language,occupation,personality,pets,politics,religion,resembles,smokes,status,weight,zodiac
http://washingtondc.craigslist.org/mld/m4w/5488539609.html,washingtondc,mld,2016-03-12 18:02,2016-03-14 12:00,msr,m4w,Petite/fun size? Let's meet,"
Handsome, clean cut man on the shorter side but still attractive 😊.
If interested text your pix (send more than one) and height/weight to twofourzero twofourtwo ninesixsixnine and let me know what you're looking for. I'll reply with mine and we'll go from there.

All races and ages under 35 welcome. Petite and/or slim WOMEN preferred, the smaller the better.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/m4w/5490536923.html,washingtondc,nva,2016-03-14 11:44,2016-03-14 11:56,msr,m4w,Unhappy in your current situation/lonely? Married?,"
Being with a married woman is not new territory to me. I actually get turned on by the situation. Knowing that I can fulfill the needs of a woman where another cannot feeds my dominant nature. And when I say dominant, I don't mean domineering. I like to be respectfully dominant. That is to say, I like to be on top more often than underneath a woman. I like to pin down wrists, hold up legs in the air, pull hair, spank, bite, and generally display that I am in power. I like a woman to feel comfortable and safe, but also understand that in the moment, she is entirely mine. 

There are few feelings greater than when all of that runs together like a well-oiled machine. As for the conversation side, I have three degrees so I have been very well educated and have the mental capacity to talk about many different topics that don't involve sex.

Ideally, I'd like to find a woman that wants something longer than just a crazy weekend, etc. I'm open to everything though so don't be shy in replying. I'd like to say that my situation is complicated and hosting won't be an option. I'm open to getting a room unless you were comfortable enough playing the role of host. And I'll say right now that no, I don't expect that within a few emails I'll be visiting you at your house. I don't want to change your situation and vice-versa, so let's get to know each other a little bit before jumping in the sack, okay? Hopefully I hear from you. 

Please talk about your situation and why you're responding. I'm not going to say what I usually go for in terms of body because it really doesn't matter in the grand scheme of things. Sure there are types I'm no normally attracted to, but those are few and far between.

Including, you don't have to be married, just understand that discretion is paramount.

If look's are at the forefront of your mind-set then this won't work and I won't be sending a picture anytime soon. I'm not hideous nor will I grace the cover of any muscle magazine anytime soon, I'm average and I'm happy with it. In general, I have dark Mediterranean features, olive complexion, black hair, brown eyes, clean cut, 5'8, 180 lbs. 

My only requirement is location, ideally I would love to find someone in the Leesburg area, otherwise my second preference would be in the Dulles corridor. I don't have the luxury or patience of traversing the DMV; around here no hour is a good hour for commuting.

If you have made it this far, then I commend you and now one last thing, please put your age and location in the subject so that I know you are real and have read the entirety of my post.

Thank you!
",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/m4w/5487147763.html,washingtondc,nva,2016-03-11 18:54,2016-03-14 11:54,msr,m4w,"Looking for a attractive, educated, career woman for LTR","
I am a 61 year old, black man, educated, great career, handsome, in great condition and health, Wonderful home in Richmond... I was married once and never remarried. Please no woman with drama and loads of problems. 
I am looking for an attractive woman, in great shape and healthy, have a career and their own. Age and race are really unimportant. I am looking for a woman with the same as me. We can talk, meet and take it from there. I good equal partner would be great, please no games!! This is a real ad. 

If you respond a picture would be nice and I can return a picture.
",61,athletic,,,,,,,,,,,," 6'4"" (193cm)",,,,,,,,,,,,,,divorced,,
http://washingtondc.craigslist.org/doc/m4w/5490539816.html,washingtondc,doc,2016-03-14 11:45,2016-03-14 11:53,msr,m4w,WM For ANR or Breast Play With BF,"
I am a white male, 6'1"" 180 lbs and fit. Live near DuPont Circle. I'm searching for a black female on the thicker side, with large breasts who is either already lactating or interested in inducing. This is sexual for me but that doesn't mean I'll be pressuring you for more. Ultimately looking for someone who enjoys breast play and likes the thought of nursing a man. I'm very easy going and passionate and you will get comfortable with me quickly. Pic for pic.
",46,athletic,,,,,,,,,,,," 6'1"" (185cm)",,,,,,,,,,,,,,separated,,
http://washingtondc.craigslist.org/mld/m4w/5472783500.html,washingtondc,mld,2016-03-02 08:56,2016-03-14 11:53,msr,m4w,"Are you a Red Head, A Lady in Public, a slut in Private","
Shhh I won't Tell; I just have a thing for redhead's, I don't want to, I just can't help myself.

I am dominant, hung pretty thick, and insatiable. I can go five or six times a day easy, 

The only woman that was even close to being able to keep up with me was a red head.
Redheads have that reputation.

You know the one, a universe's worth of chaos in a little redheaded package.
Setting the world on fire with little more than a smile.
Professional and classy, perhaps even cold, she appears in professional surroundings and public settings.

In private, behind closed doors ... she becomes everything that history has promised.
Decadent.
Debaucherous
A dirty, dirty, redheaded little whore.

Other women try to be one, dying their hair and with today's fashion trends, to be bare, down there, they can almost get away with it.

But the proof is in the proverbial pudding.

The same way a lot of cars are made to resemble a Ferrari. Some get close, but nothing will set your heart racing like getting behind the wheel of the real deal, taking it out on the open road, getting deep into it, driving it hard through the curves, brakes are for for lesser cars, these little red machines beg you to go faster, harder, deeper into the curves until the world stops blurring by and just ceases to exist. It is just you, inside the bright red chaos, you can't tell if it's driving you or you are driving her ... it.

Well yes, it's like that, but softer curves and quite honestly, a Ferrari ends up costing you less than trying to keep up with the sweet burning desire that is my red headed chaos angel.


The TL;DR: Looking for a redhead, lady in public, chaotic fuck machine in private. Bonus if she likes to be tied up, spanked and well ... message me and I will finish that thought.
",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/m4w/5487083249.html,washingtondc,nva,2016-03-11 18:05,2016-03-14 11:42,msr,m4w,TREAT YOURSELF to be PAMPERED,"
Maybe you're pregnant and want to feel special and attended to
Maybe you're a wife and mom and feeling under appreciated and just want to escape for a couple of hours of respite special treatment
Maybe you had an exceptionally hard day at work and want to be pampered one evening
Well I'm offering a therapeutic and sensual blend guaranteed to relax and satisfy, no strings attached to the offer.
What sets me apart from others-I'm Experienced and have trained in the art and sciences of massage modalities and other techniques. Through schooling, seminars, self study, and experience I have perfected the ultimate sensual massage experience for you. I started with therapeutic massage techniques in school and as my interest grew I began exploring more non- traditional techniques and attending seminars on them. As I practiced on friends I began to expand and perfect my offerings of full body sensual (erotic)massages. I have approximately 1200 hours of experience in massaging others.
My technique combines various modalities and techniques which include NLP, Swedish, therapeutic, yoga style athletic stretching available if your body needs it, sensual touch, tantric, and yoni for an awesome experience she will always remember. I am intuitive to your body wants and needs during the session. Throughout the process I remain keenly attuned to your body- your verbal queuing as well as non- verbal ques such as your respiratory depth and frequency, your muscular reactions to touch, even your slightest movements to my touch or voice to guide and adjust my techniques to personalize a more pleasing massage experience for you. It's about you and your wants, needs, and pleasure. 
The sensually erotic experience lasts approximately 2 hours. I heighten your
level slowly, seductively enticing your body to align your chakras and concentrate your energy levels bringing you into a state of tantric eroticism. 
Some first timers may be shy at first so I can accommodate your modesty level as needed. 
For pregnancy (prenatal) I still offer the same sensual massage with some adjustments that must be made ( drinking additional water, adding additional pillows for comfortable positioning, and lighter softer longer more open hand techniques to areas such as the leg - more of an effleurage stroke and touch technique, etc...)
This is free and no charge or expectation of enumerations
I am not a cmt or lmt. This is a full body sensual tantric centric massage for your pleasure. 
I host my hotel suite only
LGBT Friendly so open to a lesbian if you so desire
Open to all races 
I'm not a pic collector so pic exchange is not necessary but a little about yourselves ( accurate description) is appreciated along with experience level with a full body sensual massage and tantra. Voice verification will be available. If you do want a pic then you must send one first and I'll return one in kind. 
I'm clean and a non smoker. Educated business professional visiting the NOVA area for the week of March 21-25. I do this to relax and distract myself of the high pressure business world I live in daily during my travels..
And yes....I'm that good 
Please provide a first name, age, your experience in this type of massage, and a direct email address.
Namaste
",,average,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,never,,,
http://washingtondc.craigslist.org/nva/m4w/5451507016.html,washingtondc,nva,2016-02-17 00:08,2016-03-14 11:37,msr,m4w,looking for an LTR,"
I'm a 26 year old Asian guy looking for start a relationship or LTR. at this point in my life, i feel that it is time to settle down. On my free time i like to take little trips and on head over to DC once in a while to check out the sites. What I'm looking for is someone who is around my age (24-28), who is outgoing, who doesn't care about my appearance and that will take me for who I am. also looking for some new friends too. Race and size don't matter. Please don't flake out after several email exchanges, just be honest and let me know if you are not interested (it gets kind of annoying after several of these), just to keep things open. Just don't leave me hanging with no response :p. Since there is so much spam on CL, put your favorite spring activity on the subject line. Who knows, maybe there will be a connection! 

Remember, Pic 4 Pic :)
",26,,,,,,,,,,,,," 5'9"" (175cm)",,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/nva/m4w/5459068376.html,washingtondc,nva,2016-02-22 08:36,2016-03-14 11:33,msr,m4w,Anyone near Reston/Herndon (MWM),"
Anyone in the Reston area (more convenient to meet for me) looking for a casual friendship/relationship? me - 50, MWM looking for fun, friendship, flirting and possibly more. CL has been a major disappointment unless you are looking for.....well I can tell you more if you are real and interested. I will offer to share pics when the time is right!
",50,average,,,,,,,,,,,," 6'0"" (182cm)",,,,,,,,,,,,,,married,,
http://washingtondc.craigslist.org/doc/m4w/5474268307.html,washingtondc,doc,2016-03-03 07:04,2016-03-14 11:29,msr,m4w,Quick cash post workout?,"
29 yo sub Indian male. Will pay $ to worship your sweaty armpits and body after you have you're great workout session.

Can cook you a great veg power breakfast too if you like. Also will do menial jobs: cleaning your toilet/apt etc.
",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://washingtondc.craigslist.org/doc/m4w/5466552390.html,washingtondc,doc,2016-02-26 22:26,2016-03-14 11:29,msr,m4w,Are you a slightly submissive College Girl?,"
You have been a good girl your whole life, but you also have carried a 
secret with you that fills you with silent shame and embarrassment, because 
your fantasy doesn't match your personality at all. There is something secretly
submissive in you that yearns to be satisfied. You long for a dominant, sexy,
man to take control of you and discipline you. You want to feel helpless...
dominated...NOT in control. You want to have your panties forcibly taken down
and be spanked like a naughty school girl. You want to be pushed down over
the sofa, feel your skirt lifted, your moistened underwear pulled aside. You
want a big, hard cock to invade your slippery wetness, stretching you wider
than you thought possible and making you feel oh so deliciously slutty. You
are a normal person, constrained by society's conventions and frustrated by
your inability to realize your innermost fantasies. You want to be spanked
with your panties down and you want to be fucked like a slut -- you are
already getting wet right now just thinking about it.

I am a 36 year old handsome, college-educated, intelligent & professional man
who is 6'2"" 220lbs and accustomed to dealing with naughty girls like you. I
will lecture you and instruct you to pull your skirt up around your waist as 
I kneel before you and pull your panties down to your thighs. The delicious
smell of your aroused pussy will rise to meet me. You will feel the cool air 
on your bush and revel in the delicious anticipation. Then I will instruct you 
to stand against the wall with your legs spread and your hands above your head
while I slowly pace about behind you and your clit tingles with excitement. You 
will feel my eyes on your pussy and this thought will excite you even more. Then
I will call you sternly and bend you over a chair so that your pussy is in full 
view - wet, exposed, vulnerable. Oh, the shame of it. I will stroke your clit 
gently and when you try to stop me I will slap your cheeks hard.

Then I will commence the spanking proper. Perhaps I will use my hand. If you 
resist too much I will use a slipper or my leather belt. It will sting, but 
not be intolerable, and every now and again you would feel my fingers probe 
your fragrant slippery slit, making you gasp with pleasure and ache for penetration. 
Maybe I will tell you to reach between your legs and spread your lips apart with 
your fingers as I kneel behind you and slide my tongue between your sopping aromatic 
folds. I will continue spanking your now very red ass and you will be torn between 
tears and screams of delight. When your punishment is over, I will instruct you to 
kneel in front of me and take my big cock deep into your mouth, making you almost 
gag as I hold your hair and fuck your face while you moan approvingly and look up 
at me, your eyes wild with desire. When I am convinced that you want my cock badly 
enough I will turn you around on your hands & knees and I will wait as you kneel in 
that position until you BEG me to fuck you, and then I will grab you firmly by your 
hips and RAM my hard cock into your wet & swollen pussy hard and fast; banging you 
the way you were meant to be banged, until we both collapse in a sweaty heap of 
sexual blissĂ˘ÂŚ

I know you are wet after reading this so why not do something about it?
",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
